,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00500000044890,IEWGVLQ,TF326826,EOG7K6PW4,NOG42079,HOG000001157,HBG002528,NA,Q9NPA3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6P7D5,M1IP1_RAT,8.0,,1,1,1,1,1,1,1,,1
Q9NPA3,M1IP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6P7D5,M1IP1_RAT,8.0,,1,1,1,1,1,1,1,,1
Q9NPA3,M1IP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q1LUV9,M1I1B_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q9CQ20,M1IP1_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q9CQ20,M1IP1_MOUSE,7.0,,1,1,1,,1,1,1,,1
P47805,M1I1A_DANRE,7.0,,1,,1,1,1,1,1,,1
Q08E46,Q08E46_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q6P8B2,Q6P8B2_XENTR,6.0,,1,,1,1,1,1,1,,
H3B3Q9,H3B3Q9_LATCH,4.0,,1,1,1,1,,,,,
F7BK64,F7BK64_MACMU,4.0,,1,1,1,1,,,,,
G3U3R7,G3U3R7_LOXAF,4.0,,1,1,1,1,,,,,
F7A2C6,F7A2C6_MONDO,4.0,,1,1,1,1,,,,,
G1SI48,G1SI48_RABIT,4.0,,1,1,1,1,,,,,
G3QV13,G3QV13_GORGO,4.0,,1,1,1,1,,,,,
F7IE07,F7IE07_CALJA,4.0,,1,1,1,1,,,,,
G1KWB9,G1KWB9_ANOCA,4.0,,1,1,1,1,,,,,
K7G8J9,K7G8J9_PELSI,4.0,,1,1,1,1,,,,,
G1QKZ2,G1QKZ2_NOMLE,4.0,,1,1,1,1,,,,,
Q62264,THRSP_MOUSE,4.0,,1,,1,,,1,1,,
I3N5H5,I3N5H5_SPETR,4.0,,1,1,1,1,,,,,
E2RFG8,E2RFG8_CANFA,4.0,,1,1,1,1,,,,,
H0VV36,H0VV36_CAVPO,4.0,,1,1,1,1,,,,,
Q92748,THRSP_HUMAN,4.0,,1,,1,,,1,1,,
F6XDI8,F6XDI8_HORSE,4.0,,1,1,1,1,,,,,
G3WEV8,G3WEV8_SARHA,4.0,,1,1,1,1,,,,,
A4FUH4,A4FUH4_BOVIN,4.0,,1,,1,,,1,1,,
F1RXQ6,F1RXQ6_PIG,4.0,,1,1,1,1,,,,,
H2QYG8,H2QYG8_PANTR,4.0,,1,1,1,1,,,,,
H0Y078,H0Y078_OTOGA,4.0,,1,1,1,1,,,,,
B3DFQ0,B3DFQ0_DANRE,4.0,,1,,1,,,1,1,,
H2PVB4,H2PVB4_PONAB,4.0,,1,1,1,1,,,,,
G3NA73,G3NA73_GASAC,3.0,,1,,1,1,,,,,
M3W296,M3W296_FELCA,3.0,,1,1,,1,,,,,
M3Z5D3,M3Z5D3_MUSPF,3.0,,1,1,,1,,,,,
M4B137,M4B137_XIPMA,3.0,,1,1,,1,,,,,
Q6Q123,Q6Q123_CHICK,3.0,,,,,,1,1,1,,
Q8AWD1,M1I1L_DANRE,3.0,,,,,,1,1,1,,
H2L624,H2L624_ORYLA,3.0,,1,,1,1,,,,,
Q5HZE3,Q5HZE3_RAT,3.0,,1,,1,,,,1,,
Q66NF8,Q66NF8_ORYLA,3.0,,,,,,1,1,1,,
H2M7Y9,H2M7Y9_ORYLA,3.0,,1,,1,1,,,,,
G3QM60,G3QM60_GORGO,2.0,,1,,1,,,,,,
H0WFI9,H0WFI9_OTOGA,2.0,,1,,1,,,,,,
G3PZ50,G3PZ50_GASAC,2.0,,1,,1,,,,,,
G3PE53,G3PE53_GASAC,2.0,,1,,1,,,,,,
H0VLC0,H0VLC0_CAVPO,2.0,,1,,1,,,,,,
G3TQU1,G3TQU1_LOXAF,2.0,,1,,1,,,,,,
G3WIF0,G3WIF0_SARHA,2.0,,1,,1,,,,,,
F7HK82,F7HK82_MACMU,2.0,,1,,1,,,,,,
G1SEE9,G1SEE9_RABIT,2.0,,1,,1,,,,,,
G1PQF1,G1PQF1_MYOLU,2.0,,1,,1,,,,,,
A4GT87,A4GT87_RABIT,2.0,,,,,,,1,1,,
A7BKC9,A7BKC9_RAT,2.0,,,1,,,,,1,,
B7P742,B7P742_IXOSC,2.0,,,,,,1,,,,1
E2RLB5,E2RLB5_CANFA,2.0,,1,,1,,,,,,
F1NVR8,F1NVR8_CHICK,2.0,,1,,1,,,,,,
F1QZL7,F1QZL7_DANRE,2.0,,1,,1,,,,,,
F1STY2,F1STY2_PIG,2.0,,1,,1,,,,,,
F6QNL3,F6QNL3_XENTR,2.0,,1,,1,,,,,,
F6Z960,F6Z960_XENTR,2.0,,1,,1,,,,,,
F7AMU2,F7AMU2_HORSE,2.0,,1,,1,,,,,,
F7D5Q6,F7D5Q6_MOUSE,2.0,,1,,,1,,,,,
F7GGM7,F7GGM7_MONDO,2.0,,1,,1,,,,,,
F7HQ62,F7HQ62_CALJA,2.0,,1,,1,,,,,,
G1MNK1,G1MNK1_AILME,2.0,,1,,1,,,,,,
G1NQS5,G1NQS5_MELGA,2.0,,1,,1,,,,,,
H0ZS09,H0ZS09_TAEGU,2.0,,1,,1,,,,,,
W5QD63,W5QD63_SHEEP,2.0,,1,1,,,,,,,
W5NMN9,W5NMN9_LEPOC,2.0,,1,1,,,,,,,
H9GTS3,H9GTS3_ANOCA,2.0,,1,,1,,,,,,
U3KJE3,U3KJE3_FICAL,2.0,,1,1,,,,,,,
H2L754,H2L754_ORYLA,2.0,,1,,1,,,,,,
Q4RP36,Q4RP36_TETNG,2.0,,,,,,1,,1,,
Q4FK31,Q4FK31_MOUSE,2.0,,,1,,,,,1,,
P04143,THRSP_RAT,2.0,,,,,,,1,1,,
M4AZT2,M4AZT2_XIPMA,2.0,,1,,,1,,,,,
K7F004,K7F004_PELSI,2.0,,1,,1,,,,,,
I3NA73,I3NA73_SPETR,2.0,,1,,1,,,,,,
I3KXE1,I3KXE1_ORENI,2.0,,,,1,1,,,,,
I3JR80,I3JR80_ORENI,2.0,,,,1,1,,,,,
W5LU55,W5LU55_ASTMX,2.0,,1,1,,,,,,,
H9GIY1,H9GIY1_ANOCA,2.0,,1,,1,,,,,,
H3A6B6,H3A6B6_LATCH,2.0,,1,,1,,,,,,
H2LCE4,H2LCE4_ORYLA,2.0,,1,,1,,,,,,
H2NES1,H2NES1_PONAB,2.0,,1,,1,,,,,,
H2Q4H0,H2Q4H0_PANTR,2.0,,1,,1,,,,,,
H2UF23,H2UF23_TAKRU,2.0,,1,,1,,,,,,
H3B5H1,H3B5H1_LATCH,2.0,,1,,1,,,,,,
H3C176,H3C176_TETNG,2.0,,1,,1,,,,,,
H3DHI1,H3DHI1_TETNG,2.0,,1,,1,,,,,,
B5XCN4,B5XCN4_SALSA,1.0,,,,,,,,1,,
B5X9U5,B5X9U5_SALSA,1.0,,,,,,,,1,,
A0A087YQ27,A0A087YQ27_POEFO,1.0,,1,,,,,,,,
B5X836,B5X836_SALSA,1.0,,,,,,,,1,,
B5X828,B5X828_SALSA,1.0,,,,,,,,1,,
B5XCW4,B5XCW4_SALSA,1.0,,,,,,,,1,,
B5X5X9,B5X5X9_SALSA,1.0,,,,,,,,1,,
B5X296,B5X296_SALSA,1.0,,,,,,,,1,,
B5FZW9,B5FZW9_TAEGU,1.0,,,,,,,,1,,
A8HTH1,A8HTH1_PERFV,1.0,,,,,,,,1,,
B5DG48,B5DG48_SALSA,1.0,,,,,,,,1,,
B3RM33,B3RM33_TRIAD,1.0,,,,,1,,,,,
W5LUF2,W5LUF2_ASTMX,1.0,,1,,,,,,,,
A0A096MUW6,A0A096MUW6_PAPAN,1.0,,1,,,,,,,,
A0A087YSJ9,A0A087YSJ9_POEFO,1.0,,1,,,,,,,,
W5NLU3,W5NLU3_LEPOC,1.0,,1,,,,,,,,
B5XDL9,B5XDL9_SALSA,1.0,,,,,,,,1,,
W5NNU3,W5NNU3_LEPOC,1.0,,1,,,,,,,,
A0A096NAH6,A0A096NAH6_PAPAN,1.0,,1,,,,,,,,
H1A0Y6,H1A0Y6_TAEGU,1.0,,1,,,,,,,,
Q6Q125,Q6Q125_CHICK,1.0,,1,,,,,,,,
D2H3T4,D2H3T4_AILME,1.0,,,,,,,1,,,
W5LT56,W5LT56_ASTMX,1.0,,1,,,,,,,,
W5Q0Z9,W5Q0Z9_SHEEP,1.0,,1,,,,,,,,
G9KAN3,G9KAN3_MUSPF,1.0,,,1,,,,,,,
I3J350,I3J350_ORENI,1.0,,,,1,,,,,,
I3JE96,I3JE96_ORENI,1.0,,,,1,,,,,,
