,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11283,ENSGT00730000111564,CAWTLEG,NA,EOG7BKCX2,NOG251009,HOG000113834,HBG056984,NA,Q96NT1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5PPG6,NP1L5_RAT,8.0,1,1,1,,1,1,1,1,,1
Q96NT1,NP1L5_HUMAN,8.0,1,1,1,,1,1,1,1,,1
Q9JJF0,NP1L5_MOUSE,8.0,1,1,1,,1,1,1,1,,1
Q5PPG6,NP1L5_RAT,8.0,1,1,1,,1,1,1,1,,1
Q1RMM5,NP1L5_BOVIN,7.0,1,1,1,,1,1,1,1,,
G1MP62,G1MP62_AILME,4.0,1,1,1,,1,,,,,
G1SAB6,G1SAB6_NOMLE,4.0,1,1,1,,1,,,,,
H2QPW0,H2QPW0_PANTR,4.0,1,1,1,,1,,,,,
F6QXH9,F6QXH9_MACMU,4.0,1,1,1,,1,,,,,
E2RIB4,E2RIB4_CANFA,4.0,1,1,1,,1,,,,,
F6TLL3,F6TLL3_HORSE,3.0,,1,1,,1,,,,,
M3XSU4,M3XSU4_MUSPF,3.0,,1,1,,1,,,,,
M3XE68,M3XE68_FELCA,3.0,,1,1,,1,,,,,
I3MZC7,I3MZC7_SPETR,3.0,,1,1,,1,,,,,
F1RW65,F1RW65_PIG,3.0,,1,1,,1,,,,,
H0WTI8,H0WTI8_OTOGA,3.0,,1,1,,1,,,,,
F7GT74,F7GT74_CALJA,2.0,,1,,,1,,,,,
G1Q388,G1Q388_MYOLU,2.0,,1,,,1,,,,,
W5NQJ7,W5NQJ7_SHEEP,2.0,,1,1,,,,,,,
G1SUB1,G1SUB1_RABIT,2.0,,1,,,1,,,,,
G3RPL0,G3RPL0_GORGO,2.0,,1,,,1,,,,,
Q5R4H5,NP1L5_PONAB,2.0,1,,,,,,,1,,
Q19007,Q19007_CAEEL,1.0,,,,,,,,,,1
Q7PUU2,Q7PUU2_ANOGA,1.0,,,,,,,,,,1
F5C1U1,F5C1U1_PIG,1.0,1,,,,,,,,,
Q8ND87,Q8ND87_HUMAN,1.0,,,,,,,,1,,
Q9CTE1,Q9CTE1_MOUSE,1.0,,,,,,,,1,,
A0A096N2I1,A0A096N2I1_PAPAN,1.0,,1,,,,,,,,
