,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007991,NA,TF330719,NA,NOG44433,HOG000111986,HBG061066,NA,Q9UFG5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9UFG5,CS025_HUMAN,6.0,,1,,1,,1,1,1,,1
Q9UFG5,CS025_HUMAN,6.0,,1,,1,,1,1,1,,1
Q6AY72,CS025_RAT,6.0,,1,,1,,1,1,1,,1
Q28C26,CS025_XENTR,5.0,,1,,1,,1,1,1,,
Q9D7E4,CS025_MOUSE,5.0,,1,,1,,1,1,1,,
Q1LZF3,CS025_BOVIN,5.0,,1,,1,,1,1,1,,
H0VDP4,H0VDP4_CAVPO,2.0,,1,,1,,,,,,
H3CBF3,H3CBF3_TETNG,2.0,,1,,1,,,,,,
H3AHQ5,H3AHQ5_LATCH,2.0,,1,,1,,,,,,
F6VEP0,F6VEP0_MACMU,2.0,,1,,1,,,,,,
F7ASG7,F7ASG7_MONDO,2.0,,1,,1,,,,,,
H2NWU2,H2NWU2_PONAB,2.0,,1,,1,,,,,,
H2QEU8,H2QEU8_PANTR,2.0,,1,,1,,,,,,
G3WIQ9,G3WIQ9_SARHA,2.0,,1,,1,,,,,,
I3LT16,I3LT16_PIG,2.0,,1,,1,,,,,,
G3UAP0,G3UAP0_LOXAF,2.0,,1,,1,,,,,,
G3QK23,G3QK23_GORGO,2.0,,1,,1,,,,,,
G3NG83,G3NG83_GASAC,2.0,,1,,1,,,,,,
G1L9K9,G1L9K9_AILME,2.0,,1,,1,,,,,,
H9GMX4,H9GMX4_ANOCA,2.0,,1,,1,,,,,,
E7FG29,E7FG29_DANRE,2.0,,1,,1,,,,,,
I3MWE8,I3MWE8_SPETR,2.0,,1,,1,,,,,,
G1P0U7,G1P0U7_MYOLU,2.0,,1,,1,,,,,,
E7F2Z1,E7F2Z1_DANRE,2.0,,1,,1,,,,,,
K7F409,K7F409_PELSI,2.0,,1,,1,,,,,,
C3Y1Y9,C3Y1Y9_BRAFL,2.0,,,,,,1,,,,1
B4DNJ8,B4DNJ8_HUMAN,2.0,,,,,,,1,1,,
Q4TA95,Q4TA95_TETNG,2.0,,,,,,1,1,,,
G1QM29,G1QM29_NOMLE,2.0,,1,,1,,,,,,
F6UL22,F6UL22_ORNAN,1.0,,1,,,,,,,,
E7EP72,E7EP72_HUMAN,1.0,,1,,,,,,,,
D2HME5,D2HME5_AILME,1.0,,,,,,,1,,,
F7I2T0,F7I2T0_CALJA,1.0,,1,,,,,,,,
B1H1S7,B1H1S7_XENLA,1.0,,,,,,,,1,,
A0A0A0MWD4,A0A0A0MWD4_PAPAN,1.0,,1,,,,,,,,
A0A087XB87,A0A087XB87_POEFO,1.0,,1,,,,,,,,
X1WCJ7,X1WCJ7_DANRE,1.0,,1,,,,,,,,
G1SGQ4,G1SGQ4_RABIT,1.0,,1,,,,,,,,
G9L504,G9L504_MUSPF,1.0,,1,,,,,,,,
W5PQU3,W5PQU3_SHEEP,1.0,,1,,,,,,,,
H2XJS5,H2XJS5_CIOIN,1.0,,,,1,,,,,,
I3JK31,I3JK31_ORENI,1.0,,,,1,,,,,,
K7EK56,K7EK56_HUMAN,1.0,,1,,,,,,,,
K7ELZ1,K7ELZ1_HUMAN,1.0,,1,,,,,,,,
K7EQW1,K7EQW1_HUMAN,1.0,,1,,,,,,,,
K7ER12,K7ER12_HUMAN,1.0,,1,,,,,,,,
M3VX98,M3VX98_FELCA,1.0,,1,,,,,,,,
M3ZEY6,M3ZEY6_XIPMA,1.0,,1,,,,,,,,
R4GJT9,R4GJT9_CHICK,1.0,,1,,,,,,,,
U3KHX9,U3KHX9_FICAL,1.0,,1,,,,,,,,
W5LX38,W5LX38_LEPOC,1.0,,1,,,,,,,,
A0A087WUU5,A0A087WUU5_HUMAN,1.0,,1,,,,,,,,
