,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K11390,ENSGT00390000017163,LTEFLYA,TF313596,EOG793B83,COG2301,HOG000242281,HBG059382,NA,Q8N0X4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8N0X4,CLYBL_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8N0X4,CLYBL_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5I0K3,CLYBL_RAT,8.0,1,1,,1,1,1,1,1,,1
Q5I0K3,CLYBL_RAT,8.0,1,1,,1,1,1,1,1,,1
Q8R4N0,CLYBL_MOUSE,8.0,1,1,,1,1,1,1,1,,1
Q1JPT8,Q1JPT8_DANRE,7.0,1,1,1,1,1,,1,1,,
A6QL68,A6QL68_BOVIN,7.0,,1,1,1,1,1,1,1,,
A7RLV7,A7RLV7_NEMVE,6.0,1,,1,,1,1,1,,,1
Q93167,Q93167_CAEEL,6.0,1,1,,,1,1,1,,,1
B3RZI7,B3RZI7_TRIAD,5.0,1,,1,,1,1,1,,,
F7BJV8,F7BJV8_MONDO,5.0,1,1,1,1,1,,,,,
J9P6P8,J9P6P8_CANFA,5.0,1,1,1,1,1,,,,,
G3VUL7,G3VUL7_SARHA,5.0,1,1,1,1,1,,,,,
F7F242,F7F242_CALJA,5.0,1,1,1,1,1,,,,,
H3B9E2,H3B9E2_LATCH,5.0,1,1,1,1,1,,,,,
F6V9C0,F6V9C0_HORSE,4.0,1,1,,1,1,,,,,
G1KIG1,G1KIG1_ANOCA,4.0,1,1,,1,1,,,,,
F7CY88,F7CY88_ORNAN,4.0,,1,1,1,1,,,,,
F7ETT5,F7ETT5_MACMU,4.0,,1,1,1,1,,,,,
B7Q3E5,B7Q3E5_IXOSC,4.0,1,,,,1,1,,,,1
B6HPS5,B6HPS5_PENCW,4.0,1,,1,,,1,1,,,
D2H0C1,D2H0C1_AILME,4.0,,1,,1,1,,1,,,
A9VDU1,A9VDU1_MONBE,4.0,1,,1,,,1,,,,1
Q54Q74,Q54Q74_DICDI,4.0,1,,1,,,1,,,,1
A7F5I4,A7F5I4_SCLS1,4.0,1,,1,,,1,,,,1
G1NPV5,G1NPV5_MELGA,4.0,1,1,,1,1,,,,,
H0UZ87,H0UZ87_CAVPO,4.0,,1,1,1,1,,,,,
