,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K10062,ENSGT00760000119051,EQQWIKK,TF332426,EOG74XS65,NOG147335,HOG000111886,HBG107745,NA,Q5KU26
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5KU26,COL12_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8K4Q8,COL12_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q4V885,COL12_RAT,9.0,1,1,1,1,1,1,1,1,,1
A6QP79,COL12_BOVIN,8.0,1,1,1,1,1,1,1,1,,
A5PMY6,COL12_DANRE,7.0,1,1,,,1,1,1,1,,1
F7GTA4,F7GTA4_CALJA,5.0,1,1,1,1,1,,,,,
H3B613,H3B613_LATCH,5.0,1,1,1,1,1,,,,,
Q2LK54,COL12_CHICK,5.0,1,,,,,1,1,1,,1
F7G364,F7G364_MONDO,5.0,1,1,1,1,1,,,,,
G1R560,G1R560_NOMLE,5.0,1,1,1,1,1,,,,,
K7FK19,K7FK19_PELSI,5.0,1,1,1,1,1,,,,,
G3WQY6,G3WQY6_SARHA,4.0,,1,1,1,1,,,,,
H0WMM4,H0WMM4_OTOGA,4.0,,1,1,1,1,,,,,
F6RUR9,F6RUR9_MACMU,4.0,,1,1,1,1,,,,,
M3ZJ51,M3ZJ51_XIPMA,4.0,1,1,1,,1,,,,,
G3QHQ0,G3QHQ0_GORGO,4.0,,1,1,1,1,,,,,
H2SWN2,H2SWN2_TAKRU,4.0,,1,1,1,1,,,,,
F1NIN5,F1NIN5_CHICK,4.0,,1,1,1,1,,,,,
G1LJ83,G1LJ83_AILME,4.0,,1,1,1,1,,,,,
H2M5U5,H2M5U5_ORYLA,4.0,,1,1,1,1,,,,,
G1P1P0,G1P1P0_MYOLU,4.0,,1,1,1,1,,,,,
H2QE65,H2QE65_PANTR,4.0,,1,1,1,1,,,,,
G1KHR4,G1KHR4_ANOCA,4.0,1,1,,1,1,,,,,
G3NJ76,G3NJ76_GASAC,4.0,,1,1,1,1,,,,,
F6XN67,F6XN67_XENTR,4.0,,1,1,1,1,,,,,
I3LZX1,I3LZX1_SPETR,4.0,,1,1,1,1,,,,,
F7B187,F7B187_HORSE,4.0,,1,1,1,1,,,,,
H2NW01,H2NW01_PONAB,4.0,,1,1,1,1,,,,,
H0ZIV3,H0ZIV3_TAEGU,4.0,,1,1,1,1,,,,,
H0VI62,H0VI62_CAVPO,4.0,,1,1,1,1,,,,,
E9QFG8,E9QFG8_DANRE,3.0,1,1,,1,,,,,,
G1NBU6,G1NBU6_MELGA,3.0,,1,1,1,,,,,,
H2MUC5,H2MUC5_ORYLA,3.0,,1,,1,1,,,,,
M3Y247,M3Y247_MUSPF,3.0,,1,1,,1,,,,,
H3DMS9,H3DMS9_TETNG,3.0,,1,,1,1,,,,,
G3PY44,G3PY44_GASAC,3.0,,1,,1,1,,,,,
H9KW24,H9KW24_CALJA,3.0,,1,,1,1,,,,,
G3T412,G3T412_LOXAF,3.0,,1,1,1,,,,,,
J9PB51,J9PB51_CANFA,3.0,,1,1,,1,,,,,
F6TZ62,F6TZ62_ORNAN,3.0,,1,,1,1,,,,,
M3WN82,M3WN82_FELCA,3.0,,1,1,,1,,,,,
H2TGF0,H2TGF0_TAKRU,3.0,,1,,1,1,,,,,
H3DIA5,H3DIA5_TETNG,2.0,,1,,,1,,,,,
D3ZPA7,D3ZPA7_RAT,2.0,,1,,1,,,,,,
H2MTZ4,H2MTZ4_ORYLA,2.0,,1,,1,,,,,,
H9GLT5,H9GLT5_ANOCA,2.0,,1,,1,,,,,,
I3JFL3,I3JFL3_ORENI,2.0,,,,1,1,,,,,
G1P7Q1,G1P7Q1_MYOLU,2.0,,1,,1,,,,,,
I3JRR6,I3JRR6_ORENI,2.0,,,,1,1,,,,,
Q8C850,SCAR3_MOUSE,2.0,,1,,1,,,,,,
Q6J9J7,Q6J9J7_PANTR,2.0,,,,,,1,1,,,
F7AR72,F7AR72_HORSE,2.0,,1,,1,,,,,,
Q6AZY7,SCAR3_HUMAN,2.0,,1,,1,,,,,,
H3D3T6,H3D3T6_TETNG,2.0,,1,,1,,,,,,
I3MWQ9,I3MWQ9_SPETR,2.0,,1,,1,,,,,,
Q4RH39,Q4RH39_TETNG,2.0,,,,,,1,,1,,
G1KZU9,G1KZU9_AILME,2.0,,1,,1,,,,,,
F7FDF8,F7FDF8_MONDO,2.0,,1,,1,,,,,,
H2PPX0,H2PPX0_PONAB,2.0,,1,,1,,,,,,
G1S3D0,G1S3D0_NOMLE,2.0,,1,,1,,,,,,
F7FFC5,F7FFC5_MACMU,2.0,,1,,1,,,,,,
F7GEE5,F7GEE5_ORNAN,2.0,,1,,1,,,,,,
H3ANC1,H3ANC1_LATCH,2.0,,1,,1,,,,,,
H2QVY1,H2QVY1_PANTR,2.0,,1,,1,,,,,,
F1MMG6,F1MMG6_BOVIN,2.0,,1,,1,,,,,,
K7FAJ1,K7FAJ1_PELSI,2.0,,1,,1,,,,,,
M4AQD9,M4AQD9_XIPMA,2.0,,1,,,1,,,,,
F1P9Z5,F1P9Z5_CANFA,2.0,,1,,1,,,,,,
F1PU26,F1PU26_CANFA,2.0,,1,,1,,,,,,
H2U9R1,H2U9R1_TAKRU,2.0,,1,,1,,,,,,
F7GYA1,F7GYA1_CALJA,2.0,,1,,1,,,,,,
F6QPZ8,F6QPZ8_XENTR,2.0,,1,,1,,,,,,
E9QDK3,E9QDK3_DANRE,2.0,,1,,1,,,,,,
I3LPS0,I3LPS0_PIG,2.0,,1,,1,,,,,,
G1NMV5,G1NMV5_MELGA,2.0,,1,,1,,,,,,
G3UNW8,G3UNW8_MELGA,2.0,,1,,,1,,,,,
W5MYK7,W5MYK7_LEPOC,2.0,,1,1,,,,,,,
H0XND9,H0XND9_OTOGA,2.0,,1,,1,,,,,,
G3NXQ9,G3NXQ9_GASAC,2.0,,1,,1,,,,,,
U3JUP5,U3JUP5_FICAL,2.0,,1,1,,,,,,,
G3T7J4,G3T7J4_LOXAF,2.0,,1,,1,,,,,,
W5PHR1,W5PHR1_SHEEP,2.0,,1,1,,,,,,,
U3J8R0,U3J8R0_ANAPL,2.0,,1,1,,,,,,,
G3X2M2,G3X2M2_SARHA,2.0,,1,,1,,,,,,
G1TYB6,G1TYB6_RABIT,2.0,,1,,1,,,,,,
G3QNB2,G3QNB2_GORGO,2.0,,1,,1,,,,,,
G3U5U0,G3U5U0_LOXAF,2.0,,1,,,1,,,,,
G1SY62,G1SY62_RABIT,2.0,,1,,1,,,,,,
G3QGJ0,G3QGJ0_GORGO,1.0,,1,,,,,,,,
F7GP79,F7GP79_MACMU,1.0,,1,,,,,,,,
G3QUY9,G3QUY9_GORGO,1.0,,1,,,,,,,,
F7GRD7,F7GRD7_CALJA,1.0,,1,,,,,,,,
F7GP89,F7GP89_MACMU,1.0,,1,,,,,,,,
G3R417,G3R417_GORGO,1.0,,1,,,,,,,,
G1KAT1,G1KAT1_ANOCA,1.0,,1,,,,,,,,
F7GP75,F7GP75_MACMU,1.0,,1,,,,,,,,
G3QP86,G3QP86_GORGO,1.0,,1,,,,,,,,
F7GP68,F7GP68_MACMU,1.0,,1,,,,,,,,
F7GP64,F7GP64_MACMU,1.0,,1,,,,,,,,
G1KAV3,G1KAV3_ANOCA,1.0,,1,,,,,,,,
G3RBD1,G3RBD1_GORGO,1.0,,,,,1,,,,,
F7GP62,F7GP62_MACMU,1.0,,1,,,,,,,,
G1KCV9,G1KCV9_ANOCA,1.0,,1,,,,,,,,
G1KD77,G1KD77_ANOCA,1.0,,1,,,,,,,,
G1KAQ5,G1KAQ5_ANOCA,1.0,,1,,,,,,,,
F7GWF1,F7GWF1_CALJA,1.0,,1,,,,,,,,
F7HWN5,F7HWN5_CALJA,1.0,,,,,1,,,,,
