,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000111541,PPLRYLC,TF337331,EOG7CZK6G,NOG39038,HOG000113252,HBG081876,NA,Q3LI83
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3LI83,KR241_HUMAN,8.0,,1,1,1,1,1,1,1,,1
H2P2W1,H2P2W1_PONAB,4.0,,1,1,1,1,,,,,
F6UYV6,F6UYV6_HORSE,4.0,,1,1,1,1,,,,,
I3L787,I3L787_PIG,4.0,,1,1,1,1,,,,,
F6VLQ9,F6VLQ9_MACMU,4.0,,1,1,1,1,,,,,
H0UUE4,H0UUE4_CAVPO,4.0,,1,1,1,1,,,,,
G3X9A2,G3X9A2_MOUSE,4.0,,1,1,1,1,,,,,
G1SA45,G1SA45_NOMLE,4.0,,1,1,1,1,,,,,
G3U022,G3U022_LOXAF,4.0,,1,1,1,1,,,,,
F1P936,F1P936_CANFA,4.0,,1,1,1,1,,,,,
F7H5Q3,F7H5Q3_CALJA,4.0,,1,1,1,1,,,,,
G1MKQ6,G1MKQ6_AILME,4.0,,1,1,1,1,,,,,
Q8CAZ5,Q8CAZ5_MOUSE,4.0,,,,,,1,1,1,,1
G3QQ88,G3QQ88_GORGO,4.0,,1,1,1,1,,,,,
H2QKX1,H2QKX1_PANTR,4.0,,1,1,1,1,,,,,
I3N4L8,I3N4L8_SPETR,4.0,,1,1,1,1,,,,,
G3N073,G3N073_BOVIN,4.0,,1,1,1,1,,,,,
M3WKS4,M3WKS4_FELCA,3.0,,1,1,,1,,,,,
M0R854,M0R854_RAT,3.0,,1,1,,1,,,,,
J7GWF2,J7GWF2_SHEEP,2.0,,1,1,,,,,,,
F7HAZ5,F7HAZ5_CALJA,1.0,,,,1,,,,,,
F7IMK0,F7IMK0_CALJA,1.0,,,,1,,,,,,
G1MKM1,G1MKM1_AILME,1.0,,,,1,,,,,,
F7H5Q1,F7H5Q1_CALJA,1.0,,,,1,,,,,,
F7ELK6,F7ELK6_MACMU,1.0,,,,1,,,,,,
F7ELJ6,F7ELJ6_MACMU,1.0,,,,1,,,,,,
G1LBM0,G1LBM0_AILME,1.0,,,,1,,,,,,
Q9D7N2,KR261_MOUSE,1.0,,,,1,,,,,,
G1MKM9,G1MKM9_AILME,1.0,,,,1,,,,,,
G1MKQ0,G1MKQ0_AILME,1.0,,,,1,,,,,,
F7DZG6,F7DZG6_HORSE,1.0,,,,1,,,,,,
G1SA47,G1SA47_NOMLE,1.0,,,,1,,,,,,
G1SA48,G1SA48_NOMLE,1.0,,,,1,,,,,,
G1SA50,G1SA50_NOMLE,1.0,,,,1,,,,,,
G1SA51,G1SA51_NOMLE,1.0,,,,1,,,,,,
G1SA52,G1SA52_NOMLE,1.0,,,,1,,,,,,
G1SA53,G1SA53_NOMLE,1.0,,,,1,,,,,,
G1SA54,G1SA54_NOMLE,1.0,,,,1,,,,,,
G1SA64,G1SA64_NOMLE,1.0,,,,1,,,,,,
G1SPA0,G1SPA0_RABIT,1.0,,,,1,,,,,,
G1T2H5,G1T2H5_RABIT,1.0,,,,1,,,,,,
G1TD09,G1TD09_RABIT,1.0,,,,1,,,,,,
F7EAE3,F7EAE3_ORNAN,1.0,,,,1,,,,,,
F6YS70,F6YS70_HORSE,1.0,,,,1,,,,,,
F7C903,F7C903_ORNAN,1.0,,,,1,,,,,,
D4AD54,D4AD54_RAT,1.0,,,,1,,,,,,
A1A4M9,A1A4M9_BOVIN,1.0,,,,1,,,,,,
A2G9I9,A2G9I9_TRIVA,1.0,,,,,,,,,,1
B7PPE6,B7PPE6_IXOSC,1.0,,,,,,,,,,1
D2HVS7,D2HVS7_AILME,1.0,,,,1,,,,,,
D2HVS9,D2HVS9_AILME,1.0,,,,1,,,,,,
D2HVT2,D2HVT2_AILME,1.0,,,,,,,1,,,
D2I2B9,D2I2B9_AILME,1.0,,,,1,,,,,,
D3Z724,D3Z724_MOUSE,1.0,,,,1,,,,,,
D3ZJ37,D3ZJ37_RAT,1.0,,,,1,,,,,,
D3ZK59,D3ZK59_RAT,1.0,,,,1,,,,,,
D3ZX50,D3ZX50_RAT,1.0,,,,1,,,,,,
D4ACE6,D4ACE6_RAT,1.0,,,,1,,,,,,
D4ACE7,D4ACE7_RAT,1.0,,,,1,,,,,,
E1B9G9,E1B9G9_BOVIN,1.0,,,,1,,,,,,
F7BS77,F7BS77_CALJA,1.0,,,,1,,,,,,
E2RRH0,E2RRH0_CANFA,1.0,,,,1,,,,,,
E2RRY3,E2RRY3_CANFA,1.0,,,,1,,,,,,
