,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000003422,PKSHEVE,TF324668,EOG722JCF,NOG85741,HOG000232155,HBG052405,NA,Q9NQG1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NQG1,MANBL_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9NQG1,MANBL_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q5BJY8,Q5BJY8_RAT,8.0,,1,1,1,1,1,1,1,,1
Q0P588,Q0P588_BOVIN,7.0,,1,1,1,1,1,1,1,,
A2BGN7,A2BGN7_MOUSE,5.0,,1,1,1,1,,,1,,
H0XAR4,H0XAR4_OTOGA,4.0,,1,1,1,1,,,,,
G1M0W8,G1M0W8_AILME,4.0,,1,1,1,1,,,,,
G3S5B6,G3S5B6_GORGO,4.0,,1,1,1,1,,,,,
H2LQQ8,H2LQQ8_ORYLA,4.0,,1,1,1,1,,,,,
H2P1V3,H2P1V3_PONAB,4.0,,1,1,1,1,,,,,
H2QKB3,H2QKB3_PANTR,4.0,,1,1,1,1,,,,,
G3NPR3,G3NPR3_GASAC,4.0,,1,1,1,1,,,,,
G1R344,G1R344_NOMLE,4.0,,1,1,1,1,,,,,
I3L5E1,I3L5E1_PIG,4.0,,1,1,1,1,,,,,
I3N1J0,I3N1J0_SPETR,4.0,,1,1,1,1,,,,,
E2RTI8,E2RTI8_CANFA,4.0,,1,1,1,1,,,,,
F7IJA3,F7IJA3_CALJA,4.0,,1,1,1,1,,,,,
H0UW09,H0UW09_CAVPO,4.0,,1,1,1,1,,,,,
E1C755,E1C755_CHICK,4.0,,1,,1,1,,,,,1
E1C755,E1C755_CHICK,4.0,,1,,1,1,,,,,1
Q5ZI53,Q5ZI53_CHICK,4.0,,,,1,,1,1,1,,
F7E8Z6,F7E8Z6_MACMU,4.0,,1,1,1,1,,,,,
E1BWR6,E1BWR6_CHICK,4.0,,1,,1,1,,,,,1
E1BWR6,E1BWR6_CHICK,4.0,,1,,1,1,,,,,1
F7BAW3,F7BAW3_HORSE,4.0,,1,1,1,1,,,,,
G3TH41,G3TH41_LOXAF,4.0,,1,1,1,1,,,,,
G1MWL3,G1MWL3_MELGA,3.0,,1,,1,1,,,,,
G1Q892,G1Q892_MYOLU,3.0,,1,,1,1,,,,,
G3RC74,G3RC74_GORGO,3.0,,1,,1,1,,,,,
H9GSG8,H9GSG8_ANOCA,3.0,,1,,1,1,,,,,
F6S0A9,F6S0A9_MACMU,3.0,,1,,1,1,,,,,
H0Z3D1,H0Z3D1_TAEGU,3.0,,1,,1,1,,,,,
H2VCQ6,H2VCQ6_TAKRU,3.0,,1,,1,1,,,,,
H3ALN5,H3ALN5_LATCH,3.0,,1,1,1,,,,,,
F6TTH3,F6TTH3_ORNAN,3.0,,1,,1,1,,,,,
I3JIJ8,I3JIJ8_ORENI,3.0,,,1,1,1,,,,,
F1SJA6,F1SJA6_PIG,3.0,,1,,1,1,,,,,
E7F7U5,E7F7U5_DANRE,3.0,,1,,1,1,,,,,
M3WZB4,M3WZB4_FELCA,3.0,,1,1,,1,,,,,
Q9D8X0,MANBL_MOUSE,3.0,,,,,,1,1,1,,
F6WQZ2,F6WQZ2_MONDO,3.0,,1,,1,1,,,,,
A2A2E0,A2A2E0_HUMAN,2.0,,1,,,,1,,,,
W5Q8Y1,W5Q8Y1_SHEEP,2.0,,1,1,,,,,,,
K7G309,K7G309_PELSI,2.0,,1,,,1,,,,,
K7G320,K7G320_PELSI,2.0,,1,,1,,,,,,
M3XKB9,M3XKB9_LATCH,2.0,,1,,,1,,,,,
M4A709,M4A709_XIPMA,2.0,,1,,,1,,,,,
W5JZJ2,W5JZJ2_ASTMX,2.0,,1,1,,,,,,,
W5M2Y2,W5M2Y2_LEPOC,1.0,,1,,,,,,,,
E9IDS5,E9IDS5_SOLIN,1.0,,,1,,,,,,,
Q5M9A0,Q5M9A0_XENLA,1.0,,,,,,,,1,,
U3IAP5,U3IAP5_ANAPL,1.0,,1,,,,,,,,
U3JSM3,U3JSM3_FICAL,1.0,,1,,,,,,,,
B5XCJ9,B5XCJ9_SALSA,1.0,,,,,,,,1,,
W4W5E0,W4W5E0_ATTCE,1.0,,,1,,,,,,,
A0A096NXH3,A0A096NXH3_PAPAN,1.0,,1,,,,,,,,
A0A087Y5C1,A0A087Y5C1_POEFO,1.0,,1,,,,,,,,
