,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000017136,LMYVKSM,TF314678,NA,NOG311614,HOG000231051,HBG031402,NA,Q8WTW3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8WTW3,COG1_HUMAN,7.0,,1,1,1,,1,1,1,,1
Q9Z160,COG1_MOUSE,7.0,,1,1,1,,1,1,1,,1
B5DFI1,B5DFI1_RAT,4.0,,,1,,,1,1,1,,
Q5ZI62,Q5ZI62_CHICK,4.0,,,,,,1,1,1,,1
F6WB16,F6WB16_HORSE,3.0,,1,1,1,,,,,,
H2TYI2,H2TYI2_TAKRU,3.0,,1,1,1,,,,,,
G3RF93,G3RF93_GORGO,3.0,,1,1,1,,,,,,
G3U7U0,G3U7U0_LOXAF,3.0,,1,1,1,,,,,,
H3CJV1,H3CJV1_TETNG,3.0,,1,1,1,,,,,,
F1LND1,F1LND1_RAT,3.0,,1,1,1,,,,,,
G1QKX9,G1QKX9_NOMLE,3.0,,1,1,1,,,,,,
H2QDR9,H2QDR9_PANTR,3.0,,1,1,1,,,,,,
H2NUK4,H2NUK4_PONAB,3.0,,1,1,1,,,,,,
K7GJU2,K7GJU2_PELSI,3.0,,1,1,1,,,,,,
H0XCF4,H0XCF4_OTOGA,3.0,,1,1,1,,,,,,
H0YXH1,H0YXH1_TAEGU,3.0,,1,1,1,,,,,,
G1T263,G1T263_RABIT,3.0,,1,1,1,,,,,,
H2MSM9,H2MSM9_ORYLA,3.0,,1,1,1,,,,,,
G1PV58,G1PV58_MYOLU,3.0,,1,1,1,,,,,,
F1RV32,F1RV32_PIG,3.0,,1,1,1,,,,,,
I3LZA7,I3LZA7_SPETR,3.0,,1,1,1,,,,,,
Q9VGC3,COG1_DROME,3.0,,1,,,,1,,,,1
Q9VGC3,COG1_DROME,3.0,,1,,,,1,,,,1
E1BK29,E1BK29_BOVIN,3.0,,1,1,1,,,,,,
F7CXZ7,F7CXZ7_MACMU,3.0,,1,1,1,,,,,,
F6RI12,F6RI12_XENTR,3.0,,1,1,1,,,,,,
