,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K04714,ENSGT00390000001630,VIVAYYI,TF314547,EOG7F7W96,NOG259509,HOG000233822,HBG048216,NA,Q8NHU3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9D4B1,SMS2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9D4B1,SMS2_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8NHU3,SMS2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8NHU3,SMS2_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q7TSX5,SMS1_RAT,7.0,1,1,,1,1,1,1,1,,
A0JMN0,A0JMN0_DANRE,7.0,1,1,,1,1,1,1,1,,
B8A5Q0,B8A5Q0_DANRE,7.0,1,1,1,1,,,1,1,,1
Q28DN3,Q28DN3_XENTR,7.0,1,1,,1,1,1,1,1,,
B8A5Q0,B8A5Q0_DANRE,7.0,1,1,1,1,,,1,1,,1
Q4JM44,SMS2_RAT,7.0,1,,,1,1,1,1,1,,1
Q4JM44,SMS2_RAT,7.0,1,,,1,1,1,1,1,,1
Q8VCQ6,SMS1_MOUSE,7.0,1,1,,1,1,1,1,1,,
D2H5H0,D2H5H0_AILME,6.0,1,1,1,1,1,,1,,,
Q641X0,Q641X0_RAT,5.0,,1,,1,,1,1,1,,
Q9DA37,SAMD8_MOUSE,5.0,,1,,1,,1,1,1,,
F1NLG9,F1NLG9_CHICK,5.0,1,1,1,1,1,,,,,
G1SYC4,G1SYC4_RABIT,5.0,1,1,1,1,1,,,,,
F1S122,F1S122_PIG,5.0,1,1,1,1,1,,,,,
E1BNX6,E1BNX6_BOVIN,5.0,1,1,1,1,1,,,,,
H9GDN8,H9GDN8_ANOCA,5.0,1,1,1,1,1,,,,,
G1RR96,G1RR96_NOMLE,5.0,1,1,1,1,1,,,,,
F6XWQ3,F6XWQ3_HORSE,5.0,1,1,1,1,1,,,,,
F6ZBF5,F6ZBF5_MONDO,5.0,1,1,1,1,1,,,,,
G1N2G4,G1N2G4_MELGA,5.0,1,1,1,1,1,,,,,
K7FG41,K7FG41_PELSI,5.0,1,1,1,1,1,,,,,
F7CNS1,F7CNS1_ORNAN,5.0,1,1,1,1,1,,,,,
F7I6J8,F7I6J8_CALJA,5.0,1,1,1,1,1,,,,,
E2QY94,E2QY94_CANFA,5.0,1,1,1,1,1,,,,,
F7DR07,F7DR07_MACMU,5.0,1,1,1,1,1,,,,,
G3RA31,G3RA31_GORGO,5.0,1,1,1,1,1,,,,,
H0Z0K3,H0Z0K3_TAEGU,5.0,1,1,1,1,1,,,,,
G3VXB3,G3VXB3_SARHA,5.0,1,1,1,1,1,,,,,
D3DWC4,D3DWC4_HUMAN,5.0,1,1,,1,1,,1,,,
H2R0S6,H2R0S6_PANTR,5.0,1,1,1,1,1,,,,,
H2PE26,H2PE26_PONAB,5.0,1,1,1,1,1,,,,,
H0VJW3,H0VJW3_CAVPO,4.0,,1,1,1,1,,,,,
Q5U3Z9,Q5U3Z9_DANRE,4.0,,1,,1,1,,,1,,
G1T0D0,G1T0D0_RABIT,4.0,1,1,,1,1,,,,,
F1PN18,F1PN18_CANFA,4.0,1,1,,1,1,,,,,
H3APA5,H3APA5_LATCH,4.0,1,1,,1,1,,,,,
Q17C33,Q17C33_AEDAE,4.0,1,,,,1,1,1,,,
H0WPQ9,H0WPQ9_OTOGA,4.0,,1,1,1,1,,,,,
K7FSR2,K7FSR2_PELSI,4.0,1,1,,1,1,,,,,
B0W4S5,B0W4S5_CULQU,4.0,1,,,,1,1,1,,,
I3LYF0,I3LYF0_SPETR,4.0,,1,1,1,1,,,,,
H9GM28,H9GM28_ANOCA,4.0,1,1,,1,1,,,,,
G1NU82,G1NU82_MYOLU,4.0,,1,1,1,1,,,,,
Q640R5,Q640R5_XENTR,4.0,1,,,,,1,1,1,,
Q6DEI3,Q6DEI3_DANRE,4.0,,,,,,1,1,1,,1
M4A722,M4A722_XIPMA,4.0,1,1,1,,1,,,,,
Q86VZ5,SMS1_HUMAN,4.0,1,,,,,1,1,1,,
H2T7F5,H2T7F5_TAKRU,4.0,,1,1,1,1,,,,,
G3PZS0,G3PZS0_GASAC,4.0,,1,1,1,1,,,,,
H2Q1W8,H2Q1W8_PANTR,4.0,1,1,,1,1,,,,,
Q96LT4,SAMD8_HUMAN,4.0,,1,,1,,,1,1,,
G3TGY9,G3TGY9_LOXAF,4.0,,1,1,1,1,,,,,
H2NAX3,H2NAX3_PONAB,4.0,1,1,,1,1,,,,,
A4QNV5,A4QNV5_DANRE,4.0,,1,,1,,,1,1,,
F7CZI4,F7CZI4_HORSE,4.0,1,1,,1,1,,,,,
Q7T3T4,SMS1_CHICK,4.0,1,,,,,1,1,1,,
A0AAS4,SMS1_PIG,4.0,1,,,,,1,1,1,,
Q7PWL1,Q7PWL1_ANOGA,4.0,1,,,,1,1,1,,,
G1L163,G1L163_AILME,3.0,,1,,1,1,,,,,
G1MRZ0,G1MRZ0_MELGA,3.0,,1,,1,1,,,,,
G9KNI4,G9KNI4_MUSPF,3.0,,1,1,,1,,,,,
H0VSA8,H0VSA8_CAVPO,3.0,,1,,1,1,,,,,
H0XPJ1,H0XPJ1_OTOGA,3.0,,1,,1,1,,,,,
I3LY69,I3LY69_SPETR,3.0,,1,,1,1,,,,,
M3WGN5,M3WGN5_FELCA,3.0,,1,1,,1,,,,,
I3KLT2,I3KLT2_ORENI,3.0,,,1,1,1,,,,,
H2TNP8,H2TNP8_TAKRU,3.0,,1,,1,1,,,,,
G1PSW0,G1PSW0_MYOLU,3.0,,1,,1,1,,,,,
G1RN69,G1RN69_NOMLE,3.0,,1,,1,1,,,,,
H0Z3R3,H0Z3R3_TAEGU,3.0,,1,,1,1,,,,,
G3VA10,G3VA10_SARHA,3.0,,1,,1,1,,,,,
H2LAD0,H2LAD0_ORYLA,3.0,,1,,1,1,,,,,
H2LPA2,H2LPA2_ORYLA,3.0,,1,,1,1,,,,,
H3CT74,H3CT74_TETNG,3.0,,1,,1,1,,,,,
G3QTK8,G3QTK8_GORGO,3.0,,1,,1,1,,,,,
H3CAZ2,H3CAZ2_TETNG,3.0,,1,,1,1,,,,,
H3BCB4,H3BCB4_LATCH,3.0,,1,,1,1,,,,,
H2ZM97,H2ZM97_CIOSA,3.0,,1,,1,1,,,,,
G3N586,G3N586_GASAC,3.0,,1,,1,1,,,,,
M3WLS7,M3WLS7_FELCA,3.0,1,1,,,1,,,,,
G3P3D7,G3P3D7_GASAC,3.0,,1,,1,1,,,,,
H2S3S1,H2S3S1_TAKRU,3.0,,1,,1,1,,,,,
G3ULW4,G3ULW4_LOXAF,3.0,,1,,1,1,,,,,
Q28CJ3,Q28CJ3_XENTR,3.0,,,,,,1,1,1,,
F6UTK5,F6UTK5_XENTR,3.0,,1,,1,1,,,,,
F6YPY0,F6YPY0_MONDO,3.0,,1,,1,1,,,,,
F1MF31,F1MF31_BOVIN,3.0,,1,,1,1,,,,,
Q965Q4,SMS3_CAEEL,3.0,1,1,,,,1,,,,
C3XQA8,C3XQA8_BRAFL,3.0,1,,,,,1,,,,1
B8A5P8,B8A5P8_DANRE,3.0,,1,,,1,1,,,,
B7QHG5,B7QHG5_IXOSC,3.0,1,,,,1,1,,,,
U3KCW2,U3KCW2_FICAL,3.0,1,1,1,,,,,,,
Q5JSC9,Q5JSC9_HUMAN,3.0,,1,,,,,1,1,,
F1QGE8,F1QGE8_DANRE,3.0,,1,,1,1,,,,,
F1SCZ8,F1SCZ8_PIG,3.0,,1,,1,1,,,,,
A8KBN3,A8KBN3_DANRE,3.0,,,,,,1,1,1,,
Q3UH82,Q3UH82_MOUSE,3.0,,1,,,,,1,1,,
Q9U3D4,SMS1_CAEEL,3.0,1,1,,,,1,,,,
F7ARL3,F7ARL3_CIOIN,3.0,,1,,1,1,,,,,
F7ESE6,F7ESE6_MACMU,3.0,,1,,1,1,,,,,
F7D565,F7D565_CALJA,3.0,1,1,,1,,,,,,
Q20735,SMS2_CAEEL,3.0,1,1,,,,1,,,,
W5PFK7,W5PFK7_SHEEP,3.0,1,1,1,,,,,,,
M4AEW3,M4AEW3_XIPMA,3.0,1,1,,,1,,,,,
F7C9N8,F7C9N8_ORNAN,3.0,,1,,1,1,,,,,
Q20696,SMSR1_CAEEL,3.0,,1,,,,1,1,,,
A2FIE9,A2FIE9_TRIVA,2.0,,,,,,1,,,,1
D3YV54,D3YV54_MOUSE,2.0,,1,,,,,1,,,
G3R613,G3R613_GORGO,2.0,,1,,1,,,,,,
A2DN61,A2DN61_TRIVA,2.0,,,,,,1,,,,1
A2E114,A2E114_TRIVA,2.0,,,,,,1,,,,1
