,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000064027,MSAENNQ,TF350393,EOG70CR8G,NOG68709,HOG000155621,NA,NA,Q5W0A0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5W0A0,ERI6B_HUMAN,7.0,,1,1,1,1,1,1,,,1
E2RN48,E2RN48_CANFA,4.0,,1,1,1,1,,,,,
G1QPV7,G1QPV7_NOMLE,4.0,,1,1,1,1,,,,,
H2Q7I8,H2Q7I8_PANTR,4.0,,1,1,1,1,,,,,
G3QU18,G3QU18_GORGO,4.0,,1,1,1,1,,,,,
G3T530,G3T530_LOXAF,3.0,,1,,1,1,,,,,
M3X8Q3,M3X8Q3_FELCA,3.0,,1,1,,1,,,,,
H2NJT7,H2NJT7_PONAB,3.0,,1,1,,1,,,,,
H0XEI5,H0XEI5_OTOGA,3.0,,1,1,,1,,,,,
G1M387,G1M387_AILME,3.0,,1,,1,1,,,,,
M3XRA3,M3XRA3_MUSPF,3.0,,1,1,,1,,,,,
G3N0L2,G3N0L2_BOVIN,2.0,,1,,1,,,,,,
W5PCV2,W5PCV2_SHEEP,2.0,,1,1,,,,,,,
G3RLG0,G3RLG0_GORGO,2.0,,1,,1,,,,,,
G1SHP4,G1SHP4_RABIT,2.0,,1,,,1,,,,,
G3VUL2,G3VUL2_SARHA,2.0,,1,,,1,,,,,
G3X279,G3X279_SARHA,2.0,,1,,1,,,,,,
H0UWD5,H0UWD5_CAVPO,2.0,,1,,1,,,,,,
G1SUX0,G1SUX0_RABIT,2.0,,1,,1,,,,,,
G1NQ39,G1NQ39_MELGA,2.0,,1,,,1,,,,,
G1QSY2,G1QSY2_NOMLE,2.0,,1,,1,,,,,,
G1P095,G1P095_MYOLU,2.0,,1,,1,,,,,,
G1LQ47,G1LQ47_AILME,2.0,,1,,1,,,,,,
G1KH04,G1KH04_ANOCA,2.0,,1,,1,,,,,,
F7I0A3,F7I0A3_CALJA,2.0,,1,,1,,,,,,
F6WKN0,F6WKN0_MACMU,2.0,,1,,1,,,,,,
F6UTP6,F6UTP6_CALJA,2.0,,1,,,1,,,,,
F6SVQ1,F6SVQ1_HORSE,2.0,,1,,1,,,,,,
F1PGR3,F1PGR3_CANFA,2.0,,1,,1,,,,,,
E1C0H7,E1C0H7_CHICK,2.0,,1,,,1,,,,,
H0X228,H0X228_OTOGA,2.0,,1,,1,,,,,,
G3SM36,G3SM36_LOXAF,2.0,,1,,1,,,,,,
Q7L0X2,ERIP6_HUMAN,2.0,,1,,1,,,,,,
K7FFN3,K7FFN3_PELSI,2.0,,1,,1,,,,,,
H2QNK9,H2QNK9_PANTR,2.0,,1,,1,,,,,,
H3AG76,H3AG76_LATCH,2.0,,1,,,1,,,,,
H9GV23,H9GV23_ANOCA,2.0,,1,,,1,,,,,
I3LPX6,I3LPX6_PIG,2.0,,1,,1,,,,,,
I3NHH1,I3NHH1_SPETR,2.0,,1,,1,,,,,,
H2PBR4,H2PBR4_PONAB,2.0,,1,,1,,,,,,
K7E3X9,K7E3X9_MONDO,2.0,,1,,,1,,,,,
K7EBR5,K7EBR5_ORNAN,2.0,,1,,,1,,,,,
F6RLY2,F6RLY2_ORNAN,1.0,,1,,,,,,,,
U3JRK2,U3JRK2_FICAL,1.0,,1,,,,,,,,
F1P937,F1P937_CANFA,1.0,,1,,,,,,,,
F1NTU9,F1NTU9_CHICK,1.0,,1,,,,,,,,
F1MQ40,F1MQ40_BOVIN,1.0,,1,,,,,,,,
W5LID9,W5LID9_ASTMX,1.0,,1,,,,,,,,
H0ZM95,H0ZM95_TAEGU,1.0,,1,,,,,,,,
W5MDN5,W5MDN5_LEPOC,1.0,,1,,,,,,,,
D3Z6S9,ERIP6_MOUSE,1.0,,1,,,,,,,,
U3ISJ8,U3ISJ8_ANAPL,1.0,,1,,,,,,,,
C9JVV3,C9JVV3_HUMAN,1.0,,1,,,,,,,,
C9J7L7,C9J7L7_HUMAN,1.0,,1,,,,,,,,
A0A096NYW8,A0A096NYW8_PAPAN,1.0,,1,,,,,,,,
A0A096NDH3,A0A096NDH3_PAPAN,1.0,,1,,,,,,,,
A0A096MDY9,A0A096MDY9_POEFO,1.0,,1,,,,,,,,
D2H0K0,D2H0K0_AILME,1.0,,,,,,,1,,,
F7I0A1,F7I0A1_CALJA,1.0,,1,,,,,,,,
F6T2G9,F6T2G9_MONDO,1.0,,1,,,,,,,,
F6V3I6,F6V3I6_MACMU,1.0,,1,,,,,,,,
Q5XI56,ERIP6_RAT,1.0,,1,,,,,,,,
F7AID7,F7AID7_CALJA,1.0,,1,,,,,,,,
M3XU25,M3XU25_MUSPF,1.0,,1,,,,,,,,
M3XKY8,M3XKY8_LATCH,1.0,,1,,,,,,,,
M3WV66,M3WV66_FELCA,1.0,,1,,,,,,,,
G1NEL5,G1NEL5_MELGA,1.0,,1,,,,,,,,
K7EDL3,K7EDL3_ORNAN,1.0,,1,,,,,,,,
G1Q460,G1Q460_MYOLU,1.0,,1,,,,,,,,
K7E918,K7E918_ORNAN,1.0,,1,,,,,,,,
J9P4W8,J9P4W8_CANFA,1.0,,1,,,,,,,,
I3M279,I3M279_SPETR,1.0,,1,,,,,,,,
W5P2S7,W5P2S7_SHEEP,1.0,,1,,,,,,,,
H3A517,H3A517_LATCH,1.0,,1,,,,,,,,
A0A096LXC3,A0A096LXC3_POEFO,1.0,,1,,,,,,,,
