,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000017652,NA,TF338365,EOG7S21XR,NOG43522,HOG000111261,HBG107561,NA,Q5SV97
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5SV97,PERM1_HUMAN,7.0,,1,,1,1,1,1,1,,1
Q5SV97,PERM1_HUMAN,7.0,,1,,1,1,1,1,1,,1
A5D7L8,PERM1_BOVIN,6.0,,1,,1,1,1,1,1,,
Q149B8,PERM1_MOUSE,5.0,,1,,,1,1,1,1,,
H0XNU5,H0XNU5_OTOGA,3.0,,1,,1,1,,,,,
H9H762,H9H762_MONDO,3.0,,1,,1,1,,,,,
G1MDS0,G1MDS0_AILME,3.0,,1,,1,1,,,,,
G1QGJ6,G1QGJ6_NOMLE,3.0,,1,,1,1,,,,,
G1TUY2,G1TUY2_RABIT,3.0,,1,,1,1,,,,,
G3QJT8,G3QJT8_GORGO,3.0,,1,,1,1,,,,,
G3U9D2,G3U9D2_LOXAF,3.0,,1,,1,1,,,,,
G3VAK2,G3VAK2_SARHA,3.0,,1,,1,1,,,,,
H0UVH8,H0UVH8_CAVPO,3.0,,1,,1,1,,,,,
F6VSZ3,F6VSZ3_HORSE,3.0,,1,,1,1,,,,,
H2RGX9,H2RGX9_PANTR,3.0,,1,,1,1,,,,,
F6PWL2,F6PWL2_CALJA,3.0,,1,,1,1,,,,,
I3L5D2,I3L5D2_PIG,3.0,,1,,1,1,,,,,
F6YHM9,F6YHM9_MACMU,3.0,,1,,1,1,,,,,
E2R7Q7,E2R7Q7_CANFA,3.0,,1,,1,1,,,,,
I3NHC7,I3NHC7_SPETR,3.0,,1,,1,1,,,,,
D3ZH76,D3ZH76_RAT,3.0,,1,,1,1,,,,,
H9G5A7,H9G5A7_ANOCA,2.0,,1,,,1,,,,,
K7G2K8,K7G2K8_PELSI,2.0,,1,,,1,,,,,
M3X3U6,M3X3U6_FELCA,2.0,,1,,,1,,,,,
M3YR49,M3YR49_MUSPF,2.0,,1,,,1,,,,,
G1MWL2,G1MWL2_MELGA,2.0,,1,,,1,,,,,
F7BLB9,F7BLB9_ORNAN,2.0,,1,,,1,,,,,
B2R5K7,B2R5K7_HUMAN,1.0,,,,,,,1,,,
A7T2P4,A7T2P4_NEMVE,1.0,,,,,1,,,,,
W5PBM5,W5PBM5_SHEEP,1.0,,1,,,,,,,,
U3JY88,U3JY88_FICAL,1.0,,1,,,,,,,,
I3LU70,I3LU70_PIG,1.0,,1,,,,,,,,
I3MZB1,I3MZB1_SPETR,1.0,,1,,,,,,,,
O18284,O18284_CAEEL,1.0,,,,,1,,,,,
Q16MF3,Q16MF3_AEDAE,1.0,,,,,1,,,,,
R4GK09,R4GK09_CHICK,1.0,,1,,,,,,,,
U3ILB3,U3ILB3_ANAPL,1.0,,1,,,,,,,,
A0A096P2C9,A0A096P2C9_PAPAN,1.0,,1,,,,,,,,
