,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000006791,NYTALVG,TF331539,EOG7Q2N6V,NOG26016,HOG000170254,HBG108041,NA,Q3SXP7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3SXP7,K1644_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3SXP7,K1644_HUMAN,8.0,,1,1,1,1,1,1,1,,1
D3ZJY8,D3ZJY8_RAT,5.0,,1,1,1,1,,,,,1
Q0VBP7,K1644_MOUSE,5.0,,,1,,,1,1,1,,1
Q0VBP7,K1644_MOUSE,5.0,,,1,,,1,1,1,,1
D3ZJY8,D3ZJY8_RAT,5.0,,1,1,1,1,,,,,1
I3N9N4,I3N9N4_SPETR,4.0,,1,1,1,1,,,,,
K7GDF3,K7GDF3_PELSI,4.0,,1,1,1,1,,,,,
G3SUB8,G3SUB8_LOXAF,4.0,,1,1,1,1,,,,,
G3W8D7,G3W8D7_SARHA,4.0,,1,1,1,1,,,,,
G3NIG3,G3NIG3_GASAC,4.0,,1,1,1,1,,,,,
H7BX53,H7BX53_MOUSE,4.0,,1,1,1,1,,,,,
H3DEW6,H3DEW6_TETNG,4.0,,1,1,1,1,,,,,
H2UZR4,H2UZR4_TAKRU,4.0,,1,1,1,1,,,,,
H2QLV5,H2QLV5_PANTR,4.0,,1,1,1,1,,,,,
H0WSM3,H0WSM3_OTOGA,4.0,,1,1,1,1,,,,,
G3RCR7,G3RCR7_GORGO,4.0,,1,1,1,1,,,,,
H2LBW9,H2LBW9_ORYLA,4.0,,1,1,1,1,,,,,
H0ZP03,H0ZP03_TAEGU,4.0,,1,1,1,1,,,,,
Q1RMB5,K1644_DANRE,4.0,,,,1,,1,1,1,,
F7EM77,F7EM77_CALJA,4.0,,1,1,1,1,,,,,
F7EIG4,F7EIG4_MONDO,4.0,,1,1,1,1,,,,,
F7A9V1,F7A9V1_HORSE,4.0,,1,1,1,1,,,,,
F6S7X7,F6S7X7_MACMU,4.0,,1,1,1,1,,,,,
F1SJU5,F1SJU5_PIG,4.0,,1,1,1,1,,,,,
G3MZN0,G3MZN0_BOVIN,3.0,,1,,1,1,,,,,
G1S169,G1S169_NOMLE,3.0,,1,,1,1,,,,,
G1LRD9,G1LRD9_AILME,3.0,,1,,1,1,,,,,
G1KRN2,G1KRN2_ANOCA,3.0,,1,,1,1,,,,,
H0WB27,H0WB27_CAVPO,3.0,,1,,1,1,,,,,
F6TWA3,F6TWA3_ORNAN,3.0,,1,,1,1,,,,,
E7FBL6,E7FBL6_DANRE,3.0,,1,,1,1,,,,,
G1NM12,G1NM12_MELGA,3.0,,1,1,,1,,,,,
H2P4Q2,H2P4Q2_PONAB,3.0,,1,,1,1,,,,,
M4AT11,M4AT11_XIPMA,3.0,,1,1,,1,,,,,
I3JQA8,I3JQA8_ORENI,3.0,,,1,1,1,,,,,
I3LHV0,I3LHV0_PIG,3.0,,1,,1,1,,,,,
J9NWR2,J9NWR2_CANFA,3.0,,1,1,,1,,,,,
M3W7K1,M3W7K1_FELCA,3.0,,1,1,,1,,,,,
M3YXV8,M3YXV8_MUSPF,3.0,,1,1,,1,,,,,
Q4RSJ7,Q4RSJ7_TETNG,3.0,,,1,,,1,,1,,
F1MUT5,F1MUT5_BOVIN,2.0,,1,1,,,,,,,
W5L7P5,W5L7P5_ASTMX,2.0,,1,1,,,,,,,
U3JEC4,U3JEC4_FICAL,2.0,,1,1,,,,,,,
U3J999,U3J999_ANAPL,2.0,,1,1,,,,,,,
R4GF40,R4GF40_CHICK,2.0,,1,1,,,,,,,
G1NM11,G1NM11_MELGA,2.0,,1,,1,,,,,,
F1PST0,F1PST0_CANFA,2.0,,1,,1,,,,,,
W5QDC1,W5QDC1_SHEEP,2.0,,1,1,,,,,,,
M3XJ96,M3XJ96_LATCH,2.0,,1,,,1,,,,,
W5LYU5,W5LYU5_LEPOC,2.0,,1,1,,,,,,,
D2HKS7,D2HKS7_AILME,1.0,,,,,,,1,,,
A0A087WSA5,A0A087WSA5_MOUSE,1.0,,1,,,,,,,,
A0A087WSN1,A0A087WSN1_MOUSE,1.0,,1,,,,,,,,
A0A087XXH8,A0A087XXH8_POEFO,1.0,,1,,,,,,,,
A0A096NKL0,A0A096NKL0_PAPAN,1.0,,1,,,,,,,,
Z4YHV3,Z4YHV3_DANRE,1.0,,1,,,,,,,,
X1WFS2,X1WFS2_DANRE,1.0,,1,,,,,,,,
H2Y0F2,H2Y0F2_CIOIN,1.0,,,,,1,,,,,
M3YXV9,M3YXV9_MUSPF,1.0,,1,,,,,,,,
W5LJZ5,W5LJZ5_ASTMX,1.0,,1,,,,,,,,
W5NE57,W5NE57_LEPOC,1.0,,1,,,,,,,,
A0A087WRN8,A0A087WRN8_MOUSE,1.0,,1,,,,,,,,
