,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00700000104576,SPVIRLQ,TF336191,EOG7B05DF,NOG45674,HOG000111433,HBG061228,NA,Q8IV32
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8VEG0,CCD71_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8VEG0,CCD71_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q8IV32,CCD71_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q2HJ91,CCD71_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q4V7C4,CCD71_RAT,5.0,,1,1,,1,,,1,,1
E1C881,E1C881_CHICK,5.0,,1,1,1,1,,,,,1
Q4V7C4,CCD71_RAT,5.0,,1,1,,1,,,1,,1
H0VFX1,H0VFX1_CAVPO,4.0,,1,1,1,1,,,,,
G1MPC5,G1MPC5_AILME,4.0,,1,1,1,1,,,,,
H0ZEM0,H0ZEM0_TAEGU,4.0,,1,1,1,1,,,,,
G1R522,G1R522_NOMLE,4.0,,1,1,1,1,,,,,
G1TE06,G1TE06_RABIT,4.0,,1,1,1,1,,,,,
H0XLV2,H0XLV2_OTOGA,4.0,,1,1,1,1,,,,,
F7ILD0,F7ILD0_CALJA,4.0,,1,1,1,1,,,,,
G3WS34,G3WS34_SARHA,4.0,,1,1,1,1,,,,,
G3UQ07,G3UQ07_MELGA,4.0,,1,1,1,1,,,,,
G3SVJ1,G3SVJ1_LOXAF,4.0,,1,1,1,1,,,,,
G1KYY0,G1KYY0_ANOCA,4.0,,1,1,1,1,,,,,
G3S660,G3S660_GORGO,4.0,,1,1,1,1,,,,,
I3MXW5,I3MXW5_SPETR,4.0,,1,1,1,1,,,,,
F7GYC2,F7GYC2_MACMU,4.0,,1,1,1,1,,,,,
G2HIJ6,G2HIJ6_PANTR,4.0,,1,1,1,1,,,,,
F7F3Z7,F7F3Z7_ORNAN,4.0,,1,1,1,1,,,,,
F6YT18,F6YT18_HORSE,4.0,,1,1,1,1,,,,,
F6UYD1,F6UYD1_MONDO,4.0,,1,1,1,1,,,,,
F1SPT4,F1SPT4_PIG,4.0,,1,1,1,1,,,,,
E2QWW9,E2QWW9_CANFA,4.0,,1,1,1,1,,,,,
H3ARY6,H3ARY6_LATCH,3.0,,1,,1,1,,,,,
Q1LVR7,Q1LVR7_DANRE,3.0,,1,,1,1,,,,,
Q6DEY6,Q6DEY6_XENTR,3.0,,,,,,1,1,1,,
H0VX17,H0VX17_CAVPO,3.0,,1,,1,1,,,,,
M3Z7F8,M3Z7F8_MUSPF,3.0,,1,1,,1,,,,,
W5PYA1,W5PYA1_SHEEP,2.0,,1,1,,,,,,,
I3IVA1,I3IVA1_ORENI,2.0,,,,1,1,,,,,
M3X7J2,M3X7J2_FELCA,2.0,,1,,,1,,,,,
M4B0B6,M4B0B6_XIPMA,2.0,,1,,,1,,,,,
U3KJA3,U3KJA3_FICAL,2.0,,1,1,,,,,,,
W5N6H7,W5N6H7_LEPOC,1.0,,1,,,,,,,,
F1R2Q7,F1R2Q7_DANRE,1.0,,1,,,,,,,,
A0A096MR19,A0A096MR19_PAPAN,1.0,,1,,,,,,,,
A0A0A6YXC9,A0A0A6YXC9_MOUSE,1.0,,1,,,,,,,,
A4IG81,A4IG81_DANRE,1.0,,,,,,1,,,,
D2HEV7,D2HEV7_AILME,1.0,,,,,,,1,,,
W5LU68,W5LU68_ASTMX,1.0,,1,,,,,,,,
E9Q4T4,E9Q4T4_MOUSE,1.0,,,,1,,,,,,
Q8N9Z2,CC71L_HUMAN,1.0,,,,1,,,,,,
U3J8Y7,U3J8Y7_ANAPL,1.0,,1,,,,,,,,
H0XSU1,H0XSU1_OTOGA,1.0,,,,1,,,,,,
Q6P283,Q6P283_XENLA,1.0,,,,,,,,1,,
F7E9F9,F7E9F9_MONDO,1.0,,,,1,,,,,,
F7HIT4,F7HIT4_MACMU,1.0,,,,1,,,,,,
H2R513,H2R513_PANTR,1.0,,,,1,,,,,,
H2PN58,H2PN58_PONAB,1.0,,,,1,,,,,,
A0A087YPT6,A0A087YPT6_POEFO,1.0,,1,,,,,,,,
