,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K06689,ENSGT00760000119012,CNINSHG,TF101117,EOG7PCJGX,NA,HOG000233455,HBG063308,NA,Q96LR5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96LR5,UB2E2_HUMAN,8.0,1,1,1,1,1,,1,1,,1
Q96LR5,UB2E2_HUMAN,8.0,1,1,1,1,1,,1,1,,1
Q6DG68,Q6DG68_DANRE,7.0,1,1,,1,1,,1,1,,1
Q91W82,UB2E2_MOUSE,7.0,1,1,1,1,,,1,1,,1
Q91W82,UB2E2_MOUSE,7.0,1,1,1,1,,,1,1,,1
Q969T4,UB2E3_HUMAN,6.0,1,1,,1,1,,1,1,,
P51965,UB2E1_HUMAN,6.0,1,1,,1,1,,1,1,,
A7MBT5,A7MBT5_DANRE,6.0,1,1,,1,1,,1,1,,
B0S6A7,B0S6A7_DANRE,6.0,1,1,,1,1,,1,1,,
P52482,UB2E1_MOUSE,5.0,1,,,1,1,,1,1,,
P52483,UB2E3_MOUSE,5.0,1,1,,1,,,1,1,,
Q1RMX2,UB2D2_BOVIN,5.0,1,1,,,1,,1,1,,
P51668,UB2D1_HUMAN,5.0,1,1,,,1,,1,1,,
H2PBC1,H2PBC1_PONAB,5.0,1,1,1,1,1,,,,,
P70711,U2D2B_RAT,5.0,1,1,,,1,,1,1,,
G1QTM2,G1QTM2_NOMLE,5.0,1,1,1,1,1,,,,,
F7H5G8,F7H5G8_MACMU,5.0,1,1,1,1,1,,,,,
A0JM78,A0JM78_XENTR,5.0,1,1,,,1,,1,1,,
A4QNX5,A4QNX5_DANRE,5.0,1,1,,,1,,1,1,,
P62837,UB2D2_HUMAN,5.0,1,1,,,1,,1,1,,
Q28EY6,Q28EY6_XENTR,5.0,1,1,,,1,,1,1,,
Q7ZUR2,Q7ZUR2_DANRE,5.0,1,1,,,1,,1,1,,
Q6PBX6,Q6PBX6_DANRE,5.0,1,1,,,1,,1,1,,
Q6PC58,Q6PC58_DANRE,5.0,1,1,,,1,,1,1,,
Q2TA10,UB2D1_BOVIN,5.0,1,1,,,1,,1,1,,
Q6ZWY6,U2D2B_MOUSE,5.0,1,1,,,1,,1,1,,
Q7SXH5,Q7SXH5_DANRE,5.0,1,1,,,1,,1,1,,
P61080,UB2D1_MOUSE,4.0,1,,,,1,,1,1,,
H9GHD7,H9GHD7_ANOCA,4.0,1,1,,1,1,,,,,
G1R373,G1R373_NOMLE,4.0,1,1,,1,1,,,,,
G1QTP2,G1QTP2_NOMLE,4.0,1,1,,1,1,,,,,
F7F5A1,F7F5A1_RAT,4.0,1,1,,,1,,,1,,
P61079,UB2D3_MOUSE,4.0,1,,,,1,,1,1,,
Q4S9C4,Q4S9C4_TETNG,4.0,,1,,1,1,,,1,,
K7F241,K7F241_PELSI,4.0,1,1,,1,1,,,,,
G1Q6K8,G1Q6K8_MYOLU,4.0,,1,1,1,1,,,,,
H2QM68,H2QM68_PANTR,4.0,1,1,,1,1,,,,,
H2P810,H2P810_PONAB,4.0,1,1,,1,1,,,,,
H2PBC0,H2PBC0_PONAB,4.0,1,1,,1,1,,,,,
F7CXA3,F7CXA3_CALJA,4.0,1,1,,1,1,,,,,
A9JRT4,A9JRT4_DANRE,4.0,1,1,,,,,1,1,,
D2HKU6,D2HKU6_AILME,4.0,,1,1,,1,,1,,,
F7CH20,F7CH20_HORSE,4.0,1,1,,1,1,,,,,
G3QZ96,G3QZ96_GORGO,4.0,1,1,,1,1,,,,,
P61077,UB2D3_HUMAN,4.0,1,1,,,1,,,1,,
A2AFH1,A2AFH1_MOUSE,4.0,,1,,,1,,1,1,,
F7AQB2,F7AQB2_HORSE,4.0,1,1,,1,1,,,,,
E2RHN3,E2RHN3_CANFA,4.0,1,1,,1,1,,,,,
F7HG67,F7HG67_CALJA,4.0,1,1,,1,1,,,,,
E1BQY2,E1BQY2_CHICK,4.0,1,1,,1,1,,,,,
Q7PN26,Q7PN26_ANOGA,4.0,1,,,,1,,1,,,1
H0ZGF1,H0ZGF1_TAEGU,4.0,1,1,,1,1,,,,,
A7SQR5,A7SQR5_NEMVE,4.0,1,,,,1,,1,,,1
F6ZX23,F6ZX23_CIOIN,4.0,1,1,,1,1,,,,,
A7SQR6,A7SQR6_NEMVE,4.0,1,,,,1,,1,,,1
G1SQ61,G1SQ61_RABIT,4.0,1,1,,1,1,,,,,
Q9Y2X8,UB2D4_HUMAN,4.0,1,1,,,,,1,1,,
P62838,UB2D2_MOUSE,4.0,1,,,,1,,1,1,,
H2LVU0,H2LVU0_ORYLA,4.0,1,1,,1,1,,,,,
A2AFH2,A2AFH2_MOUSE,4.0,,1,,,1,,1,1,,
Q5ZL59,Q5ZL59_CHICK,4.0,1,,,,1,,1,1,,
D3ZYE1,D3ZYE1_RAT,4.0,,1,1,1,1,,,,,
G3QGR3,G3QGR3_GORGO,4.0,1,1,,1,1,,,,,
F7H158,F7H158_MACMU,4.0,1,1,,1,1,,,,,
H3A3K5,H3A3K5_LATCH,4.0,1,1,,1,1,,,,,
K7FJG2,K7FJG2_PELSI,3.0,1,1,,,1,,,,,
K7EU67,K7EU67_PONAB,3.0,1,1,,,1,,,,,
F7I4H3,F7I4H3_CALJA,3.0,1,1,,,1,,,,,
H2STM0,H2STM0_TAKRU,3.0,1,1,,,1,,,,,
U3K3K7,U3K3K7_FICAL,3.0,1,1,1,,,,,,,
F7HWE6,F7HWE6_CALJA,3.0,1,1,,,1,,,,,
H2NAV1,H2NAV1_PONAB,3.0,1,1,,,1,,,,,
K7FNG9,K7FNG9_PELSI,3.0,,1,,1,1,,,,,
Q3UFQ4,Q3UFQ4_MOUSE,3.0,1,1,,,,,,1,,
H0YYN9,H0YYN9_TAEGU,3.0,,1,,1,1,,,,,
Q2T9X7,UB2E3_BOVIN,3.0,1,,,,,,1,1,,
A7RXR8,A7RXR8_NEMVE,3.0,1,,,,1,,1,,,
E2QXE6,E2QXE6_CANFA,3.0,1,1,,,1,,,,,
H2LKV0,H2LKV0_ORYLA,3.0,1,1,,,1,,,,,
H2M178,H2M178_ORYLA,3.0,1,1,,,1,,,,,
H2M874,H2M874_ORYLA,3.0,1,1,,,1,,,,,
Q3UT95,Q3UT95_MOUSE,3.0,1,1,,,,,,1,,
K7FP18,K7FP18_PELSI,3.0,,1,1,,1,,,,,
Q3ZCF7,UB2D3_BOVIN,3.0,1,,,,,,1,1,,
H2TFL0,H2TFL0_TAKRU,3.0,1,1,,,1,,,,,
Q4QQL2,Q4QQL2_MOUSE,3.0,1,1,,,,,,1,,
A8X150,A8X150_CAEBR,3.0,1,,,,1,,1,,,
H2PGR1,H2PGR1_PONAB,3.0,1,1,,,1,,,,,
H2Q1X5,H2Q1X5_PANTR,3.0,1,1,,,1,,,,,
H2QJ28,H2QJ28_PANTR,3.0,,1,,1,1,,,,,
H2TDD3,H2TDD3_TAKRU,3.0,1,1,,,1,,,,,
H2QRL6,H2QRL6_PANTR,3.0,1,1,,,1,,,,,
H2THQ0,H2THQ0_TAKRU,3.0,,1,,1,1,,,,,
F6QMS1,F6QMS1_CALJA,3.0,1,1,,,1,,,,,
F7C462,F7C462_XENTR,3.0,,1,,1,1,,,,,
H9KWJ7,H9KWJ7_CALJA,3.0,,1,,1,1,,,,,
J9NV53,J9NV53_CANFA,3.0,,1,,1,1,,,,,
J9NTA2,J9NTA2_CANFA,3.0,1,1,,,1,,,,,
J9NS22,J9NS22_CANFA,3.0,1,1,,,1,,,,,
Q9QZU9,UB2L6_MOUSE,3.0,,1,,,,,1,1,,
F7AWJ5,F7AWJ5_XENTR,3.0,,1,,1,1,,,,,
J9JHL1,J9JHL1_CANFA,3.0,,1,,1,1,,,,,
Q9LJD7,COP10_ARATH,3.0,1,,,,,,1,,,1
Q6P318,Q6P318_XENTR,3.0,1,,,,,,1,1,,
F2Z5P3,F2Z5P3_PIG,3.0,1,1,,,1,,,,,
Q6P837,Q6P837_XENTR,3.0,1,,,,,,1,1,,
F6SSD2,F6SSD2_MONDO,3.0,1,1,,1,,,,,,
F6YKW0,F6YKW0_MONDO,3.0,,1,1,,1,,,,,
F6YKS8,F6YKS8_MONDO,3.0,,1,,1,1,,,,,
I3LQC1,I3LQC1_PIG,3.0,,1,,1,1,,,,,
Q7PRY1,Q7PRY1_ANOGA,3.0,1,,,,1,,1,,,
F6Y5B7,F6Y5B7_CIOIN,3.0,1,1,,,1,,,,,
F6VCY8,F6VCY8_XENTR,3.0,1,1,,,1,,,,,
Q7QLN3,Q7QLN3_ANOGA,3.0,1,,,,1,,1,,,
B7Q173,B7Q173_IXOSC,3.0,1,,,,1,,,,,1
H9GHB5,H9GHB5_ANOCA,3.0,,1,,1,1,,,,,
B0W519,B0W519_CULQU,3.0,1,,,,1,,1,,,
E1BZJ2,E1BZJ2_CHICK,3.0,1,1,,,1,,,,,
F7HC17,F7HC17_MACMU,3.0,,1,,1,1,,,,,
H2YZ32,H2YZ32_CIOSA,3.0,,1,,1,1,,,,,
H2ZRJ4,H2ZRJ4_LATCH,3.0,1,1,,,1,,,,,
H3A7H1,H3A7H1_LATCH,3.0,1,1,,,1,,,,,
F1MLF9,F1MLF9_BOVIN,3.0,,1,,1,1,,,,,
F1P120,F1P120_CHICK,3.0,,1,,1,1,,,,,
B2RZA9,B2RZA9_RAT,3.0,,1,,,,,1,1,,
F1PYI2,F1PYI2_CANFA,3.0,,1,,1,1,,,,,
Q541Z5,Q541Z5_MOUSE,3.0,1,1,,,,,,1,,
B8Y648,B8Y648_PIG,3.0,,1,,,,,1,1,,
Q5BJ50,Q5BJ50_XENTR,3.0,,1,,,,,1,1,,
F7ER97,F7ER97_ORNAN,3.0,,1,1,,1,,,,,
H3CWQ3,H3CWQ3_TETNG,3.0,,1,,1,1,,,,,
H3DR60,H3DR60_TETNG,3.0,,1,1,,1,,,,,
F7CC81,F7CC81_MONDO,3.0,1,1,,,1,,,,,
H9G8V3,H9G8V3_ANOCA,3.0,1,1,,,1,,,,,
B3S643,B3S643_TRIAD,3.0,1,,,,1,,1,,,
H9GEJ3,H9GEJ3_ANOCA,3.0,1,1,,,1,,,,,
B3S848,B3S848_TRIAD,3.0,1,,,,1,,1,,,
B3SCE8,B3SCE8_TRIAD,3.0,1,,,,1,,1,,,
H0YYM8,H0YYM8_TAEGU,3.0,,1,,1,1,,,,,
F6VRB8,F6VRB8_ORNAN,3.0,,1,,1,1,,,,,
G1RNY3,G1RNY3_NOMLE,3.0,1,1,,,1,,,,,
M3XLI0,M3XLI0_LATCH,3.0,1,1,,,1,,,,,
P25867,UBCD1_DROME,3.0,1,1,,,1,,,,,
H0UY42,H0UY42_CAVPO,3.0,,1,,1,1,,,,,
D6RAH7,D6RAH7_HUMAN,3.0,1,1,,,,,1,,,
G1T4L2,G1T4L2_RABIT,3.0,,1,,1,1,,,,,
G3N2X5,G3N2X5_BOVIN,3.0,,1,1,,1,,,,,
P15732,UBC5_YEAST,3.0,1,1,,,,,1,,,
G1TM76,G1TM76_RABIT,3.0,,1,,1,1,,,,,
G1L9Y1,G1L9Y1_AILME,3.0,,1,,1,1,,,,,
P15731,UBC4_YEAST,3.0,1,1,,,,,1,,,
G3WTB6,G3WTB6_SARHA,3.0,,1,1,,1,,,,,
H0V931,H0V931_CAVPO,3.0,,1,,1,1,,,,,
M3YL75,M3YL75_MUSPF,3.0,,1,1,,1,,,,,
M4ALP7,M4ALP7_XIPMA,3.0,1,1,,,1,,,,,
P52485,UBCD2_DROME,3.0,1,,,,1,,,,,1
P52485,UBCD2_DROME,3.0,1,,,,1,,,,,1
G1LUP8,G1LUP8_AILME,3.0,1,1,,,1,,,,,
A2BIR4,A2BIR4_DANRE,3.0,,1,,,,,1,1,,
Q0ZFT2,Q0ZFT2_RAT,3.0,,,,1,,,1,1,,
M4AJF8,M4AJF8_XIPMA,3.0,1,1,,,1,,,,,
Q06AA8,Q06AA8_PIG,3.0,1,,,,,,1,1,,
Q06AA9,UB2D2_PIG,3.0,1,,,,,,1,1,,
G1NES7,G1NES7_MELGA,3.0,,1,1,,1,,,,,
G1NAG0,G1NAG0_MELGA,3.0,,1,,1,1,,,,,
Q06AB0,Q06AB0_PIG,3.0,1,,,,,,1,1,,
G3PHR1,G3PHR1_GASAC,3.0,,1,,1,1,,,,,
M3WU76,M3WU76_FELCA,3.0,1,1,,,1,,,,,
P68036,UB2L3_HUMAN,3.0,,1,,,,,1,1,,
G3NYV0,G3NYV0_GASAC,3.0,,1,,1,1,,,,,
M3X3D6,M3X3D6_FELCA,3.0,1,1,,,1,,,,,
A2BIR3,A2BIR3_DANRE,3.0,,1,,,,,1,1,,
P61078,UB2D3_RAT,3.0,1,,,,,,1,1,,
G3PHS7,G3PHS7_GASAC,3.0,,1,,1,1,,,,,
M3ZNL3,M3ZNL3_XIPMA,3.0,1,1,,,1,,,,,
P35129,UBC2_CAEEL,3.0,1,1,,,,,1,,,
H0VZC1,H0VZC1_CAVPO,3.0,,1,,1,1,,,,,
G1PR62,G1PR62_MYOLU,3.0,,1,,1,1,,,,,
Q201W8,Q201W8_ACYPI,3.0,1,,,,1,,1,,,
D3YUH6,D3YUH6_MOUSE,3.0,,1,,,1,,1,,,
G3STQ7,G3STQ7_LOXAF,3.0,,1,,1,1,,,,,
H0XC97,H0XC97_OTOGA,3.0,,1,,1,1,,,,,
G3T015,G3T015_LOXAF,3.0,,1,,1,1,,,,,
M4AWR8,M4AWR8_XIPMA,3.0,1,1,,,1,,,,,
H0WZA8,H0WZA8_OTOGA,3.0,,1,1,,1,,,,,
H0WWH2,H0WWH2_OTOGA,3.0,,1,,1,1,,,,,
O14933,UB2L6_HUMAN,3.0,,1,,,,,1,1,,
G1KAB3,G1KAB3_ANOCA,3.0,1,1,,,1,,,,,
Q1HR02,Q1HR02_AEDAE,3.0,1,,,,1,,1,,,
G3T5Q9,G3T5Q9_LOXAF,3.0,,1,1,,1,,,,,
Q17BA8,Q17BA8_AEDAE,3.0,1,,,,1,,1,,,
G1SAA8,G1SAA8_NOMLE,3.0,1,1,,,1,,,,,
G1QT42,G1QT42_NOMLE,3.0,1,1,,,1,,,,,
P62839,UB2D2_RAT,3.0,1,,,,,,1,1,,
G3QLG7,G3QLG7_GORGO,3.0,1,1,,,1,,,,,
Q5F405,Q5F405_CHICK,2.0,,,,,,,1,1,,
Q5JXB2,UE2NL_HUMAN,2.0,,,,,,,1,1,,
B7Z306,B7Z306_HUMAN,2.0,1,1,,,,,,,,
J9JKF2,J9JKF2_ACYPI,2.0,1,,,,1,,,,,
Q63ZH5,Q63ZH5_XENLA,2.0,1,,,,,,,1,,
B6T544,B6T544_MAIZE,2.0,1,,,,,,1,,,
D7SJH9,D7SJH9_VITVI,2.0,1,,,,,,1,,,
Q6C907,Q6C907_YARLI,2.0,1,,,,,,1,,,
B8C0C0,B8C0C0_THAPS,2.0,1,,,,,,1,,,
Q5BLA9,Q5BLA9_DANRE,2.0,,,,,,,1,1,,
P35134,UBC11_ARATH,2.0,1,,,,,,1,,,
B6U4K0,B6U4K0_MAIZE,2.0,1,,,,,,1,,,
D3ZL88,D3ZL88_RAT,2.0,,1,,,1,,,,,
Q5KIJ2,Q5KIJ2_CRYNJ,2.0,1,,,,,,1,,,
Q6BJ01,Q6BJ01_DEBHA,2.0,1,,,,,,1,,,
Q5PR60,Q5PR60_DANRE,2.0,,,,,,,1,1,,
Q5R4V7,UB2D3_PONAB,2.0,1,,,,,,,1,,
M3YG71,M3YG71_MUSPF,2.0,,1,,,1,,,,,
Q63ZS2,Q63ZS2_XENLA,2.0,1,,,,,,,1,,
B7Q149,B7Q149_IXOSC,2.0,1,,,,1,,,,,
B7PKN3,B7PKN3_IXOSC,2.0,1,,,,1,,,,,
M3YL72,M3YL72_MUSPF,2.0,,1,,,1,,,,,
J9JRS4,J9JRS4_ACYPI,2.0,1,,,,1,,,,,
Q5ZIL3,Q5ZIL3_CHICK,2.0,,,,,,,1,1,,
P46595,UBC4_SCHPO,2.0,1,,,,,,1,,,
Q5ZKN7,Q5ZKN7_CHICK,2.0,,,,,,,1,1,,
