,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000016565,TELCLET,TF336538,EOG7TMZRV,NOG45474,HOG000285955,HBG056885,NA,Q8NAX2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6AY88,KDF1_RAT,8.0,,1,1,1,1,1,1,1,,1
Q8NAX2,KDF1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8NAX2,KDF1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q6AY88,KDF1_RAT,8.0,,1,1,1,1,1,1,1,,1
A5PJK4,A5PJK4_BOVIN,7.0,,1,1,1,1,1,1,1,,
A2A9F4,KDF1_MOUSE,6.0,,1,1,1,,1,1,1,,
D2GWI1,D2GWI1_AILME,5.0,,1,1,1,1,,1,,,
H0WK02,H0WK02_OTOGA,4.0,,1,1,1,1,,,,,
H3AVV4,H3AVV4_LATCH,4.0,,1,1,1,1,,,,,
F7E7L0,F7E7L0_XENTR,4.0,,1,1,1,1,,,,,
H2PYE8,H2PYE8_PANTR,4.0,,1,1,1,1,,,,,
H0YRU1,H0YRU1_TAEGU,4.0,,1,1,1,1,,,,,
G3TG82,G3TG82_LOXAF,4.0,,1,1,1,1,,,,,
H0WB07,H0WB07_CAVPO,4.0,,1,1,1,1,,,,,
G3S3Y3,G3S3Y3_GORGO,4.0,,1,1,1,1,,,,,
F7BH40,F7BH40_MONDO,4.0,,1,1,1,1,,,,,
F7HSS7,F7HSS7_MACMU,4.0,,1,1,1,1,,,,,
G1SQZ0,G1SQZ0_RABIT,4.0,,1,1,1,1,,,,,
F7DZ26,F7DZ26_HORSE,4.0,,1,1,1,1,,,,,
G1P2Y4,G1P2Y4_MYOLU,4.0,,1,1,1,1,,,,,
I3MPE4,I3MPE4_SPETR,4.0,,1,1,1,1,,,,,
G1MQ68,G1MQ68_MELGA,4.0,,1,1,1,1,,,,,
F1STQ5,F1STQ5_PIG,4.0,,1,1,1,1,,,,,
E2R9Y8,E2R9Y8_CANFA,4.0,,1,1,1,1,,,,,
A2A9F3,A2A9F3_MOUSE,4.0,,1,,,1,,1,1,,
H9GNI9,H9GNI9_ANOCA,3.0,,1,,1,1,,,,,
M3WUL9,M3WUL9_FELCA,3.0,,1,1,,1,,,,,
M3YW40,M3YW40_MUSPF,3.0,,1,1,,1,,,,,
H2N8E1,H2N8E1_PONAB,3.0,,1,,1,1,,,,,
F7EQM4,F7EQM4_CALJA,3.0,,1,1,1,,,,,,
F1NE75,F1NE75_CHICK,3.0,,1,,1,1,,,,,
Q0P4J2,Q0P4J2_XENTR,3.0,,,,,,1,1,1,,
A8Y5H9,A8Y5H9_MOUSE,3.0,,1,,,,,1,1,,
K7F8I7,K7F8I7_PELSI,3.0,,1,,1,1,,,,,
E7F2A2,E7F2A2_DANRE,2.0,,1,,1,,,,,,
F7F3Q3,F7F3Q3_CALJA,2.0,,1,,,1,,,,,
W5P156,W5P156_SHEEP,2.0,,1,1,,,,,,,
G3NVZ9,G3NVZ9_GASAC,2.0,,1,,1,,,,,,
H2U9Z4,H2U9Z4_TAKRU,2.0,,1,,1,,,,,,
H3CW98,H3CW98_TETNG,2.0,,1,,1,,,,,,
U3JVK5,U3JVK5_FICAL,2.0,,1,1,,,,,,,
R0LB06,R0LB06_ANAPL,2.0,,1,1,,,,,,,
Q68D65,Q68D65_HUMAN,1.0,,1,,,,,,,,
A0A087XW26,A0A087XW26_POEFO,1.0,,1,,,,,,,,
A0A096MYI7,A0A096MYI7_PAPAN,1.0,,1,,,,,,,,
A2A9F2,A2A9F2_MOUSE,1.0,,1,,,,,,,,
W5L2M1,W5L2M1_ASTMX,1.0,,1,,,,,,,,
W5KKT4,W5KKT4_ASTMX,1.0,,1,,,,,,,,
A9UMP0,A9UMP0_XENLA,1.0,,,,,,,,1,,
B1H1Q3,B1H1Q3_XENLA,1.0,,,,,,,,1,,
E7EZS2,E7EZS2_DANRE,1.0,,1,,,,,,,,
Q4SH51,Q4SH51_TETNG,1.0,,,,,,1,,,,
W5M8F8,W5M8F8_LEPOC,1.0,,1,,,,,,,,
Q4SH46,Q4SH46_TETNG,1.0,,,,,,,1,,,
M4AC11,M4AC11_XIPMA,1.0,,1,,,,,,,,
M4A7X7,M4A7X7_XIPMA,1.0,,1,,,,,,,,
F6QVB7,F6QVB7_XENTR,1.0,,1,,,,,,,,
I3JI57,I3JI57_ORENI,1.0,,,,1,,,,,,
F7E7L4,F7E7L4_XENTR,1.0,,1,,,,,,,,
H2LHV9,H2LHV9_ORYLA,1.0,,1,,,,,,,,
F7EQY1,F7EQY1_CALJA,1.0,,1,,,,,,,,
A0A087X9S6,A0A087X9S6_POEFO,1.0,,1,,,,,,,,
