,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000000436,SVHEAWN,TF332548,EOG7HHWVM,NOG28250,HOG000111615,HBG081137,NA,Q96E16
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96E16,SMI19_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q96E16,SMI19_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q4V921,SMI19_DANRE,8.0,,1,1,1,1,1,1,1,,1
A4QNL6,SMI19_XENTR,7.0,,1,1,1,1,1,1,1,,
A5D7B5,SMI19_BOVIN,7.0,,1,1,1,1,1,1,1,,
Q80ZU4,SMI19_MOUSE,5.0,,1,,,,1,1,1,,1
Q80ZU4,SMI19_MOUSE,5.0,,1,,,,1,1,1,,1
G3QZZ5,G3QZZ5_GORGO,4.0,,1,1,1,1,,,,,
F6WTA3,F6WTA3_MACMU,4.0,,1,1,1,1,,,,,
F6WNJ3,F6WNJ3_MONDO,4.0,,1,1,1,1,,,,,
H0WXC2,H0WXC2_OTOGA,4.0,,1,1,1,1,,,,,
H0UZ28,H0UZ28_CAVPO,4.0,,1,1,1,1,,,,,
G3STE7,G3STE7_LOXAF,4.0,,1,1,1,1,,,,,
G1PHN6,G1PHN6_MYOLU,4.0,,1,1,1,1,,,,,
G3Q4F6,G3Q4F6_GASAC,4.0,,1,1,1,1,,,,,
G1RR21,G1RR21_NOMLE,4.0,,1,1,1,1,,,,,
H2QW38,H2QW38_PANTR,4.0,,1,1,1,1,,,,,
G1LEL1,G1LEL1_AILME,4.0,,1,1,1,1,,,,,
G1KIM1,G1KIM1_ANOCA,4.0,,1,1,1,1,,,,,
H2LZU5,H2LZU5_ORYLA,4.0,,1,1,1,1,,,,,
F7FD34,F7FD34_CALJA,4.0,,1,1,1,1,,,,,
H2RQL7,H2RQL7_TAKRU,4.0,,1,1,1,1,,,,,
H2ZXY8,H2ZXY8_LATCH,4.0,,1,1,1,1,,,,,
F7DTA6,F7DTA6_HORSE,4.0,,1,1,1,1,,,,,
I3LZR1,I3LZR1_SPETR,4.0,,1,1,1,1,,,,,
J9P0S2,J9P0S2_CANFA,4.0,,1,1,1,1,,,,,
K7FUB8,K7FUB8_PELSI,4.0,,1,1,1,1,,,,,
F1SE28,F1SE28_PIG,4.0,,1,1,1,1,,,,,
F1NAT7,F1NAT7_CHICK,4.0,,1,1,1,1,,,,,
F1LVG4,F1LVG4_RAT,4.0,,1,1,1,1,,,,,
E9PUT6,E9PUT6_MOUSE,4.0,,1,1,1,1,,,,,
M3WW73,M3WW73_FELCA,3.0,,1,1,,1,,,,,
M4AMR9,M4AMR9_XIPMA,3.0,,1,1,,1,,,,,
G1SK66,G1SK66_RABIT,3.0,,1,,1,1,,,,,
G1MZ92,G1MZ92_MELGA,3.0,,1,,1,1,,,,,
F7CGG0,F7CGG0_ORNAN,3.0,,1,,1,1,,,,,
I3KFJ2,I3KFJ2_ORENI,3.0,,,1,1,1,,,,,
W5QJC4,W5QJC4_PONAB,2.0,,1,1,,,,,,,
H0Z1J4,H0Z1J4_TAEGU,2.0,,1,,,1,,,,,
W5N442,W5N442_LEPOC,2.0,,1,1,,,,,,,
W5JYM3,W5JYM3_ASTMX,2.0,,1,1,,,,,,,
W5NZU4,W5NZU4_SHEEP,2.0,,1,1,,,,,,,
F7HXA7,F7HXA7_CALJA,1.0,,1,,,,,,,,
D2H977,D2H977_AILME,1.0,,,,,,,1,,,
A0A096N1H3,A0A096N1H3_PAPAN,1.0,,1,,,,,,,,
B5XBI8,B5XBI8_SALSA,1.0,,,,,,,,1,,
B5XE78,B5XE78_SALSA,1.0,,,,,,,,1,,
E5RKA7,E5RKA7_HUMAN,1.0,,1,,,,,,,,
E5RII4,E5RII4_HUMAN,1.0,,1,,,,,,,,
U3JVI3,U3JVI3_FICAL,1.0,,1,,,,,,,,
E9QCU0,E9QCU0_DANRE,1.0,,1,,,,,,,,
U3HYS0,U3HYS0_ANAPL,1.0,,1,,,,,,,,
Q5RBD8,SMI19_PONAB,1.0,,,,,,,,1,,
Q4T7G9,Q4T7G9_TETNG,1.0,,,,,,,,1,,
A0A087XI59,A0A087XI59_POEFO,1.0,,1,,,,,,,,
