,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000015813,EEAIHEA,TF105422,EOG7JMGGC,COG0822,HOG000069228,HBG052621,NA,Q9H1K1
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9H1K1,ISCU_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9H1K1,ISCU_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9D7P6,ISCU_MOUSE,7.0,,1,,1,1,1,1,1,,1
B2RZ79,B2RZ79_RAT,7.0,,1,,1,1,1,1,1,,1
Q17QE6,Q17QE6_BOVIN,6.0,,1,,1,1,1,1,1,,
Q6P633,Q6P633_XENTR,6.0,,1,,1,1,1,1,1,,
O45948,O45948_CAEEL,5.0,,1,,,1,1,1,,,1
Q6ZM53,Q6ZM53_DANRE,4.0,,1,,1,1,,,1,,
H3CUK0,H3CUK0_TETNG,4.0,,1,1,1,1,,,,,
Q7Q6J4,Q7Q6J4_ANOGA,4.0,,,,,1,1,1,,,1
Q9VHK6,Q9VHK6_DROME,4.0,,1,,,1,1,,,,1
Q568F2,Q568F2_DANRE,4.0,,,,,,1,1,1,,1
H2TW20,H2TW20_TAKRU,4.0,,1,1,1,1,,,,,
Q12056,ISU2_YEAST,4.0,,1,,,,1,1,,,1
Q03020,ISU1_YEAST,4.0,,1,,,,1,1,,,1
G3PXT2,G3PXT2_GASAC,4.0,,1,1,1,1,,,,,
A7SBZ9,A7SBZ9_NEMVE,4.0,,,,,1,1,1,,,1
H0VI65,H0VI65_CAVPO,3.0,,1,,1,1,,,,,
G3R7F6,G3R7F6_GORGO,3.0,,1,,1,1,,,,,
G3SZI7,G3SZI7_LOXAF,3.0,,1,,1,1,,,,,
G3WAT2,G3WAT2_SARHA,3.0,,1,,1,1,,,,,
H2RGL1,H2RGL1_PANTR,3.0,,1,,1,1,,,,,
H0WHI9,H0WHI9_OTOGA,3.0,,1,,1,1,,,,,
H0Z997,H0Z997_TAEGU,3.0,,1,,1,1,,,,,
H2LRI0,H2LRI0_ORYLA,3.0,,1,,1,1,,,,,
G1TBC6,G1TBC6_RABIT,3.0,,1,,1,1,,,,,
H2LWE0,H2LWE0_ORYLA,3.0,,1,,1,1,,,,,
H2NIJ1,H2NIJ1_PONAB,3.0,,1,,1,1,,,,,
H2Q6T5,H2Q6T5_PANTR,3.0,,1,,1,1,,,,,
Q7S5R5,Q7S5R5_NEUCR,3.0,,,,,,1,1,,,1
H2UHN2,H2UHN2_TAKRU,3.0,,1,,1,1,,,,,
H2XP26,H2XP26_CIOIN,3.0,,1,,1,1,,,,,
G3P202,G3P202_GASAC,3.0,,1,,1,1,,,,,
F7H2Z5,F7H2Z5_MACMU,3.0,,1,,1,1,,,,,
G1R501,G1R501_NOMLE,3.0,,1,,1,1,,,,,
G1PAE3,G1PAE3_MYOLU,3.0,,1,,1,1,,,,,
B3KQ30,B3KQ30_HUMAN,3.0,,1,,,,,1,1,,
B3RP95,B3RP95_TRIAD,3.0,,,,,1,1,1,,,
B1Y702,B1Y702_LEPCP,3.0,,,1,,,1,1,,,
A4JRL4,A4JRL4_BURVG,3.0,,,1,,,1,1,,,
E2R2U4,E2R2U4_CANFA,3.0,,1,,1,1,,,,,
B5FYX1,B5FYX1_TAEGU,3.0,,,,,,1,1,1,,
Q6CFQ0,ISU1_YARLI,3.0,,,,,,1,1,,,1
Q6DC82,Q6DC82_DANRE,3.0,,,,,,1,1,1,,
F1NF91,F1NF91_CHICK,3.0,,1,,1,1,,,,,
F1QM53,F1QM53_DANRE,3.0,,1,,1,1,,,,,
F6UVD9,F6UVD9_MONDO,3.0,,1,,1,1,,,,,
F7A664,F7A664_CALJA,3.0,,1,,1,1,,,,,
F7D9C2,F7D9C2_CALJA,3.0,,1,,1,1,,,,,
F7E1G5,F7E1G5_HORSE,3.0,,1,,1,1,,,,,
F7FDU0,F7FDU0_MONDO,3.0,,1,,1,1,,,,,
A1VMK4,A1VMK4_POLNA,3.0,,,1,,,1,1,,,
G1MD98,G1MD98_AILME,3.0,,1,,1,1,,,,,
H2ZI56,H2ZI56_CIOSA,3.0,,1,,1,1,,,,,
F7G361,F7G361_ORNAN,3.0,,1,,1,1,,,,,
Q469U7,Q469U7_METBF,3.0,,,1,,,1,1,,,
I3LR64,I3LR64_PIG,3.0,,1,,1,1,,,,,
Q9UTC6,ISU1_SCHPO,3.0,,,,,,1,1,,,1
Q9MAB6,ISU2_ARATH,3.0,,,,,,1,1,,,1
P0ACD4,ISCU_ECOLI,3.0,,,,,,1,1,,,1
O81433,ISU3_ARATH,3.0,,,,,,1,1,,,1
B8C7U0,B8C7U0_THAPS,3.0,,,,,,1,1,,,1
O67045,ISCU_AQUAE,3.0,,,,,,1,1,,,1
O49627,ISU1_ARATH,3.0,,,,,,1,1,,,1
Q8TME1,Q8TME1_METAC,3.0,,,1,,,1,,,,1
Q8TME1,Q8TME1_METAC,3.0,,,1,,,1,,,,1
M3WJZ3,M3WJZ3_FELCA,3.0,,1,1,,1,,,,,
K7F402,K7F402_PELSI,3.0,,1,,1,1,,,,,
I3M0C1,I3M0C1_SPETR,3.0,,1,,1,1,,,,,
P0ACD4,ISCU_ECOLI,3.0,,,,,,1,1,,,1
I3LA87,I3LA87_PIG,3.0,,1,,1,1,,,,,
H3DEL0,H3DEL0_TETNG,3.0,,1,,1,1,,,,,
H9G4Q8,H9G4Q8_ANOCA,3.0,,1,,1,1,,,,,
H9KWM3,H9KWM3_CALJA,3.0,,1,,1,1,,,,,
A6V0U9,A6V0U9_PSEA7,3.0,,,,,,1,1,,,1
Q17DU6,Q17DU6_AEDAE,3.0,,,,,1,1,1,,,
B1GZS0,B1GZS0_UNCTG,2.0,,,,,,1,1,,,
B1KNI4,B1KNI4_SHEWM,2.0,,,,,,1,1,,,
Q023P2,Q023P2_SOLUE,2.0,,,,,,1,1,,,
B0UAP8,B0UAP8_METS4,2.0,,,,,,1,1,,,
B1XB04,B1XB04_ECODH,2.0,,,,,,1,1,,,
B1P7G3,B1P7G3_HUMAN,2.0,,,,,,,1,1,,
B1ML97,B1ML97_MYCA9,2.0,,,,,,1,1,,,
B1LNI5,B1LNI5_ECOSM,2.0,,,,,,1,1,,,
B1L5A7,B1L5A7_KORCO,2.0,,,,,,1,1,,,
B1KXC0,B1KXC0_CLOBM,2.0,,,,,,1,1,,,
B0UVL6,B0UVL6_HISS2,2.0,,,,,,1,1,,,
B0VNW1,B0VNW1_ACIBS,2.0,,,,,,1,1,,,
B0VD52,B0VD52_ACIBY,2.0,,,,,,1,1,,,
B1JV03,B1JV03_BURCC,2.0,,,,,,1,1,,,
B1Y3B2,B1Y3B2_LEPCP,2.0,,,,,,1,1,,,
B1JRY9,B1JRY9_YERPY,2.0,,,,,,1,1,,,
B1JDR2,B1JDR2_PSEPW,2.0,,,,,,1,1,,,
B1IWD2,B1IWD2_ECOLC,2.0,,,,,,1,1,,,
D7EA33,D7EA33_METEZ,2.0,,,1,,,,1,,,
B1IJH0,B1IJH0_CLOBK,2.0,,,,,,1,1,,,
B1XTR0,B1XTR0_POLNS,2.0,,,,,,1,1,,,
A8AD53,A8AD53_CITK8,2.0,,,,,,1,1,,,
Q02RW7,Q02RW7_PSEAB,2.0,,,,,,1,1,,,
B3E6H1,B3E6H1_GEOLS,2.0,,,,,,1,1,,,
B2VAD5,B2VAD5_SULSY,2.0,,,,,,1,1,,,
Q056W1,Q056W1_BUCCC,2.0,,,,,,1,1,,,
B2V3V8,B2V3V8_CLOBA,2.0,,,,,,1,1,,,
B2U8U1,B2U8U1_RALPJ,2.0,,,,,,1,1,,,
B2TXV4,B2TXV4_SHIB3,2.0,,,,,,1,1,,,
B2THM6,B2THM6_CLOBB,2.0,,,,,,1,1,,,
B2T5M1,B2T5M1_BURPP,2.0,,,,,,1,1,,,
D0M795,D0M795_VIBSE,2.0,,,,,,1,1,,,
D0KK02,D0KK02_PECWW,2.0,,,,,,1,1,,,
A7ZPX3,A7ZPX3_ECO24,2.0,,,,,,1,1,,,
B3CRM2,B3CRM2_ORITI,2.0,,,,,,1,1,,,
