,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000003133,SYPLQQD,TF332107,EOG7S7SF8,NOG29453,HOG000112473,HBG081505,NA,Q86V20
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q3UEN2,FA35A_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q86V20,FA35A_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3UEN2,FA35A_MOUSE,8.0,,1,1,1,1,1,1,1,,1
D3ZH67,D3ZH67_RAT,5.0,,1,1,1,1,,,,,1
D3ZH67,D3ZH67_RAT,5.0,,1,1,1,1,,,,,1
B8A4B1,B8A4B1_DANRE,5.0,,1,,1,1,1,,,,1
H2R7M1,H2R7M1_PANTR,4.0,,1,1,1,1,,,,,
G3W3L2,G3W3L2_SARHA,4.0,,1,1,1,1,,,,,
G3U4H2,G3U4H2_LOXAF,4.0,,1,1,1,1,,,,,
E1BBC8,E1BBC8_BOVIN,4.0,,1,1,1,1,,,,,
G1SLP5,G1SLP5_RABIT,4.0,,1,1,1,1,,,,,
E2R7I0,E2R7I0_CANFA,4.0,,1,1,1,1,,,,,
H2NC60,H2NC60_PONAB,4.0,,1,1,1,1,,,,,
G1RLR2,G1RLR2_NOMLE,4.0,,1,1,1,1,,,,,
G1Q2V2,G1Q2V2_MYOLU,4.0,,1,1,1,1,,,,,
G1LU03,G1LU03_AILME,4.0,,1,1,1,1,,,,,
F6Z7I4,F6Z7I4_MONDO,4.0,,1,1,1,1,,,,,
F6YPG8,F6YPG8_MACMU,4.0,,1,1,1,1,,,,,
F6W5G1,F6W5G1_HORSE,4.0,,1,1,1,1,,,,,
H0UVF9,H0UVF9_CAVPO,4.0,,1,1,1,1,,,,,
F6STX1,F6STX1_CALJA,4.0,,1,1,1,1,,,,,
I3LL04,I3LL04_PIG,4.0,,1,1,1,1,,,,,
I3N9U8,I3N9U8_SPETR,4.0,,1,1,1,1,,,,,
K7FF79,K7FF79_PELSI,4.0,,1,1,1,1,,,,,
M3WZ20,M3WZ20_FELCA,3.0,,1,1,,1,,,,,
F7CXG4,F7CXG4_ORNAN,3.0,,1,,1,1,,,,,
G1MU22,G1MU22_MELGA,3.0,,1,,1,1,,,,,
Q5FVM8,Q5FVM8_RAT,3.0,,,,,,1,1,,,1
H0Z5W2,H0Z5W2_TAEGU,3.0,,1,,1,1,,,,,
M3YC19,M3YC19_MUSPF,3.0,,1,1,,1,,,,,
M3XLG8,M3XLG8_LATCH,2.0,,1,,,1,,,,,
A7SBY0,A7SBY0_NEMVE,2.0,,,,,1,1,,,,
B3RR69,B3RR69_TRIAD,2.0,,,,,1,1,,,,
B7ZMV3,B7ZMV3_MOUSE,2.0,,,,,,,1,1,,
B8A4B2,B8A4B2_DANRE,2.0,,1,,,,1,,,,
M3ZD89,M3ZD89_XIPMA,2.0,,1,,,1,,,,,
G3N8S0,G3N8S0_GASAC,2.0,,1,,,1,,,,,
I3JJ00,I3JJ00_ORENI,2.0,,,,1,1,,,,,
H9GR30,H9GR30_ANOCA,2.0,,1,,,1,,,,,
H0WNI3,H0WNI3_OTOGA,2.0,,1,,,1,,,,,
H1A249,H1A249_TAEGU,2.0,,1,,,1,,,,,
H2LCP2,H2LCP2_ORYLA,2.0,,1,,,1,,,,,
H2Q1V2,H2Q1V2_PANTR,2.0,,1,,,1,,,,,
H2S9E8,H2S9E8_TAKRU,2.0,,1,,,1,,,,,
H3D757,H3D757_TETNG,2.0,,1,,,1,,,,,
H9GQ09,H9GQ09_ANOCA,2.0,,1,,,1,,,,,
W5NRR2,W5NRR2_SHEEP,2.0,,1,1,,,,,,,
D2H1K6,D2H1K6_AILME,1.0,,,,,,,1,,,
F1QZC4,F1QZC4_DANRE,1.0,,1,,,,,,,,
A7T7L5,A7T7L5_NEMVE,1.0,,,,,1,,,,,
E9PU14,E9PU14_RAT,1.0,,1,,,,,,,,
A0A096P4C4,A0A096P4C4_PAPAN,1.0,,1,,,,,,,,
G3W3L4,G3W3L4_SARHA,1.0,,1,,,,,,,,
F6S7H9,F6S7H9_CALJA,1.0,,1,,,,,,,,
F6YPH5,F6YPH5_MACMU,1.0,,1,,,,,,,,
G1RLR3,G1RLR3_NOMLE,1.0,,1,,,,,,,,
G3TPS8,G3TPS8_LOXAF,1.0,,1,,,,,,,,
G3W3L3,G3W3L3_SARHA,1.0,,1,,,,,,,,
W5N3U2,W5N3U2_LEPOC,1.0,,1,,,,,,,,
I3N8V9,I3N8V9_SPETR,1.0,,1,,,,,,,,
Q5RCM2,FA35A_PONAB,1.0,,,,,,,,1,,
R4GG09,R4GG09_CHICK,1.0,,1,,,,,,,,
U3J167,U3J167_ANAPL,1.0,,1,,,,,,,,
U3JW67,U3JW67_FICAL,1.0,,1,,,,,,,,
U3KQ89,U3KQ89_HUMAN,1.0,,1,,,,,,,,
W5LPS9,W5LPS9_ASTMX,1.0,,1,,,,,,,,
W5LPT1,W5LPT1_ASTMX,1.0,,1,,,,,,,,
A0A087Y4M0,A0A087Y4M0_POEFO,1.0,,1,,,,,,,,
