,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000063159,NA,TF330015,EOG7M3J14,COG5422,HOG000112243,HBG051383,NA,Q6XZF7
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6XZF7,DNMBP_HUMAN,7.0,,1,,1,1,1,1,1,,1
Q6TXD4,DNMBP_MOUSE,6.0,,,,1,1,1,1,1,,1
H3AMS2,H3AMS2_LATCH,3.0,,1,,1,1,,,,,
K7FWK9,K7FWK9_PELSI,3.0,,1,,1,1,,,,,
I3MCF0,I3MCF0_SPETR,3.0,,1,,1,1,,,,,
I3MC35,I3MC35_SPETR,3.0,,1,,1,1,,,,,
H3DNH5,H3DNH5_TETNG,3.0,,1,,1,1,,,,,
H3C4V9,H3C4V9_TETNG,3.0,,1,,1,1,,,,,
F7GVK5,F7GVK5_MACMU,3.0,,1,,1,1,,,,,
E2RP94,E2RP94_CANFA,3.0,,1,,1,1,,,,,
H3A9F2,H3A9F2_LATCH,3.0,,1,,1,1,,,,,
H0ZFU8,H0ZFU8_TAEGU,3.0,,1,,1,1,,,,,
F7HSB4,F7HSB4_CALJA,3.0,,1,,1,1,,,,,
H2U900,H2U900_TAKRU,3.0,,1,,1,1,,,,,
G1KCK3,G1KCK3_ANOCA,3.0,,1,,1,1,,,,,
G1KRH2,G1KRH2_ANOCA,3.0,,1,,1,1,,,,,
G1LKB9,G1LKB9_AILME,3.0,,1,,1,1,,,,,
H2QRS0,H2QRS0_PANTR,3.0,,1,,1,1,,,,,
H2PH18,H2PH18_PONAB,3.0,,1,,1,1,,,,,
H2NBA0,H2NBA0_PONAB,3.0,,1,,1,1,,,,,
K7GDE4,K7GDE4_PELSI,3.0,,1,,1,1,,,,,
F7DB95,F7DB95_HORSE,3.0,,1,,1,1,,,,,
F7BH03,F7BH03_XENTR,3.0,,1,,1,1,,,,,
F6XNN0,F6XNN0_MONDO,3.0,,1,,1,1,,,,,
E1C8Q6,E1C8Q6_CHICK,3.0,,1,,1,1,,,,,
E1BIL8,E1BIL8_BOVIN,3.0,,1,,1,1,,,,,
E7F3M3,E7F3M3_DANRE,3.0,,1,,1,1,,,,,
E9Q5R6,E9Q5R6_MOUSE,3.0,,1,,1,1,,,,,
F1LQ74,F1LQ74_RAT,3.0,,1,,1,1,,,,,
G1SH54,G1SH54_RABIT,3.0,,1,,1,1,,,,,
D2H8M9,D2H8M9_AILME,3.0,,1,,1,1,,,,,
F1MJ96,F1MJ96_BOVIN,3.0,,1,,1,1,,,,,
F1NZ00,F1NZ00_CHICK,3.0,,1,,1,1,,,,,
F1PUV5,F1PUV5_CANFA,3.0,,1,,1,1,,,,,
F1RL91,F1RL91_PIG,3.0,,1,,1,1,,,,,
F1S8V8,F1S8V8_PIG,3.0,,1,,1,1,,,,,
F6QS49,F6QS49_ORNAN,3.0,,1,,1,1,,,,,
F6TRA3,F6TRA3_XENTR,3.0,,1,,1,1,,,,,
F6U2Y2,F6U2Y2_MACMU,3.0,,1,,1,1,,,,,
F6UPW8,F6UPW8_HORSE,3.0,,1,,1,1,,,,,
F6VCA2,F6VCA2_MONDO,3.0,,1,,1,1,,,,,
H2LIW8,H2LIW8_ORYLA,3.0,,1,,1,1,,,,,
G1SRT2,G1SRT2_RABIT,3.0,,1,,1,1,,,,,
E7F1U2,E7F1U2_DANRE,3.0,,1,,1,1,,,,,
G3QHL2,G3QHL2_GORGO,3.0,,1,,1,1,,,,,
G1RGS0,G1RGS0_NOMLE,3.0,,1,,1,1,,,,,
G3TAM6,G3TAM6_LOXAF,3.0,,1,,1,1,,,,,
G1PLB9,G1PLB9_MYOLU,3.0,,1,,1,1,,,,,
A1IGU5,ARH37_HUMAN,3.0,,1,,1,1,,,,,
G1PL30,G1PL30_MYOLU,3.0,,1,,1,1,,,,,
G3WSD0,G3WSD0_SARHA,3.0,,1,,1,1,,,,,
G1RXB6,G1RXB6_NOMLE,3.0,,1,,1,1,,,,,
G1NAV8,G1NAV8_MELGA,3.0,,1,,1,1,,,,,
H0UZM3,H0UZM3_CAVPO,3.0,,1,,1,1,,,,,
H0V6N5,H0V6N5_CAVPO,3.0,,1,,1,1,,,,,
G3WCV2,G3WCV2_SARHA,3.0,,1,,1,1,,,,,
G1MW19,G1MW19_MELGA,3.0,,1,,1,1,,,,,
H0WIX9,H0WIX9_OTOGA,3.0,,1,,1,1,,,,,
G3NTD4,G3NTD4_GASAC,3.0,,1,,1,1,,,,,
H0WME3,H0WME3_OTOGA,3.0,,1,,1,1,,,,,
G3PX49,G3PX49_GASAC,3.0,,1,,1,1,,,,,
F1MPZ1,F1MPZ1_BOVIN,2.0,,1,,,1,,,,,
G3U843,G3U843_LOXAF,2.0,,1,,,1,,,,,
F6ZQV8,F6ZQV8_MACMU,2.0,,1,,,1,,,,,
F6ZTL5,F6ZTL5_HORSE,2.0,,1,,,1,,,,,
F6ZU33,F6ZU33_HORSE,2.0,,1,,,1,,,,,
F7B2Y9,F7B2Y9_CALJA,2.0,,1,,,1,,,,,
F7B4S4,F7B4S4_ORNAN,2.0,,1,,,1,,,,,
G3UC96,G3UC96_LOXAF,2.0,,1,,,1,,,,,
G1Q9I8,G1Q9I8_MYOLU,2.0,,1,,,1,,,,,
