,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000014476,FGHGIYE,TF329723,NA,NOG43024,HOG000230914,NA,NA,Q6ZQR2
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A2BFC9,CI171_DANRE,6.0,,1,1,1,,1,1,,,1
A2BFC9,CI171_DANRE,6.0,,1,1,1,,1,1,,,1
Q6ZQR2,CI171_HUMAN,6.0,,1,1,1,,1,1,,,1
Q6ZQR2,CI171_HUMAN,6.0,,1,1,1,,1,1,,,1
B2GV45,B2GV45_RAT,5.0,,1,1,1,,1,1,,,
B2RWG1,B2RWG1_MOUSE,4.0,,1,1,1,,,1,,,
A7RYZ2,A7RYZ2_NEMVE,3.0,,,1,,,1,,,,1
H0Z3V4,H0Z3V4_TAEGU,3.0,,1,1,1,,,,,,
H0VQK3,H0VQK3_CAVPO,3.0,,1,1,1,,,,,,
G3X361,G3X361_SARHA,3.0,,1,1,1,,,,,,
G3QZ13,G3QZ13_GORGO,3.0,,1,1,1,,,,,,
C3Z547,C3Z547_BRAFL,3.0,,,1,,,1,,,,1
G1LBQ2,G1LBQ2_AILME,3.0,,1,1,1,,,,,,
F1NLZ5,F1NLZ5_CHICK,3.0,,1,1,1,,,,,,
F6SIS7,F6SIS7_CIOIN,3.0,,1,1,1,,,,,,
F6RNG0,F6RNG0_MACMU,3.0,,1,1,1,,,,,,
F6R5M9,F6R5M9_ORNAN,3.0,,1,1,1,,,,,,
H2Z9B1,H2Z9B1_CIOSA,3.0,,1,1,1,,,,,,
H2QY31,H2QY31_PANTR,3.0,,1,1,1,,,,,,
K7E326,K7E326_MONDO,3.0,,1,1,1,,,,,,
U3J9V8,U3J9V8_ANAPL,2.0,,1,1,,,,,,,
W5P7T7,W5P7T7_SHEEP,2.0,,1,1,,,,,,,
W5MED6,W5MED6_LEPOC,2.0,,1,1,,,,,,,
W5KQR5,W5KQR5_ASTMX,2.0,,1,1,,,,,,,
F6V1K0,F6V1K0_CANFA,2.0,,1,,1,,,,,,
F7CPL3,F7CPL3_HORSE,2.0,,1,,1,,,,,,
F1MKR7,F1MKR7_BOVIN,2.0,,1,,1,,,,,,
G1N2S4,G1N2S4_MELGA,2.0,,1,,1,,,,,,
G1RQV4,G1RQV4_NOMLE,2.0,,1,,1,,,,,,
U3JFH4,U3JFH4_FICAL,2.0,,1,1,,,,,,,
G3TF11,G3TF11_LOXAF,2.0,,1,,1,,,,,,
B3RNG1,B3RNG1_TRIAD,2.0,,,1,,,1,,,,
A2A393,A2A393_HUMAN,2.0,,1,,,,,1,,,
M3YM82,M3YM82_MUSPF,2.0,,1,1,,,,,,,
H0WP36,H0WP36_OTOGA,2.0,,1,,1,,,,,,
M3XK00,M3XK00_LATCH,2.0,,1,1,,,,,,,
H2PTR9,H2PTR9_PONAB,2.0,,1,,1,,,,,,
M3WRS5,M3WRS5_FELCA,2.0,,1,1,,,,,,,
K7FEX9,K7FEX9_PELSI,2.0,,1,,1,,,,,,
F1S0U2,F1S0U2_PIG,2.0,,1,,1,,,,,,
A2DWN7,A2DWN7_TRIVA,1.0,,,,,,1,,,,
A9V902,A9V902_MONBE,1.0,,,,,,1,,,,
A0A096P0E2,A0A096P0E2_PAPAN,1.0,,1,,,,,,,,
A0A096MI45,A0A096MI45_POEFO,1.0,,1,,,,,,,,
F1QWP2,F1QWP2_DANRE,1.0,,1,,,,,,,,
A0A087WRI3,A0A087WRI3_MOUSE,1.0,,1,,,,,,,,
A2GF68,A2GF68_TRIVA,1.0,,,,,,1,,,,
A2ESY8,A2ESY8_TRIVA,1.0,,,,,,1,,,,
W5P7W7,W5P7W7_SHEEP,1.0,,1,,,,,,,,
F6TQF5,F6TQF5_CALJA,1.0,,1,,,,,,,,
G1K2T4,G1K2T4_DANRE,1.0,,1,,,,,,,,
W4YV85,W4YV85_STRPU,1.0,,,1,,,,,,,
V4A441,V4A441_LOTGI,1.0,,,1,,,,,,,
U3KNV0,U3KNV0_RABIT,1.0,,1,,,,,,,,
M4AT00,M4AT00_XIPMA,1.0,,1,,,,,,,,
M0R828,M0R828_RAT,1.0,,1,,,,,,,,
K1RHP9,K1RHP9_CRAGI,1.0,,,1,,,,,,,
I3NBU3,I3NBU3_SPETR,1.0,,1,,,,,,,,
I3MAS2,I3MAS2_SPETR,1.0,,1,,,,,,,,
I1FAK3,I1FAK3_AMPQE,1.0,,,1,,,,,,,
H2PTS0,H2PTS0_PONAB,1.0,,1,,,,,,,,
H0Z3V3,H0Z3V3_TAEGU,1.0,,1,,,,,,,,
H0VUX8,H0VUX8_CAVPO,1.0,,1,,,,,,,,
G3X362,G3X362_SARHA,1.0,,1,,,,,,,,
W5P7T8,W5P7T8_SHEEP,1.0,,1,,,,,,,,
G1LBQ4,G1LBQ4_AILME,1.0,,1,,,,,,,,
A0A087WQ85,A0A087WQ85_MOUSE,1.0,,1,,,,,,,,
