,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16753,ENSGT00730000111271,VIHKARN,TF333383,EOG7KSX9T,NOG46484,HOG000111409,HBG067911,NA,Q96HJ3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96HJ3,CCD34_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q3UI66,CCD34_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q96HJ3,CCD34_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
K7F925,K7F925_PELSI,5.0,1,1,1,1,1,,,,,
G1PTD8,G1PTD8_MYOLU,4.0,,1,1,1,1,,,,,
G1M7E8,G1M7E8_AILME,4.0,,1,1,1,1,,,,,
G3WI69,G3WI69_SARHA,4.0,,1,1,1,1,,,,,
F7IKF2,F7IKF2_CALJA,4.0,1,1,1,1,,,,,,
F7E3E7,F7E3E7_MACMU,4.0,1,1,1,1,,,,,,
F6SNB0,F6SNB0_HORSE,4.0,,1,1,1,1,,,,,
F1SGM4,F1SGM4_PIG,4.0,,1,1,1,1,,,,,
H0X8Z7,H0X8Z7_OTOGA,4.0,,1,1,1,1,,,,,
F1MZA1,F1MZA1_BOVIN,4.0,,1,1,1,1,,,,,
H2Q3B9,H2Q3B9_PANTR,4.0,,1,1,1,1,,,,,
H2NDU8,H2NDU8_PONAB,4.0,,1,1,1,1,,,,,
G3PA74,G3PA74_GASAC,3.0,,1,,1,1,,,,,
H3AYN6,H3AYN6_LATCH,3.0,,1,,1,1,,,,,
K7E378,K7E378_MONDO,3.0,,1,,1,1,,,,,
G1SKZ1,G1SKZ1_RABIT,3.0,,1,,1,1,,,,,
G3RV16,G3RV16_GORGO,3.0,,1,,1,1,,,,,
H0XMA7,H0XMA7_OTOGA,3.0,,1,,1,1,,,,,
H0XLL2,H0XLL2_OTOGA,3.0,,1,,1,1,,,,,
G1S845,G1S845_NOMLE,3.0,,1,,1,1,,,,,
G1LP17,G1LP17_AILME,3.0,,1,,1,1,,,,,
M3YIC9,M3YIC9_MUSPF,3.0,,1,1,,1,,,,,
G1MSG7,G1MSG7_MELGA,3.0,,1,,1,1,,,,,
F7D449,F7D449_XENTR,3.0,,1,,1,1,,,,,
F1NEL1,F1NEL1_CHICK,3.0,,1,,1,1,,,,,
D4A5Z6,D4A5Z6_RAT,3.0,1,1,,,1,,,,,
B3SC22,B3SC22_TRIAD,3.0,1,,,,1,1,,,,
A7RF40,A7RF40_NEMVE,3.0,1,,,,1,1,,,,
F7E3C6,F7E3C6_MACMU,2.0,,1,,,1,,,,,
F1QYH4,F1QYH4_DANRE,2.0,,1,,1,,,,,,
G3RBY4,G3RBY4_GORGO,2.0,,1,1,,,,,,,
F1P9G7,F1P9G7_CANFA,2.0,,1,,1,,,,,,
E9QGX2,E9QGX2_DANRE,2.0,,1,,,1,,,,,
G3TNX4,G3TNX4_LOXAF,2.0,,1,,,1,,,,,
W5PZC4,W5PZC4_SHEEP,2.0,,1,1,,,,,,,
F7IDB1,F7IDB1_CALJA,2.0,,1,,,1,,,,,
Q0P486,Q0P486_DANRE,2.0,1,,,,,1,,,,
K7E712,K7E712_ORNAN,2.0,,1,,,1,,,,,
U3I5Q4,U3I5Q4_ANAPL,2.0,,1,1,,,,,,,
Q641G8,Q641G8_XENLA,2.0,1,,,,,,,1,,
Q5ZHX8,Q5ZHX8_CHICK,2.0,,,,,,1,,1,,
Q32P69,Q32P69_BOVIN,2.0,,,,,,1,1,,,
M3X7Y1,M3X7Y1_FELCA,2.0,,1,,,1,,,,,
H0V2D2,H0V2D2_CAVPO,2.0,,1,,,1,,,,,
Q8BIA8,Q8BIA8_MOUSE,2.0,1,,,,,,,1,,
