,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00520000055566,AKNHQEV,TF341440,EOG7D2FFN,COG2110,NA,HBG099716,NA,A1Z1Q3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A1Z1Q3,MACD2_HUMAN,7.0,,1,1,1,1,1,,1,,1
A1Z1Q3,MACD2_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q3UYG8,MACD2_MOUSE,6.0,,1,1,1,,1,,1,,1
H2QJZ6,H2QJZ6_PANTR,4.0,,1,1,1,1,,,,,
Q9BQ69,MACD1_HUMAN,4.0,,1,,1,1,1,,,,
H2P126,H2P126_PONAB,4.0,,1,1,1,1,,,,,
Q922B1,MACD1_MOUSE,4.0,,1,,1,1,1,,,,
Q2KHU5,MACD1_BOVIN,4.0,,1,,1,1,1,,,,
H2Q3Y8,H2Q3Y8_PANTR,3.0,,1,,1,1,,,,,
H3DHC0,H3DHC0_TETNG,3.0,,1,,1,1,,,,,
A2AS33,A2AS33_MOUSE,3.0,,1,,,1,,,1,,
H9GJ01,H9GJ01_ANOCA,3.0,,1,,1,1,,,,,
F6RJ04,F6RJ04_CIOIN,3.0,,1,,1,1,,,,,
Q17432,Q17432_CAEEL,3.0,,1,,,1,1,,,,
F6SGB9,F6SGB9_CALJA,3.0,,1,,1,1,,,,,
H2ND11,H2ND11_PONAB,3.0,,1,,1,1,,,,,
F6YJM3,F6YJM3_MACMU,3.0,,1,,1,1,,,,,
H2M9A5,H2M9A5_ORYLA,3.0,,1,,1,1,,,,,
G3PXL1,G3PXL1_GASAC,3.0,,1,,1,1,,,,,
H2Z9B2,H2Z9B2_CIOSA,3.0,,1,,1,1,,,,,
G1QXW1,G1QXW1_NOMLE,3.0,,1,,1,1,,,,,
G3R8W1,G3R8W1_GORGO,3.0,,1,,1,1,,,,,
H0XZ00,H0XZ00_OTOGA,3.0,,1,,1,1,,,,,
G3NL13,G3NL13_GASAC,3.0,,1,,1,1,,,,,
E7EBY5,E7EBY5_PIG,3.0,,1,,1,1,,,,,
H0VJU5,H0VJU5_CAVPO,3.0,,1,,1,1,,,,,
Q66HV6,Q66HV6_DANRE,3.0,,1,,1,,1,,,,
G3V8V6,G3V8V6_RAT,3.0,,1,,1,1,,,,,
A9WK70,A9WK70_CHLAA,2.0,,,,,,1,,,,1
Q2KIX2,GDAP2_BOVIN,2.0,,1,,,,1,,,,
Q8EYT0,Y4133_LEPIN,2.0,,,,,,1,,,,1
B5YKC1,B5YKC1_THEYD,2.0,,,,,,1,,,,1
G3TDN4,G3TDN4_LOXAF,2.0,,1,,,1,,,,,
A8X0Z2,A8X0Z2_CAEBR,2.0,,,,,1,1,,,,
E2RAG4,E2RAG4_CANFA,2.0,,1,,1,,,,,,
Q6PHJ5,Q6PHJ5_DANRE,2.0,,,,,,,,1,,1
Q66H63,GDAP2_RAT,2.0,,1,,,,1,,,,
F6RIZ5,F6RIZ5_CIOIN,2.0,,,,1,1,,,,,
Q7JUR6,GDAP2_DROME,2.0,,1,,,,1,,,,
F1Q646,F1Q646_DANRE,2.0,,1,,,1,,,,,
A5PMW9,A5PMW9_DANRE,2.0,,,,,1,,,1,,
A7T7L3,A7T7L3_NEMVE,2.0,,,,,1,1,,,,
H2YID1,H2YID1_CIOSA,2.0,,1,,1,,,,,,
F6YLY4,F6YLY4_XENTR,2.0,,1,,1,,,,,,
Q97UU4,Y2899_SULSO,2.0,,,,,,1,,,,1
Q9WYX8,Y508_THEMA,2.0,,,,,,1,,,,1
M0RA91,M0RA91_RAT,2.0,,1,,,1,,,,,
F7BSI9,F7BSI9_HORSE,2.0,,1,,,1,,,,,
M3WQR3,M3WQR3_FELCA,2.0,,1,,,1,,,,,
M3X4F2,M3X4F2_FELCA,2.0,,1,,,1,,,,,
Q9NXN4,GDAP2_HUMAN,2.0,,1,,,,1,,,,
P0A8D6,YMDB_ECOLI,2.0,,,,,,1,,,,1
J9P0Q0,J9P0Q0_CANFA,2.0,,1,,,1,,,,,
P0A8D6,YMDB_ECOLI,2.0,,,,,,1,,,,1
Q9DBL2,GDAP2_MOUSE,2.0,,1,,,,1,,,,
B7PF53,B7PF53_IXOSC,2.0,,,,,1,1,,,,
I3JCV9,I3JCV9_ORENI,2.0,,,,1,1,,,,,
G1MI00,G1MI00_AILME,2.0,,1,,,1,,,,,
F6WIP7,F6WIP7_CIOIN,2.0,,1,,1,,,,,,
H9H4F9,H9H4F9_MACMU,2.0,,1,,1,,,,,,
G1MI02,G1MI02_AILME,2.0,,1,,1,,,,,,
B3RZ54,B3RZ54_TRIAD,2.0,,,,,1,1,,,,
M3YPF3,M3YPF3_MUSPF,2.0,,1,,,1,,,,,
A7RJ44,A7RJ44_NEMVE,2.0,,,,,1,1,,,,
Q8TQD0,Y1614_METAC,2.0,,,,,,1,,,,1
Q8RHQ2,Y1951_FUSNN,2.0,,,,,,1,,,,1
M3ZLM6,M3ZLM6_XIPMA,2.0,,1,,,1,,,,,
H2Z9C2,H2Z9C2_CIOSA,2.0,,,,1,1,,,,,
Q9WYX8,Y508_THEMA,2.0,,,,,,1,,,,1
B7M919,B7M919_ECO8A,1.0,,,,,,1,,,,
B7LT90,YMDB_ESCF3,1.0,,,,,,1,,,,
B5YVR7,B5YVR7_ECO5E,1.0,,,,,,1,,,,
B6IR36,B6IR36_RHOCS,1.0,,,,,,1,,,,
B6ELL4,B6ELL4_ALISL,1.0,,,,,,1,,,,
B7LFF5,B7LFF5_ECO55,1.0,,,,,,1,,,,
B7KD96,B7KD96_CYAP7,1.0,,,,,,1,,,,
B6GVY0,B6GVY0_PENCW,1.0,,,,,,1,,,,
B7IFL7,B7IFL7_THEAB,1.0,,,,,,1,,,,
B5YAF3,B5YAF3_DICT6,1.0,,,,,,1,,,,
B6H2T3,B6H2T3_PENCW,1.0,,,,,,1,,,,
B6HLK8,B6HLK8_PENCW,1.0,,,,,,1,,,,
B6YUG0,B6YUG0_THEON,1.0,,,,,,1,,,,
B6ITP9,B6ITP9_RHOCS,1.0,,,,,,1,,,,
B6I9C2,B6I9C2_ECOSE,1.0,,,,,,1,,,,
W5QGH4,W5QGH4_SHEEP,1.0,,1,,,,,,,,
B4T2X8,YMDB_SALNS,1.0,,,,,,1,,,,
B5Y6U5,B5Y6U5_COPPD,1.0,,,,,,1,,,,
B4LMJ4,B4LMJ4_DROVI,1.0,,,,,,1,,,,
B4EA69,B4EA69_BURCJ,1.0,,,,,,1,,,,
B3RYC4,B3RYC4_TRIAD,1.0,,,,,,1,,,,
B3RVS6,B3RVS6_TRIAD,1.0,,,,,,1,,,,
B3R544,B3R544_CUPTR,1.0,,,,,,1,,,,
B3QLY0,B3QLY0_CHLP8,1.0,,,,,,1,,,,
B3QBM1,B3QBM1_RHOPT,1.0,,,,,,1,,,,
B3Q7J0,B3Q7J0_RHOPT,1.0,,,,,,1,,,,
B3MHT9,B3MHT9_DROAN,1.0,,,,,,1,,,,
B3E493,B3E493_GEOLS,1.0,,,,,,1,,,,
B3E312,B3E312_GEOLS,1.0,,,,,,1,,,,
