,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,NA,WSRYWIS,TF327139,EOG7K3TKB,NOG295274,NA,HBG052260,NA,Q6UWL6
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q7TSU7,KIRR2_MOUSE,6.0,,,1,1,1,1,,1,,1
Q7TSU7,KIRR2_MOUSE,6.0,,,1,1,1,1,,1,,1
Q6UWL6,KIRR2_HUMAN,6.0,,,1,1,1,1,,1,,1
Q6UWL6,KIRR2_HUMAN,6.0,,,1,1,1,1,,1,,1
D4A934,D4A934_RAT,4.0,,,1,1,1,,,,,1
Q8IZU9,KIRR3_HUMAN,4.0,,,,1,1,1,,1,,
Q80W68,KIRR1_MOUSE,4.0,,,,1,1,1,,1,,
B4F748,B4F748_XENTR,4.0,,,,1,1,1,,1,,
D4A934,D4A934_RAT,4.0,,,1,1,1,,,,,1
G1RLC3,G1RLC3_NOMLE,3.0,,,1,1,1,,,,,
G1L1R5,G1L1R5_AILME,3.0,,,1,1,1,,,,,
H0WPD4,H0WPD4_OTOGA,3.0,,,1,1,1,,,,,
F7HH61,F7HH61_CALJA,3.0,,,1,1,1,,,,,
H0V8D4,H0V8D4_CAVPO,3.0,,,1,1,1,,,,,
G1STV5,G1STV5_RABIT,3.0,,,1,1,1,,,,,
G1PNA3,G1PNA3_MYOLU,3.0,,,1,1,1,,,,,
G3TET7,G3TET7_LOXAF,3.0,,,1,1,1,,,,,
G3S0N8,G3S0N8_GORGO,3.0,,,1,1,1,,,,,
E1BPL4,E1BPL4_BOVIN,3.0,,,1,1,1,,,,,
F1PKU3,F1PKU3_CANFA,3.0,,,1,1,1,,,,,
I3NBB0,I3NBB0_SPETR,3.0,,,1,1,1,,,,,
Q6X936,KIRR1_RAT,3.0,,,,,1,1,,1,,
Q96J84,KIRR1_HUMAN,3.0,,,,1,,1,,1,,
Q8BR86,KIRR3_MOUSE,3.0,,,,1,,1,,1,,
F1RLG9,F1RLG9_PIG,3.0,,,1,1,1,,,,,
H2NYI6,H2NYI6_PONAB,3.0,,,1,1,1,,,,,
F6YXH1,F6YXH1_HORSE,3.0,,,1,1,1,,,,,
F6U8N8,F6U8N8_MONDO,3.0,,,1,1,1,,,,,
H2QG48,H2QG48_PANTR,3.0,,,1,1,1,,,,,
H2LBT4,H2LBT4_ORYLA,2.0,,,,1,1,,,,,
G3Q0J2,G3Q0J2_GASAC,2.0,,,,1,1,,,,,
H2R4D9,H2R4D9_PANTR,2.0,,,,1,1,,,,,
G3QSH4,G3QSH4_GORGO,2.0,,,,1,1,,,,,
G3SPE0,G3SPE0_LOXAF,2.0,,,,1,1,,,,,
G3SQJ7,G3SQJ7_LOXAF,2.0,,,,1,1,,,,,
H2Q536,H2Q536_PANTR,2.0,,,,1,1,,,,,
G3VJ07,G3VJ07_SARHA,2.0,,,,1,1,,,,,
