,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007040,NA,NA,EOG761BZD,NA,NA,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
H2PXD9,H2PXD9_PONAB,2.0,,1,,,1,,,,,
F1RYF1,F1RYF1_PIG,2.0,,1,,,1,,,,,
G5E7M0,G5E7M0_MELGA,2.0,,1,,,1,,,,,
H2QZI0,H2QZI0_PANTR,2.0,,1,,,1,,,,,
H9GRG3,H9GRG3_ANOCA,2.0,,1,,,1,,,,,
I3LAC8,I3LAC8_PIG,2.0,,1,,,1,,,,,
G3RRF8,G3RRF8_GORGO,2.0,,1,,,1,,,,,
I3LYV1,I3LYV1_SPETR,2.0,,1,,,1,,,,,
K7F7T4,K7F7T4_PELSI,2.0,,1,,,1,,,,,
G1T824,G1T824_RABIT,2.0,,1,,,1,,,,,
M3VZM8,M3VZM8_FELCA,2.0,,1,,,1,,,,,
G1LC03,G1LC03_AILME,2.0,,1,,,1,,,,,
F7ILT2,F7ILT2_CALJA,2.0,,1,,,1,,,,,
P0CG35,TB15B_HUMAN,2.0,,1,,,1,,,,,
P97563,P97563_RAT,2.0,,1,,,1,,,,,
F7C114,F7C114_MACMU,2.0,,1,,,1,,,,,
H0X981,H0X981_OTOGA,2.0,,1,,,1,,,,,
B5G1J6,B5G1J6_TAEGU,2.0,,1,,,1,,,,,
A2AEH9,A2AEH9_MOUSE,2.0,,1,,,1,,,,,
G1SB50,G1SB50_NOMLE,1.0,,1,,,,,,,,
B5G0T6,B5G0T6_TAEGU,1.0,,1,,,,,,,,
A2AF33,A2AF33_MOUSE,1.0,,1,,,,,,,,
G1TF14,G1TF14_RABIT,1.0,,1,,,,,,,,
G1U845,G1U845_RABIT,1.0,,1,,,,,,,,
G3MWM4,G3MWM4_BOVIN,1.0,,1,,,,,,,,
G3QUA7,G3QUA7_GORGO,1.0,,1,,,,,,,,
G3REQ7,G3REQ7_GORGO,1.0,,1,,,,,,,,
A2AF31,A2AF31_MOUSE,1.0,,1,,,,,,,,
A0A0A0MPA1,A0A0A0MPA1_BOVIN,1.0,,1,,,,,,,,
A0A096P5E4,A0A096P5E4_PAPAN,1.0,,1,,,,,,,,
G3S6W7,G3S6W7_GORGO,1.0,,1,,,,,,,,
G3SEE0,G3SEE0_GORGO,1.0,,1,,,,,,,,
G3T9E9,G3T9E9_LOXAF,1.0,,1,,,,,,,,
G3TMF2,G3TMF2_LOXAF,1.0,,1,,,,,,,,
A0A096MUI5,A0A096MUI5_PAPAN,1.0,,1,,,,,,,,
A0A096MQU4,A0A096MQU4_PAPAN,1.0,,1,,,,,,,,
G8JKW3,G8JKW3_BOVIN,1.0,,1,,,,,,,,
G8JKY5,G8JKY5_BOVIN,1.0,,1,,,,,,,,
G8JL04,G8JL04_BOVIN,1.0,,1,,,,,,,,
H0V7T6,H0V7T6_CAVPO,1.0,,1,,,,,,,,
H0WK50,H0WK50_OTOGA,1.0,,1,,,,,,,,
H0WQ69,H0WQ69_OTOGA,1.0,,1,,,,,,,,
G1SC19,G1SC19_NOMLE,1.0,,1,,,,,,,,
E2QXA5,E2QXA5_CANFA,1.0,,1,,,,,,,,
F7A0T2,F7A0T2_MONDO,1.0,,1,,,,,,,,
G1QAS0,G1QAS0_MYOLU,1.0,,1,,,,,,,,
F7AJB6,F7AJB6_MONDO,1.0,,1,,,,,,,,
F7BZ29,F7BZ29_MACMU,1.0,,1,,,,,,,,
E1C6X7,E1C6X7_CHICK,1.0,,1,,,,,,,,
F7C122,F7C122_MACMU,1.0,,1,,,,,,,,
F7CL01,F7CL01_MACMU,1.0,,1,,,,,,,,
E1B9F3,E1B9F3_BOVIN,1.0,,1,,,,,,,,
F7DX86,F7DX86_CALJA,1.0,,1,,,,,,,,
F7ECI0,F7ECI0_MACMU,1.0,,1,,,,,,,,
F7ENP3,F7ENP3_MONDO,1.0,,1,,,,,,,,
F7F536,F7F536_MACMU,1.0,,1,,,,,,,,
F7FGR3,F7FGR3_CALJA,1.0,,1,,,,,,,,
F7FGR8,F7FGR8_CALJA,1.0,,1,,,,,,,,
F7G1M4,F7G1M4_ORNAN,1.0,,1,,,,,,,,
F7H1H0,F7H1H0_CALJA,1.0,,1,,,,,,,,
F7HV51,F7HV51_CALJA,1.0,,1,,,,,,,,
D2HKL4,D2HKL4_AILME,1.0,,1,,,,,,,,
H0XQX6,H0XQX6_OTOGA,1.0,,1,,,,,,,,
F7IBV5,F7IBV5_CALJA,1.0,,1,,,,,,,,
D2H0S9,D2H0S9_AILME,1.0,,1,,,,,,,,
G1KUN9,G1KUN9_ANOCA,1.0,,1,,,,,,,,
B8A6B8,B8A6B8_DANRE,1.0,,1,,,,,,,,
G1N716,G1N716_MELGA,1.0,,1,,,,,,,,
G1P661,G1P661_MYOLU,1.0,,1,,,,,,,,
F7IBU3,F7IBU3_CALJA,1.0,,1,,,,,,,,
Z4YP56,Z4YP56_PIG,1.0,,1,,,,,,,,
H0XSH3,H0XSH3_OTOGA,1.0,,1,,,,,,,,
P21753,TYB10_PIG,1.0,,1,,,,,,,,
P62327,TYB4_HORSE,1.0,,1,,,,,,,,
P62328,TYB4_HUMAN,1.0,,1,,,,,,,,
P62329,TYB4_RAT,1.0,,1,,,,,,,,
P63312,TYB10_RAT,1.0,,1,,,,,,,,
P63313,TYB10_HUMAN,1.0,,1,,,,,,,,
Q28EW7,Q28EW7_XENTR,1.0,,1,,,,,,,,
Q45QT2,Q45QT2_DANRE,1.0,,1,,,,,,,,
Q5R7H8,TYB4_PONAB,1.0,,1,,,,,,,,
Q5R856,Q5R856_PONAB,1.0,,1,,,,,,,,
