,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00730000110961,NA,NA,EOG7P2XTW,NOG324155,NA,HBG108074,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q0VC31,Q0VC31_BOVIN,4.0,,1,,,1,1,,1,,
Q9BYR9,KRA24_HUMAN,4.0,,1,,,1,1,,1,,
Q9D3H4,Q9D3H4_MOUSE,4.0,,1,,,1,1,,1,,
A5PJJ4,A5PJJ4_BOVIN,4.0,,1,,,1,1,,1,,
A5PJJ0,A5PJJ0_BOVIN,4.0,,1,,,1,1,,1,,
Q9BYT5,KRA22_HUMAN,4.0,,1,,,1,1,,1,,
A0PK51,A0PK51_MOUSE,4.0,,1,,,1,1,,1,,
Q9BYU5,KRA21_HUMAN,3.0,,1,,,,1,,1,,
P0C7H8,KRA23_HUMAN,3.0,,,,,1,1,,1,,
G3T001,G3T001_LOXAF,2.0,,1,,,1,,,,,
G3SZZ4,G3SZZ4_LOXAF,2.0,,1,,,1,,,,,
G1QPJ1,G1QPJ1_NOMLE,2.0,,1,,,1,,,,,
G3S775,G3S775_GORGO,2.0,,1,,,1,,,,,
G3S5C5,G3S5C5_GORGO,2.0,,1,,,1,,,,,
F1RZX6,F1RZX6_PIG,2.0,,1,,,1,,,,,
F5H1T9,F5H1T9_HUMAN,2.0,,1,,,1,,,,,
G1SB27,G1SB27_NOMLE,2.0,,1,,,1,,,,,
I3LET9,I3LET9_PIG,2.0,,1,,,1,,,,,
G1PA42,G1PA42_MYOLU,2.0,,1,,,1,,,,,
G1PA31,G1PA31_MYOLU,2.0,,1,,,1,,,,,
H0XJU4,H0XJU4_OTOGA,2.0,,1,,,1,,,,,
F6SF19,F6SF19_MONDO,2.0,,1,,,1,,,,,
F6YJR9,F6YJR9_CALJA,2.0,,1,,,1,,,,,
F6SWM8,F6SWM8_MONDO,2.0,,1,,,1,,,,,
F6WQI1,F6WQI1_MACMU,2.0,,1,,,1,,,,,
F6WQH2,F6WQH2_MACMU,2.0,,1,,,1,,,,,
F6VXF0,F6VXF0_HORSE,2.0,,1,,,1,,,,,
G3TLN1,G3TLN1_LOXAF,2.0,,1,,,1,,,,,
F6TZH6,F6TZH6_HORSE,2.0,,1,,,1,,,,,
H2NU55,H2NU55_PONAB,2.0,,1,,,1,,,,,
I3N3T0,I3N3T0_SPETR,2.0,,1,,,1,,,,,
D2HR46,D2HR46_AILME,2.0,,1,,,1,,,,,
D3ZBD2,D3ZBD2_RAT,2.0,,1,,,1,,,,,
H2QCY0,H2QCY0_PANTR,2.0,,1,,,1,,,,,
M3X0K3,M3X0K3_FELCA,2.0,,1,,,1,,,,,
M3WUG5,M3WUG5_FELCA,2.0,,1,,,1,,,,,
F1RZX3,F1RZX3_PIG,2.0,,1,,,1,,,,,
I3N3Q9,I3N3Q9_SPETR,2.0,,1,,,1,,,,,
F1RZX5,F1RZX5_PIG,2.0,,1,,,1,,,,,
I3MUE7,I3MUE7_SPETR,2.0,,1,,,1,,,,,
F6TAE4,F6TAE4_HORSE,2.0,,1,,,1,,,,,
H2R9P3,H2R9P3_PANTR,2.0,,1,,,1,,,,,
F5H6S0,F5H6S0_HUMAN,1.0,,1,,,,,,,,
B2RU49,B2RU49_MOUSE,1.0,,,,,,,,1,,
B1AQA8,B1AQA8_MOUSE,1.0,,,,,,,,1,,
A7T799,A7T799_NEMVE,1.0,,,,,1,,,,,
A7SXP3,A7SXP3_NEMVE,1.0,,,,,1,,,,,
A4IF44,A4IF44_MOUSE,1.0,,,,,,,,1,,
A2A4M0,A2A4M0_MOUSE,1.0,,,,,,,,1,,
W5NPI9,W5NPI9_SHEEP,1.0,,1,,,,,,,,
G1U081,G1U081_RABIT,1.0,,1,,,,,,,,
F6Y0P4,F6Y0P4_MONDO,1.0,,1,,,,,,,,
Q14C04,Q14C04_MOUSE,1.0,,,,,,,,1,,
Q9D122,Q9D122_MOUSE,1.0,,,,,,,,1,,
Q9BYR5,KRA42_HUMAN,1.0,,,,,,,,1,,
Q9BYR2,KRA45_HUMAN,1.0,,,,,,,,1,,
Q9BYQ7,KRA41_HUMAN,1.0,,,,,,,,1,,
Q91W93,Q91W93_MOUSE,1.0,,,,,,,,1,,
Q28707,Q28707_RABIT,1.0,,,,,,,,1,,
Q28576,Q28576_SHEEP,1.0,,,,,,,,1,,
Q0VDW8,Q0VDW8_MOUSE,1.0,,,,,,,,1,,
F7I9B1,F7I9B1_CALJA,1.0,,1,,,,,,,,
P02443,KRA3A_SHEEP,1.0,,,,,,,,1,,
P02442,KRA3_CAPHI,1.0,,,,,,,,1,,
P02441,KRA3_SHEEP,1.0,,,,,,,,1,,
I3N337,I3N337_SPETR,1.0,,1,,,,,,,,
G1TYE6,G1TYE6_RABIT,1.0,,1,,,,,,,,
G1TFG3,G1TFG3_RABIT,1.0,,1,,,,,,,,
G1PA38,G1PA38_MYOLU,1.0,,1,,,,,,,,
A0A096N9X2,A0A096N9X2_PAPAN,1.0,,1,,,,,,,,
