,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000007815,FQWAVQR,TF339066,EOG7XWPQ8,NOG133760,HOG000033743,HBG101169,NA,Q4LEZ3
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q91ZF7,AARD_RAT,8.0,,1,1,1,1,1,1,1,,1
Q811W1,AARD_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q4LEZ3,AARD_HUMAN,8.0,,1,1,1,1,1,1,1,,1
F1S1K2,F1S1K2_PIG,4.0,,1,1,1,1,,,,,
F6YGI5,F6YGI5_MACMU,4.0,,1,1,1,1,,,,,
H2R9Q3,H2R9Q3_PANTR,4.0,,1,1,1,1,,,,,
H2PR24,H2PR24_PONAB,4.0,,1,1,1,1,,,,,
F7IHW3,F7IHW3_CALJA,4.0,,1,1,1,1,,,,,
G1QY57,G1QY57_NOMLE,4.0,,1,1,1,1,,,,,
G1TK92,G1TK92_RABIT,3.0,,1,,1,1,,,,,
G3MXY2,G3MXY2_BOVIN,3.0,,1,1,1,,,,,,
G3SJA1,G3SJA1_GORGO,3.0,,1,,1,1,,,,,
G3SMD5,G3SMD5_LOXAF,3.0,,1,,1,1,,,,,
W5PKS0,W5PKS0_SHEEP,2.0,,1,1,,,,,,,
E1BHW0,E1BHW0_BOVIN,2.0,,1,,,1,,,,,
H0W6B6,H0W6B6_CAVPO,2.0,,1,,,1,,,,,
J9PA04,J9PA04_CANFA,2.0,,1,,,1,,,,,
F6SKJ0,F6SKJ0_HORSE,2.0,,1,,,1,,,,,
B2RU19,B2RU19_HUMAN,1.0,,,,,,,,1,,
W5PKS1,W5PKS1_SHEEP,1.0,,1,,,,,,,,
G1MJR7,G1MJR7_AILME,1.0,,,,,1,,,,,
A0A096N8Z3,A0A096N8Z3_PAPAN,1.0,,1,,,,,,,,
