,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16820,ENSGT00510000046760,SQQNHPP,TF326941,EOG75MVW6,NOG247722,HOG000007854,HBG002748,NA,Q9GZV5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q4V7E6,Q4V7E6_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q307I6,Q307I6_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q9EPK5,WWTR1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9EPK5,WWTR1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9GZV5,WWTR1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9GZV5,WWTR1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
E1BPN1,E1BPN1_BOVIN,5.0,1,1,1,1,1,,,,,
G3QDA0,G3QDA0_GORGO,5.0,1,1,1,1,1,,,,,
P46938,YAP1_MOUSE,5.0,,1,,1,1,,1,1,,
P46937,YAP1_HUMAN,5.0,,1,,1,1,,1,1,,
G1QS27,G1QS27_NOMLE,5.0,1,1,1,1,1,,,,,
K7GGL5,K7GGL5_PELSI,5.0,1,1,1,1,1,,,,,
H2PBQ5,H2PBQ5_PONAB,5.0,1,1,1,1,1,,,,,
H2R2X1,H2R2X1_PANTR,5.0,1,1,1,1,1,,,,,
F6T2Y8,F6T2Y8_MONDO,5.0,1,1,1,1,1,,,,,
F7IGJ9,F7IGJ9_CALJA,5.0,1,1,1,1,1,,,,,
H0VFJ3,H0VFJ3_CAVPO,4.0,,1,1,1,1,,,,,
H0ZME4,H0ZME4_TAEGU,4.0,,1,1,1,1,,,,,
F6XXA5,F6XXA5_HORSE,4.0,,1,1,1,1,,,,,
F1NA37,F1NA37_CHICK,4.0,,1,1,1,1,,,,,
Q1L8J7,Q1L8J7_DANRE,4.0,,1,,1,1,,,1,,
E2R3R3,E2R3R3_CANFA,4.0,,1,1,1,1,,,,,
F7AHW0,F7AHW0_XENTR,4.0,,1,1,1,1,,,,,
H0Y1F5,H0Y1F5_OTOGA,4.0,,1,1,1,1,,,,,
F6XXC8,F6XXC8_MACMU,4.0,,1,1,1,1,,,,,
G1NY26,G1NY26_MYOLU,4.0,,1,1,1,1,,,,,
G1LV42,G1LV42_AILME,4.0,,1,1,1,1,,,,,
H0ZR92,H0ZR92_TAEGU,3.0,,1,,1,1,,,,,
H2LBU8,H2LBU8_ORYLA,3.0,,1,,1,1,,,,,
H2LLU5,H2LLU5_ORYLA,3.0,,1,,1,1,,,,,
H2NF26,H2NF26_PONAB,3.0,,1,,1,1,,,,,
G1NER5,G1NER5_MELGA,3.0,,1,,1,1,,,,,
