,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K02962,ENSGT00390000006548,NA,TF317992,EOG72C52C,NA,NA,NA,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
F6U8N3,F6U8N3_MACMU,4.0,1,1,,1,1,,,,,
P04644,RS17_RAT,4.0,1,1,,1,1,,,,,
Q5BJA1,Q5BJA1_DANRE,4.0,1,1,,1,1,,,,,
Q6P6F0,Q6P6F0_DANRE,4.0,1,1,,1,1,,,,,
F6TLG6,F6TLG6_MACMU,4.0,1,1,,1,1,,,,,
G1TU13,G1TU13_RABIT,4.0,1,1,,1,1,,,,,
Q6QAP7,RS17_PIG,4.0,1,1,,1,1,,,,,
G1SBB8,G1SBB8_NOMLE,4.0,1,1,,1,1,,,,,
G1S9E7,G1S9E7_NOMLE,4.0,1,1,,1,1,,,,,
H9H3C3,H9H3C3_MACMU,4.0,1,1,,1,1,,,,,
H2NIT0,H2NIT0_PONAB,4.0,1,1,,1,1,,,,,
F6U3A3,F6U3A3_MACMU,4.0,1,1,,1,1,,,,,
P0CW22,RS17L_HUMAN,4.0,1,1,,1,1,,,,,
H2MHG1,H2MHG1_ORYLA,4.0,1,1,,1,1,,,,,
H2QZQ5,H2QZQ5_PANTR,4.0,1,1,,1,1,,,,,
F6ZAR3,F6ZAR3_HORSE,4.0,1,1,,1,1,,,,,
F7DYA2,F7DYA2_ORNAN,4.0,1,1,,1,1,,,,,
F7IMM6,F7IMM6_CALJA,4.0,1,1,,1,1,,,,,
G3WM06,G3WM06_SARHA,4.0,1,1,,1,1,,,,,
F7FQS5,F7FQS5_MACMU,4.0,1,1,,1,1,,,,,
H2L7Q5,H2L7Q5_ORYLA,4.0,1,1,,1,1,,,,,
F7GR61,F7GR61_MACMU,4.0,1,1,,1,1,,,,,
H0XYU6,H0XYU6_OTOGA,3.0,,1,,1,1,,,,,
H2Q9Y9,H2Q9Y9_PANTR,3.0,,1,,1,1,,,,,
H0VRM1,H0VRM1_CAVPO,3.0,,1,,1,1,,,,,
H0XL17,H0XL17_OTOGA,3.0,,1,,1,1,,,,,
H0XPA6,H0XPA6_OTOGA,3.0,,1,,1,1,,,,,
H0Z2D4,H0Z2D4_TAEGU,3.0,,1,,1,1,,,,,
H2PGC1,H2PGC1_PONAB,3.0,,1,,1,1,,,,,
H2NWH1,H2NWH1_PONAB,3.0,,1,,1,1,,,,,
B0BME0,B0BME0_XENTR,3.0,,1,,1,1,,,,,
H2N9Z5,H2N9Z5_PONAB,3.0,,1,,1,1,,,,,
H2UH56,H2UH56_TAKRU,3.0,,1,,1,1,,,,,
F7IQS7,F7IQS7_CALJA,3.0,,1,,1,1,,,,,
H3CW12,H3CW12_TETNG,3.0,,1,,1,1,,,,,
H2UZW0,H2UZW0_TAKRU,3.0,,1,,1,1,,,,,
P08708,RS17_HUMAN,3.0,1,,,1,1,,,,,
D3ZKG6,D3ZKG6_RAT,3.0,,1,,1,1,,,,,
D3ZM01,D3ZM01_RAT,3.0,,1,,1,1,,,,,
K7GFZ3,K7GFZ3_PELSI,3.0,,1,,1,1,,,,,
J9P1I2,J9P1I2_CANFA,3.0,,1,,1,1,,,,,
M3ZG45,M3ZG45_XIPMA,3.0,1,1,,,1,,,,,
J9NSG7,J9NSG7_CANFA,3.0,,1,,1,1,,,,,
O01692,RS17_CAEEL,3.0,1,1,,,1,,,,,
P17704,RS17_DROME,3.0,1,1,,,1,,,,,
D3ZFA8,D3ZFA8_RAT,3.0,,1,,1,1,,,,,
I3M7L1,I3M7L1_SPETR,3.0,,1,,1,1,,,,,
P63275,RS17_FELCA,3.0,1,1,,1,,,,,,
P63276,RS17_MOUSE,3.0,1,,,1,1,,,,,
