,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16760,ENSGT00710000106841,MAWWCLD,TF336947,NA,NOG130491,NA,HBG048718,NA,Q8TD31
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8TD31,CCHCR_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q8TD31,CCHCR_HUMAN,7.0,1,1,1,1,,1,,1,,1
Q8K2I2,CCHCR_MOUSE,6.0,1,1,,1,,1,,1,,1
G3R6G3,G3R6G3_GORGO,4.0,1,1,1,1,,,,,,
W5PKV4,W5PKV4_SHEEP,3.0,1,1,1,,,,,,,
G1PH68,G1PH68_MYOLU,3.0,,1,1,1,,,,,,
H9GP50,H9GP50_ANOCA,3.0,1,1,,1,,,,,,
H2RAV3,H2RAV3_PANTR,3.0,,1,1,1,,,,,,
H2PKZ8,H2PKZ8_PONAB,3.0,,1,1,1,,,,,,
H0WGT9,H0WGT9_OTOGA,3.0,,1,1,1,,,,,,
H0VVJ8,H0VVJ8_CAVPO,3.0,,1,1,1,,,,,,
F6Y5U0,F6Y5U0_HORSE,3.0,,1,1,1,,,,,,
F7IMB7,F7IMB7_CALJA,3.0,,1,1,1,,,,,,
Q58DK6,Q58DK6_BOVIN,3.0,1,,,,,1,,1,,
F6US28,F6US28_CANFA,3.0,,1,1,1,,,,,,
F1RTI5,F1RTI5_PIG,3.0,,1,1,1,,,,,,
F1N2Z6,F1N2Z6_BOVIN,3.0,,1,1,1,,,,,,
D2H2L7,D2H2L7_AILME,3.0,,1,1,1,,,,,,
I3ME16,I3ME16_SPETR,3.0,,1,1,1,,,,,,
G3T5J7,G3T5J7_LOXAF,3.0,,1,1,1,,,,,,
Q5TM47,Q5TM47_MACMU,3.0,1,,,,,1,,1,,
Q5RAX3,Q5RAX3_PONAB,2.0,1,,,,,,,1,,
A2ABH1,A2ABH1_HUMAN,2.0,,1,,,,,,1,,
A7X5X4,A7X5X4_ORNAN,2.0,,,,,,1,,1,,
B0S7V6,B0S7V6_HUMAN,2.0,1,,,,,,,1,,
Q9TSV3,CCHCR_PIG,2.0,,,,,,1,,1,,
F6R491,F6R491_MACMU,2.0,,1,,1,,,,,,
Q3TWA2,Q3TWA2_MOUSE,2.0,1,,,,,,,1,,
F7CKQ4,F7CKQ4_XENTR,2.0,,1,,1,,,,,,
F7E794,F7E794_ORNAN,2.0,,1,,1,,,,,,
F7FDU9,F7FDU9_MONDO,2.0,,1,,1,,,,,,
G1R1D6,G1R1D6_NOMLE,2.0,1,1,,,,,,,,
G3UWS7,G3UWS7_MOUSE,2.0,,1,1,,,,,,,
G3VDL2,G3VDL2_SARHA,2.0,,1,,1,,,,,,
Q769H0,Q769H0_HUMAN,2.0,1,,,,,,,1,,
H3AZN3,H3AZN3_LATCH,2.0,,1,,1,,,,,,
Q8HZ60,CCHCR_PANTR,2.0,1,,,,,,,1,,
M0RC14,M0RC14_RAT,2.0,,1,1,,,,,,,
Q0D2L7,Q0D2L7_RAT,2.0,1,,,,,,,1,,
M3WNJ0,M3WNJ0_FELCA,2.0,,1,1,,,,,,,
Q2TB68,Q2TB68_HUMAN,2.0,1,,,,,,,1,,
M3XQ37,M3XQ37_MUSPF,2.0,,1,1,,,,,,,
J9P1S3,J9P1S3_CANFA,2.0,1,1,,,,,,,,
D6RBG1,D6RBG1_HUMAN,1.0,,1,,,,,,,,
D6RB88,D6RB88_HUMAN,1.0,,1,,,,,,,,
D6RAE7,D6RAE7_HUMAN,1.0,,1,,,,,,,,
D6RD84,D6RD84_HUMAN,1.0,,1,,,,,,,,
D6RA02,D6RA02_HUMAN,1.0,,1,,,,,,,,
D6R9W9,D6R9W9_HUMAN,1.0,,1,,,,,,,,
V4AYJ7,V4AYJ7_LOTGI,1.0,1,,,,,,,,,
D6RDI7,D6RDI7_HUMAN,1.0,,1,,,,,,,,
B7PMB8,B7PMB8_IXOSC,1.0,,,,,,,,,,1
B4DIA2,B4DIA2_HUMAN,1.0,,,,,,,,1,,
Q5STF0,Q5STF0_HUMAN,1.0,,1,,,,,,,,
Q2L6G6,Q2L6G6_HUMAN,1.0,,,,,,,,1,,
B0V092,B0V092_HUMAN,1.0,,1,,,,,,,,
E7EPK4,E7EPK4_HUMAN,1.0,,1,,,,,,,,
B0JZ34,B0JZ34_XENTR,1.0,1,,,,,,,,,
A9XA72,A9XA72_HUMAN,1.0,,,,,,1,,,,
A8K081,A8K081_HUMAN,1.0,,,,,,,,1,,
A8BI37,A8BI37_GIAIC,1.0,,,,,,,,,,1
A2DUK1,A2DUK1_TRIVA,1.0,,,,,,,,,,1
A2ABH5,A2ABH5_HUMAN,1.0,,1,,,,,,,,
A2ABH4,A2ABH4_HUMAN,1.0,,1,,,,,,,,
A2ABH3,A2ABH3_HUMAN,1.0,,1,,,,,,,,
Q38CE5,Q38CE5_TRYB2,1.0,,,,,,1,,,,
A0A096NJD2,A0A096NJD2_PAPAN,1.0,,1,,,,,,,,
D6RE89,D6RE89_HUMAN,1.0,,1,,,,,,,,
E9PGB6,E9PGB6_HUMAN,1.0,,1,,,,,,,,
E7EQC5,E7EQC5_HUMAN,1.0,,1,,,,,,,,
Q8HZ57,CCHCR_PANPA,1.0,,,,,,,,1,,
K7GIK5,K7GIK5_PELSI,1.0,,1,,,,,,,,
H2UR38,H2UR38_TAKRU,1.0,,1,,,,,,,,
Q6IAC8,Q6IAC8_HUMAN,1.0,,,,,,,,1,,
Q6MG25,Q6MG25_RAT,1.0,,,,,,,,1,,
K7GN33,K7GN33_PIG,1.0,,1,,,,,,,,
Q7QII2,Q7QII2_ANOGA,1.0,,,,,,,,,,1
M1T2K8,M1T2K8_HUMAN,1.0,1,,,,,,,,,
W5KJK3,W5KJK3_ASTMX,1.0,,1,,,,,,,,
Q7UZE1,Q7UZE1_RHOBA,1.0,,,,,,,,,,1
G3QAK7,G3QAK7_GASAC,1.0,,1,,,,,,,,
Q8HZ58,CCHCR_PONPY,1.0,,,,,,,,1,,
E7EQE8,E7EQE8_HUMAN,1.0,,1,,,,,,,,
M4AAP7,M4AAP7_XIPMA,1.0,,1,,,,,,,,
Q8HZ59,CCHCR_GORGO,1.0,,,,,,,,1,,
Q0EFB6,Q0EFB6_HUMAN,1.0,,,,,,,,1,,
F6TWT1,F6TWT1_CALJA,1.0,,1,,,,,,,,
Q1XI18,Q1XI18_PANTR,1.0,,,,,,,,1,,
Q1XI19,Q1XI19_PANTR,1.0,,,,,,,,1,,
F1QVK9,F1QVK9_DANRE,1.0,,1,,,,,,,,
F1QN68,F1QN68_DANRE,1.0,,1,,,,,,,,
S7MJV3,S7MJV3_MYOBR,1.0,1,,,,,,,,,
E9PHV1,E9PHV1_HUMAN,1.0,,1,,,,,,,,
A0A087X981,A0A087X981_POEFO,1.0,,1,,,,,,,,
