,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K17986,ENSGT00390000003926,NHSGYVQ,TF300280,EOG7PCJJT,NOG249575,HOG000232100,HBG054805,NA,Q8IVP5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5BJS4,FUND1_RAT,9.0,1,1,1,1,1,1,1,1,,1
Q6DH87,FUND1_DANRE,9.0,1,1,1,1,1,1,1,1,,1
Q8IVP5,FUND1_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q9DB70,FUND1_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q9D6K8,FUND2_MOUSE,6.0,,1,,1,1,1,1,1,,
B1H3B1,FUND1_XENTR,6.0,1,1,,,1,1,1,1,,
Q864V5,FUND2_PIG,6.0,,1,,1,1,1,1,1,,
Q8MJN0,FUND2_BOVIN,6.0,,1,,1,1,1,1,1,,
Q4RY26,FUND1_TETNG,6.0,,1,1,1,1,1,,1,,
F1N5S9,FUND1_BOVIN,6.0,1,1,1,1,1,,1,,,
Q9BWH2,FUND2_HUMAN,5.0,,1,,1,,1,1,1,,
F7HHQ8,F7HHQ8_CALJA,5.0,1,1,1,1,1,,,,,
G1SEQ1,G1SEQ1_RABIT,5.0,1,1,1,1,1,,,,,
H2TWR9,H2TWR9_TAKRU,5.0,1,1,1,1,1,,,,,
G1LUN6,G1LUN6_AILME,5.0,1,1,1,1,1,,,,,
G1QQ35,G1QQ35_NOMLE,5.0,1,1,1,1,1,,,,,
H2PVD7,H2PVD7_PONAB,5.0,1,1,1,1,1,,,,,
H2R4R7,H2R4R7_PANTR,5.0,1,1,1,1,1,,,,,
H2XYG4,H2XYG4_CIOIN,5.0,1,1,1,1,1,,,,,
H3APN6,H3APN6_LATCH,5.0,1,1,1,1,1,,,,,
F6UIY8,F6UIY8_MONDO,5.0,1,1,1,1,1,,,,,
F6U1Q4,F6U1Q4_HORSE,5.0,1,1,1,1,1,,,,,
A7SUB5,A7SUB5_NEMVE,5.0,1,,,,1,1,1,,,1
H0Z6V5,H0Z6V5_TAEGU,5.0,1,1,1,1,1,,,,,
F1RWZ9,F1RWZ9_PIG,5.0,1,1,1,1,1,,,,,
F1PD16,F1PD16_CANFA,5.0,1,1,1,1,1,,,,,
G3SEG1,G3SEG1_GORGO,4.0,,1,1,1,1,,,,,
Q7Q4N9,Q7Q4N9_ANOGA,4.0,1,,,,,1,1,,,1
I3MVF8,I3MVF8_SPETR,4.0,,1,1,1,1,,,,,
M3W483,M3W483_FELCA,4.0,1,1,1,,1,,,,,
G3TER1,G3TER1_LOXAF,4.0,,1,1,1,1,,,,,
G3VBK5,G3VBK5_SARHA,4.0,,1,1,1,1,,,,,
B5FWA2,B5FWA2_OTOGA,4.0,,1,,1,1,,,1,,
H0VMM9,H0VMM9_CAVPO,4.0,,1,1,1,1,,,,,
H3B447,H3B447_LATCH,4.0,1,1,,1,1,,,,,
G1NP36,G1NP36_MELGA,4.0,,1,1,1,1,,,,,
G1KUH1,G1KUH1_ANOCA,4.0,1,1,,1,1,,,,,
F7EH14,F7EH14_MACMU,4.0,,1,1,1,1,,,,,
F1QCG5,F1QCG5_DANRE,4.0,1,1,,1,1,,,,,
G1PTA5,G1PTA5_MYOLU,4.0,,1,1,1,1,,,,,
F6Q6K5,F6Q6K5_ORNAN,4.0,,1,1,1,1,,,,,
H9H6W3,H9H6W3_MONDO,3.0,,1,,1,1,,,,,
H0WXX0,H0WXX0_OTOGA,3.0,,1,,1,1,,,,,
H0XUK3,H0XUK3_OTOGA,3.0,,1,,1,1,,,,,
I3K2A6,I3K2A6_ORENI,3.0,,,1,1,1,,,,,
H0VTT9,H0VTT9_CAVPO,3.0,,1,,1,1,,,,,
H0Z977,H0Z977_TAEGU,3.0,,1,,1,1,,,,,
H2YD22,H2YD22_CIOSA,3.0,,1,,1,1,,,,,
H2P5N8,H2P5N8_PONAB,3.0,,1,,1,1,,,,,
H2PXB3,H2PXB3_PONAB,3.0,,1,,1,1,,,,,
H2UE87,H2UE87_TAKRU,3.0,,1,,1,1,,,,,
H2RFF5,H2RFF5_PANTR,3.0,,1,,1,1,,,,,
G3PQI7,G3PQI7_GASAC,3.0,,1,1,1,,,,,,
B7NZR6,B7NZR6_RABIT,3.0,,,,,,1,1,1,,
G1PA12,G1PA12_MYOLU,3.0,,1,,1,1,,,,,
C3ZDP9,C3ZDP9_BRAFL,3.0,1,,,,,1,,,,1
F6Q5U7,F6Q5U7_MACMU,3.0,,1,,1,1,,,,,
F6RA93,F6RA93_HORSE,3.0,,1,,1,1,,,,,
F6WYK1,F6WYK1_CALJA,3.0,,1,,1,1,,,,,
F7C9Z4,F7C9Z4_ORNAN,3.0,,1,,1,1,,,,,
F7E3C0,F7E3C0_MACMU,3.0,,1,,1,1,,,,,
G1NA58,G1NA58_MELGA,3.0,,1,,1,1,,,,,
G1Q0P4,G1Q0P4_MYOLU,3.0,,1,,1,1,,,,,
G3VQK3,G3VQK3_SARHA,3.0,,1,,1,1,,,,,
G1RWD9,G1RWD9_NOMLE,3.0,,1,,1,1,,,,,
G1TTS1,G1TTS1_RABIT,3.0,,1,,1,1,,,,,
G3RFF3,G3RFF3_GORGO,3.0,,1,,1,1,,,,,
G3S2W5,G3S2W5_GORGO,3.0,,1,,1,1,,,,,
G3SAZ0,G3SAZ0_GORGO,3.0,,1,,1,1,,,,,
G3TEV3,G3TEV3_LOXAF,3.0,,1,,1,1,,,,,
G3UFQ3,G3UFQ3_LOXAF,3.0,,1,,1,1,,,,,
I3MAF3,I3MAF3_SPETR,3.0,,1,,1,1,,,,,
W5P0D0,W5P0D0_SHEEP,3.0,1,1,1,,,,,,,
D3ZAQ0,D3ZAQ0_RAT,3.0,,1,,1,1,,,,,
