,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000008694,QCVMMPS,TF329240,EOG7NCV5N,NOG320293,NA,HBG054972,NA,Q96A57
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q96A57,TM230_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q96A57,TM230_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q5ZLH4,TM230_CHICK,7.0,,1,1,1,1,1,,1,,1
Q5BJP5,TM230_RAT,7.0,,1,1,1,1,1,,1,,1
Q5BJP5,TM230_RAT,7.0,,1,1,1,1,1,,1,,1
Q5E975,TM230_BOVIN,6.0,,1,1,1,1,1,,1,,
Q68EJ3,Q68EJ3_DANRE,6.0,,1,,1,1,1,,1,,1
Q8CIB6,TM230_MOUSE,6.0,,1,1,1,1,1,,1,,
H0Z0V6,H0Z0V6_TAEGU,4.0,,1,1,1,1,,,,,
K7F259,K7F259_PELSI,4.0,,1,1,1,1,,,,,
F7HEX9,F7HEX9_CALJA,4.0,,1,1,1,1,,,,,
H2RR19,H2RR19_TAKRU,4.0,,1,1,1,1,,,,,
H2P1A1,H2P1A1_PONAB,4.0,,1,1,1,1,,,,,
G1QBU4,G1QBU4_MYOLU,4.0,,1,1,1,1,,,,,
G1SKY8,G1SKY8_RABIT,4.0,,1,1,1,1,,,,,
G3RRM9,G3RRM9_GORGO,4.0,,1,1,1,1,,,,,
H0WIH1,H0WIH1_OTOGA,4.0,,1,1,1,1,,,,,
H2M9P5,H2M9P5_ORYLA,4.0,,1,1,1,1,,,,,
H3BDJ2,H3BDJ2_LATCH,4.0,,1,1,1,1,,,,,
I3NBW4,I3NBW4_SPETR,4.0,,1,1,1,1,,,,,
I3L7U7,I3L7U7_PIG,4.0,,1,1,1,1,,,,,
G3WEQ8,G3WEQ8_SARHA,4.0,,1,1,1,1,,,,,
H0VE60,H0VE60_CAVPO,4.0,,1,1,1,1,,,,,
G3SY48,G3SY48_LOXAF,4.0,,1,1,1,1,,,,,
G1MPV1,G1MPV1_MELGA,4.0,,1,1,1,1,,,,,
F6ZD79,F6ZD79_MACMU,4.0,,1,1,1,1,,,,,
Q6DET5,Q6DET5_XENTR,4.0,,1,,1,1,,,1,,
D2HQS6,D2HQS6_AILME,4.0,,1,1,1,1,,,,,
F6YEP9,F6YEP9_MONDO,4.0,,1,1,1,1,,,,,
E2R0B5,E2R0B5_CANFA,4.0,,1,1,1,1,,,,,
H2QJX2,H2QJX2_PANTR,4.0,,1,1,1,1,,,,,
F1Q969,F1Q969_DANRE,4.0,,1,1,1,1,,,,,
F6PLK7,F6PLK7_HORSE,4.0,,1,1,1,1,,,,,
G3PBU3,G3PBU3_GASAC,3.0,,1,,1,1,,,,,
G3Q2B3,G3Q2B3_GASAC,3.0,,1,,1,1,,,,,
H2SDY0,H2SDY0_TAKRU,3.0,,1,,1,1,,,,,
A7SGM3,A7SGM3_NEMVE,3.0,,,,,1,1,,,,1
H2ZK77,H2ZK77_CIOSA,3.0,,1,,1,1,,,,,
H3C6R4,H3C6R4_TETNG,3.0,,1,,1,1,,,,,
B7QFU0,B7QFU0_IXOSC,3.0,,,,,1,1,,,,1
G1Q907,G1Q907_MYOLU,3.0,,1,,1,1,,,,,
I3JX53,I3JX53_ORENI,3.0,,,1,1,1,,,,,
E1BBW6,E1BBW6_BOVIN,3.0,,1,,1,1,,,,,
E1BID2,E1BID2_BOVIN,3.0,,1,,1,1,,,,,
I3N3D6,I3N3D6_SPETR,3.0,,1,,1,1,,,,,
F1MIA4,F1MIA4_BOVIN,3.0,,1,,1,1,,,,,
M3W4G5,M3W4G5_FELCA,3.0,,1,1,,1,,,,,
C3Z0I7,C3Z0I7_BRAFL,2.0,,,,,,1,,,,1
B5FZ43,B5FZ43_TAEGU,2.0,,,,,,1,,1,,
B3S393,B3S393_TRIAD,2.0,,,,,1,1,,,,
G1R857,G1R857_NOMLE,2.0,,1,,,1,,,,,
G3RZ37,G3RZ37_GORGO,2.0,,1,,,1,,,,,
W5Q6L6,W5Q6L6_SHEEP,2.0,,1,1,,,,,,,
I3K5M0,I3K5M0_ORENI,2.0,,,,1,1,,,,,
R0K7I2,R0K7I2_ANAPL,2.0,,1,1,,,,,,,
U3JBU9,U3JBU9_FICAL,2.0,,1,1,,,,,,,
