,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K04994,ENSGT00390000017126,ETECFFV,TF317783,EOG7V1FQ9,NOG149591,HOG000232158,HBG052430,NA,Q8TDD5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8R4F0,MCLN3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8TDD5,MCLN3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8TDD5,MCLN3_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q8R4F0,MCLN3_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q499S1,Q499S1_RAT,6.0,,1,,1,1,1,1,1,,
Q8K595,MCLN2_MOUSE,6.0,,1,,1,1,1,1,1,,
Q99J21,MCLN1_MOUSE,6.0,,1,,1,1,1,1,1,,
Q8IZK6,MCLN2_HUMAN,6.0,,1,,1,1,1,1,1,,
Q9GZU1,MCLN1_HUMAN,6.0,,1,,1,1,1,1,1,,
D2HBY7,D2HBY7_AILME,6.0,1,1,1,1,1,,1,,,
A2BGV1,A2BGV1_DANRE,6.0,,1,,1,1,1,1,1,,
E2RLR6,E2RLR6_CANFA,5.0,1,1,1,1,1,,,,,
G3QWU1,G3QWU1_GORGO,5.0,1,1,1,1,1,,,,,
F7GDU9,F7GDU9_MACMU,5.0,1,1,1,1,1,,,,,
F7DLV6,F7DLV6_HORSE,5.0,1,1,1,1,1,,,,,
H2PZB2,H2PZB2_PANTR,5.0,1,1,1,1,1,,,,,
G1SX07,G1SX07_RABIT,5.0,1,1,1,1,1,,,,,
F6RG56,F6RG56_CALJA,5.0,1,1,1,1,1,,,,,
E1BDG0,E1BDG0_BOVIN,5.0,1,1,1,1,1,,,,,
H3B9I6,H3B9I6_LATCH,5.0,1,1,1,1,1,,,,,
Q6AY44,Q6AY44_RAT,5.0,1,,,,,1,1,1,,1
H3DL48,H3DL48_TETNG,4.0,,1,1,1,1,,,,,
G1NZW9,G1NZW9_MYOLU,4.0,,1,1,1,1,,,,,
I3L663,I3L663_PIG,4.0,,1,1,1,1,,,,,
I3MH28,I3MH28_SPETR,4.0,,1,1,1,1,,,,,
H2VDB4,H2VDB4_TAKRU,4.0,,1,1,1,1,,,,,
F6PR01,F6PR01_CIOIN,4.0,,1,1,1,1,,,,,
