,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K16862,ENSGT00390000004368,FPSQVTC,TF332817,EOG7CNZHW,COG1502,HOG000082679,HBG108267,NA,Q8N2A8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5SWZ9,PLD6_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
Q8N2A8,PLD6_HUMAN,9.0,1,1,1,1,1,1,1,1,,1
Q5SWZ9,PLD6_MOUSE,9.0,1,1,1,1,1,1,1,1,,1
A3KNW0,PLD6_DANRE,8.0,1,1,1,1,1,1,1,1,,
Q28DT3,PLD6_XENTR,6.0,1,,,1,1,1,1,1,,
D4ADQ2,D4ADQ2_RAT,6.0,1,1,1,1,1,,,,,1
D4ADQ2,D4ADQ2_RAT,6.0,1,1,1,1,1,,,,,1
H2ZTC7,H2ZTC7_LATCH,5.0,1,1,1,1,1,,,,,
G2HE65,G2HE65_PANTR,5.0,1,1,1,1,1,,,,,
E1BE10,PLD6_BOVIN,5.0,1,1,1,1,1,,,,,
H9KWG3,H9KWG3_CALJA,4.0,,1,1,1,1,,,,,
F6TQM8,F6TQM8_MONDO,4.0,,1,1,1,1,,,,,
I3M3Y4,I3M3Y4_SPETR,4.0,,1,1,1,1,,,,,
H2SNS8,H2SNS8_TAKRU,4.0,,1,1,1,1,,,,,
H2LEV7,H2LEV7_ORYLA,4.0,,1,1,1,1,,,,,
H2Y076,H2Y076_CIOIN,4.0,,1,1,1,1,,,,,
H0XM16,H0XM16_OTOGA,4.0,,1,1,1,1,,,,,
B7PYX8,B7PYX8_IXOSC,4.0,1,,,,1,1,,,,1
H0VLF0,H0VLF0_CAVPO,4.0,,1,1,1,1,,,,,
F6XBG6,F6XBG6_MACMU,4.0,,1,1,1,1,,,,,
M3W4I9,M3W4I9_FELCA,4.0,1,1,1,,1,,,,,
Q9VKD7,ZUC_DROME,4.0,1,1,,,1,1,,,,
G3RV35,G3RV35_GORGO,4.0,,1,1,1,1,,,,,
G3Q753,G3Q753_GASAC,4.0,,1,1,1,1,,,,,
A7SU88,A7SU88_NEMVE,4.0,1,,,,1,1,1,,,
G1L642,G1L642_AILME,4.0,,1,1,1,1,,,,,
E2RD63,PLD6_CANFA,4.0,,1,1,1,1,,,,,
I3KNT9,I3KNT9_ORENI,3.0,,,1,1,1,,,,,
M3XLR5,M3XLR5_MUSPF,3.0,,1,1,,1,,,,,
M4ASG3,M4ASG3_XIPMA,3.0,,1,1,,1,,,,,
B4MW06,B4MW06_DROWI,3.0,1,,,,1,1,,,,
B4LPC7,B4LPC7_DROVI,3.0,1,,,,1,1,,,,
G3U4F8,G3U4F8_LOXAF,3.0,,1,,1,1,,,,,
G1RSR5,G1RSR5_NOMLE,3.0,,1,1,1,,,,,,
B4MNJ6,B4MNJ6_DROWI,3.0,1,,,,1,1,,,,
B4P1V9,B4P1V9_DROYA,3.0,1,,,,1,1,,,,
B4M7I6,B4M7I6_DROVI,3.0,1,,,,1,1,,,,
B4M611,B4M611_DROVI,3.0,1,,,,1,1,,,,
H3CKN8,H3CKN8_TETNG,3.0,,1,,1,1,,,,,
B3MBN5,B3MBN5_DROAN,3.0,1,,,,1,1,,,,
G3WZ49,G3WZ49_SARHA,3.0,,1,,1,1,,,,,
B4JR49,B4JR49_DROGR,3.0,1,,,,1,1,,,,
B4J7F7,B4J7F7_DROGR,3.0,1,,,,1,1,,,,
B3MMX7,B3MMX7_DROAN,3.0,1,,,,1,1,,,,
A8IW99,PLD6_CHLRE,2.0,1,,,,,1,,,,
M3ZAS1,M3ZAS1_NOMLE,2.0,,1,,,1,,,,,
G1TMC1,G1TMC1_RABIT,2.0,,1,,,1,,,,,
E0VMT3,E0VMT3_PEDHC,2.0,1,,,,1,,,,,
J9LSZ8,J9LSZ8_ACYPI,2.0,1,,,,1,,,,,
A4S175,A4S175_OSTLU,2.0,1,,,,,1,,,,
Q29LZ0,Q29LZ0_DROPS,2.0,1,,,,1,,,,,
B3LX27,B3LX27_DROAN,2.0,1,,,,1,,,,,
H9JEH1,H9JEH1_BOMMO,2.0,1,,,,1,,,,,
W5NVF3,W5NVF3_SHEEP,2.0,,1,1,,,,,,,
G1MYU2,G1MYU2_MELGA,2.0,,1,,,1,,,,,
B4L5Z2,B4L5Z2_DROMO,2.0,1,,,,1,,,,,
W5MNB6,W5MNB6_LEPOC,2.0,,1,1,,,,,,,
Q4SWG7,Q4SWG7_TETNG,2.0,,,,,,1,,1,,
B4G703,B4G703_DROPE,2.0,1,,,,1,,,,,
B4IE38,B4IE38_DROSE,2.0,1,,,,1,,,,,
B4KAS1,B4KAS1_DROMO,2.0,1,,,,1,,,,,
B4KIT3,B4KIT3_DROMO,2.0,1,,,,1,,,,,
B4KYZ7,B4KYZ7_DROMO,2.0,1,,,,1,,,,,
B4LQI0,B4LQI0_DROVI,2.0,1,,,,1,,,,,
B3MZ14,B3MZ14_DROAN,2.0,1,,,,1,,,,,
A1L1C2,PLD6_XENLA,2.0,1,,,,,,,1,,
A0AP53,A0AP53_DROSI,2.0,1,,,,1,,,,,
B3N3Z8,B3N3Z8_DROER,2.0,1,,,,1,,,,,
W5JZT0,W5JZT0_ASTMX,2.0,,1,1,,,,,,,
B3RCZ2,B3RCZ2_CUPTR,1.0,,,,,,1,,,,
B3R9S0,B3R9S0_CUPTR,1.0,,,,,,1,,,,
B2SRN3,B2SRN3_XANOP,1.0,,,,,,1,,,,
B3RCL9,B3RCL9_CUPTR,1.0,,,,,,1,,,,
B3RCF8,B3RCF8_CUPTR,1.0,,,,,,1,,,,
B3RA37,B3RA37_CUPTR,1.0,,,,,,1,,,,
B2SU30,B2SU30_XANOP,1.0,,,,,,1,,,,
B3R9R8,B3R9R8_CUPTR,1.0,,,,,,1,,,,
B3R9G8,B3R9G8_CUPTR,1.0,,,,,,1,,,,
B3R8L6,B3R8L6_CUPTR,1.0,,,,,,1,,,,
B3WDX3,B3WDX3_LACCB,1.0,,,,,,1,,,,
B2SUS8,B2SUS8_XANOP,1.0,,,,,,1,,,,
B2SUX6,B2SUX6_XANOP,1.0,,,,,,1,,,,
B3RPT8,B3RPT8_TRIAD,1.0,,,,,,1,,,,
B4EH49,B4EH49_BURCJ,1.0,,,,,,1,,,,
B3WEG8,B3WEG8_LACCB,1.0,,,,,,1,,,,
B4E8Q9,B4E8Q9_BURCJ,1.0,,,,,,1,,,,
B4EBA6,B4EBA6_BURCJ,1.0,,,,,,1,,,,
B4EBD3,B4EBD3_BURCJ,1.0,,,,,,1,,,,
B4ECP5,B4ECP5_BURCJ,1.0,,,,,,1,,,,
B3Q1G1,B3Q1G1_RHIE6,1.0,,,,,,1,,,,
B4EIN8,B4EIN8_BURCJ,1.0,,,,,,1,,,,
B4EN37,B4EN37_BURCJ,1.0,,,,,,1,,,,
B4EQH3,B4EQH3_BURCJ,1.0,,,,,,1,,,,
B4EUX8,B4EUX8_PROMH,1.0,,,,,,1,,,,
B4EWI7,CLSA_PROMH,1.0,,,,,,1,,,,
B4J484,B4J484_DROGR,1.0,,,,,,1,,,,
B4JRV9,B4JRV9_DROGR,1.0,,,,,,1,,,,
B4LIM2,B4LIM2_DROVI,1.0,,,,,,1,,,,
B4LX11,B4LX11_DROVI,1.0,,,,,,1,,,,
B3Q5N3,B3Q5N3_RHIE6,1.0,,,,,,1,,,,
B3MUW3,B3MUW3_DROAN,1.0,,,,,,1,,,,
B2SX44,B2SX44_BURPP,1.0,,,,,,1,,,,
B2US20,B2US20_HELPS,1.0,,,,,,1,,,,
B2UYL0,B2UYL0_CLOBA,1.0,,,,,,1,,,,
B2V445,B2V445_CLOBA,1.0,,,,,,1,,,,
B2VKV4,CLSA_ERWT9,1.0,,,,,,1,,,,
B3PB19,B3PB19_CELJU,1.0,,,,,,1,,,,
B3CNY9,B3CNY9_WOLPP,1.0,,,,,,1,,,,
B3CP52,B3CP52_WOLPP,1.0,,,,,,1,,,,
B3CPQ9,B3CPQ9_WOLPP,1.0,,,,,,1,,,,
B3CPW5,B3CPW5_WOLPP,1.0,,,,,,1,,,,
B3CR48,B3CR48_ORITI,1.0,,,,,,1,,,,
B3D0F1,B3D0F1_BURM1,1.0,,,,,,1,,,,
B3E257,B3E257_GEOLS,1.0,,,,,,1,,,,
B3E2E9,B3E2E9_GEOLS,1.0,,,,,,1,,,,
B3ER19,B3ER19_AMOA5,1.0,,,,,,1,,,,
B3EUF8,B3EUF8_AMOA5,1.0,,,,,,1,,,,
B3GZN3,B3GZN3_ACTP7,1.0,,,,,,1,,,,
B3M1U7,B3M1U7_DROAN,1.0,,,,,,1,,,,
B3MJ55,B3MJ55_DROAN,1.0,,,,,,1,,,,
B2USF3,B2USF3_HELPS,1.0,,,,,,1,,,,
B2UP72,B2UP72_AKKM8,1.0,,,,,,1,,,,
B2T5L0,B2T5L0_BURPP,1.0,,,,,,1,,,,
B2UKI2,B2UKI2_RALPJ,1.0,,,,,,1,,,,
B2T5X6,B2T5X6_BURPP,1.0,,,,,,1,,,,
B2TA20,B2TA20_BURPP,1.0,,,,,,1,,,,
B2TE47,B2TE47_BURPP,1.0,,,,,,1,,,,
B2TH93,B2TH93_BURPP,1.0,,,,,,1,,,,
B2TPU0,B2TPU0_CLOBB,1.0,,,,,,1,,,,
B2TQ76,B2TQ76_CLOBB,1.0,,,,,,1,,,,
B2TRJ2,B2TRJ2_CLOBB,1.0,,,,,,1,,,,
B2TTM6,B2TTM6_SHIB3,1.0,,,,,,1,,,,
B2TVE1,B2TVE1_SHIB3,1.0,,,,,,1,,,,
B2TYJ6,B2TYJ6_SHIB3,1.0,,,,,,1,,,,
B2TZZ4,CLSA_SHIB3,1.0,,,,,,1,,,,
B2UAP8,B2UAP8_RALPJ,1.0,,,,,,1,,,,
B2UFI0,B2UFI0_RALPJ,1.0,,,,,,1,,,,
B3PS69,B3PS69_RHIE6,1.0,,,,,,1,,,,
B2UHN3,B2UHN3_RALPJ,1.0,,,,,,1,,,,
B2UI69,B2UI69_RALPJ,1.0,,,,,,1,,,,
B2UI70,B2UI70_RALPJ,1.0,,,,,,1,,,,
B2T4J3,B2T4J3_BURPP,1.0,,,,,,1,,,,
B2RJQ5,B2RJQ5_PORG3,1.0,,,,,,1,,,,
B2SHM6,B2SHM6_XANOP,1.0,,,,,,1,,,,
B1YSI1,B1YSI1_BURA4,1.0,,,,,,1,,,,
B1LH51,CLSA_ECOSM,1.0,,,,,,1,,,,
B1LIW6,B1LIW6_ECOSM,1.0,,,,,,1,,,,
B1LM80,B1LM80_ECOSM,1.0,,,,,,1,,,,
B1LP98,B1LP98_ECOSM,1.0,,,,,,1,,,,
B1LXH3,B1LXH3_METRJ,1.0,,,,,,1,,,,
B1MZZ2,B1MZZ2_LEUCK,1.0,,,,,,1,,,,
B1VHN4,B1VHN4_CORU7,1.0,,,,,,1,,,,
B1VTB4,B1VTB4_STRGG,1.0,,,,,,1,,,,
B1WTP7,B1WTP7_CYAA5,1.0,,,,,,1,,,,
B1X031,B1X031_CYAA5,1.0,,,,,,1,,,,
B1X7B9,B1X7B9_ECODH,1.0,,,,,,1,,,,
B1X9G0,B1X9G0_ECODH,1.0,,,,,,1,,,,
B1XAT9,CLSA_ECODH,1.0,,,,,,1,,,,
B1XBR2,B1XBR2_ECODH,1.0,,,,,,1,,,,
B1XQJ0,B1XQJ0_SYNP2,1.0,,,,,,1,,,,
B1XU01,B1XU01_POLNS,1.0,,,,,,1,,,,
B1XWS2,B1XWS2_LEPCP,1.0,,,,,,1,,,,
B1YB74,B1YB74_PYRNV,1.0,,,,,,1,,,,
