,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00520000055589,APREGCF,TF331863,EOG7FFMQW,NOG302782,HOG000060142,HBG061105,NA,Q9P2F5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q499E5,STOX2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q499E5,STOX2_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q9P2F5,STOX2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9P2F5,STOX2_HUMAN,8.0,,1,1,1,1,1,1,1,,1
D4A001,D4A001_RAT,5.0,,1,1,1,1,,,,,1
G1N3S3,G1N3S3_MELGA,4.0,,1,1,1,1,,,,,
F6XNG8,F6XNG8_MONDO,4.0,,1,1,1,1,,,,,
F7CJI1,F7CJI1_MACMU,4.0,,1,1,1,1,,,,,
F7HNI1,F7HNI1_CALJA,4.0,,1,1,1,1,,,,,
K7G931,K7G931_PELSI,4.0,,1,1,1,1,,,,,
G1LP15,G1LP15_AILME,4.0,,1,1,1,1,,,,,
I3MRN5,I3MRN5_SPETR,4.0,,1,1,1,1,,,,,
H0WQP9,H0WQP9_OTOGA,4.0,,1,1,1,1,,,,,
F6WTW7,F6WTW7_XENTR,4.0,,1,1,1,1,,,,,
G1QBA1,G1QBA1_MYOLU,4.0,,1,1,1,1,,,,,
G1RIS6,G1RIS6_NOMLE,4.0,,1,1,1,1,,,,,
G1SXS0,G1SXS0_RABIT,4.0,,1,1,1,1,,,,,
H2QQH9,H2QQH9_PANTR,4.0,,1,1,1,1,,,,,
H2PEU4,H2PEU4_PONAB,4.0,,1,1,1,1,,,,,
H2LVD2,H2LVD2_ORYLA,4.0,,1,1,1,1,,,,,
G3RDG6,G3RDG6_GORGO,4.0,,1,1,1,1,,,,,
G3T8S5,G3T8S5_LOXAF,4.0,,1,1,1,1,,,,,
H3CNV2,H3CNV2_TETNG,4.0,,1,1,1,1,,,,,
G3W6K8,G3W6K8_SARHA,4.0,,1,1,1,1,,,,,
F6S2T9,F6S2T9_HORSE,4.0,,1,1,1,1,,,,,
F1MYB0,F1MYB0_BOVIN,4.0,,1,1,1,1,,,,,
F1NUU5,F1NUU5_CHICK,4.0,,1,1,1,1,,,,,
F1RSZ9,F1RSZ9_PIG,4.0,,1,1,1,1,,,,,
H3CJY1,H3CJY1_TETNG,3.0,,1,,1,1,,,,,
E1BWL1,E1BWL1_CHICK,3.0,,1,,1,1,,,,,
G3PXR5,G3PXR5_GASAC,3.0,,1,,1,1,,,,,
G3Q7N1,G3Q7N1_GASAC,3.0,,1,,1,1,,,,,
H2UUM0,H2UUM0_TAKRU,3.0,,1,1,1,,,,,,
F6SH19,F6SH19_XENTR,3.0,,1,,1,1,,,,,
H2N281,H2N281_ORYLA,3.0,,1,,1,1,,,,,
H2LT58,H2LT58_ORYLA,3.0,,1,,1,1,,,,,
I3JV55,I3JV55_ORENI,3.0,,,1,1,1,,,,,
G1MYI9,G1MYI9_MELGA,3.0,,1,,1,1,,,,,
H1A0Y3,H1A0Y3_TAEGU,3.0,,1,,1,1,,,,,
F1QH77,F1QH77_DANRE,3.0,,1,,1,1,,,,,
H0Z8C8,H0Z8C8_TAEGU,3.0,,1,,1,1,,,,,
J9P9H4,J9P9H4_CANFA,3.0,,1,1,,1,,,,,
G1KBE6,G1KBE6_ANOCA,3.0,,1,,1,1,,,,,
B1WB79,B1WB79_DANRE,3.0,,1,,1,1,,,,,
M3WLR3,M3WLR3_FELCA,3.0,,1,1,,1,,,,,
M3XLF5,M3XLF5_LATCH,3.0,,1,1,,1,,,,,
M3YI19,M3YI19_MUSPF,3.0,,1,1,,1,,,,,
M4AHM9,M4AHM9_XIPMA,3.0,,1,1,,1,,,,,
G3NYR7,G3NYR7_GASAC,3.0,,1,,1,1,,,,,
B2RQL2,B2RQL2_MOUSE,2.0,,1,,,1,,,,,
G3RM31,G3RM31_GORGO,2.0,,1,,,1,,,,,
G3SXP4,G3SXP4_LOXAF,2.0,,1,,,1,,,,,
D6RDA5,D6RDA5_HUMAN,2.0,,1,,,,,1,,,
G3UGT8,G3UGT8_LOXAF,2.0,,1,,,1,,,,,
G3VVL3,G3VVL3_SARHA,2.0,,1,,,1,,,,,
E1B8Y9,E1B8Y9_BOVIN,2.0,,1,,,1,,,,,
F6W3H4,F6W3H4_ORNAN,2.0,,1,,,1,,,,,
F1M4Y5,F1M4Y5_RAT,2.0,,1,,,1,,,,,
G1SII2,G1SII2_RABIT,2.0,,1,,,1,,,,,
G1RLU2,G1RLU2_NOMLE,2.0,,1,,,1,,,,,
F1PLZ9,F1PLZ9_CANFA,2.0,,1,,,1,,,,,
G1PX76,G1PX76_MYOLU,2.0,,1,,,1,,,,,
F1PZE7,F1PZE7_CANFA,2.0,,1,,1,,,,,,
G1MI28,G1MI28_AILME,2.0,,1,,,1,,,,,
F1QWT9,F1QWT9_DANRE,2.0,,1,,1,,,,,,
F8W5K8,F8W5K8_DANRE,2.0,,1,,,1,,,,,
G5EEC5,G5EEC5_CAEEL,2.0,,1,,,1,,,,,
F1SUG9,F1SUG9_PIG,2.0,,1,,,1,,,,,
F7F7U9,F7F7U9_MACMU,2.0,,1,,,1,,,,,
F2Y8N6,F2Y8N6_TURTR,2.0,,,,1,1,,,,,
F6Z0Z2,F6Z0Z2_HORSE,2.0,,1,,,1,,,,,
F7I1W1,F7I1W1_CALJA,2.0,,1,,,1,,,,,
