,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000001017,KIAWPMK,TF328853,EOG7P5T25,NOG41039,HOG000111232,HBG054061,NA,Q8TCI5
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8TCI5,PIFO_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q8TCI5,PIFO_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9D9W1,PIFO_MOUSE,7.0,,1,1,1,1,1,1,1,,
H0VL67,H0VL67_CAVPO,4.0,,1,1,1,1,,,,,
G3WHK6,G3WHK6_SARHA,4.0,,1,1,1,1,,,,,
G3QZM9,G3QZM9_GORGO,4.0,,1,1,1,1,,,,,
G1TWN2,G1TWN2_RABIT,4.0,,1,1,1,1,,,,,
G1QUU2,G1QUU2_NOMLE,4.0,,1,1,1,1,,,,,
G1PKG4,G1PKG4_MYOLU,4.0,,1,1,1,1,,,,,
G1LGD0,G1LGD0_AILME,4.0,,1,1,1,1,,,,,
G3SLX7,G3SLX7_LOXAF,4.0,,1,1,1,1,,,,,
D3ZDE7,D3ZDE7_RAT,4.0,,1,1,1,1,,,,,
F7FNY3,F7FNY3_CALJA,4.0,,1,1,1,1,,,,,
F7DYL3,F7DYL3_MACMU,4.0,,1,1,1,1,,,,,
F7CUI2,F7CUI2_XENTR,4.0,,1,1,1,1,,,,,
F7C355,F7C355_HORSE,4.0,,1,1,1,1,,,,,
F6TJN3,F6TJN3_MONDO,4.0,,1,1,1,1,,,,,
F6SII4,F6SII4_CIOIN,4.0,,1,1,1,1,,,,,
F1PE61,F1PE61_CANFA,4.0,,1,1,1,1,,,,,
H0X3H8,H0X3H8_OTOGA,4.0,,1,1,1,1,,,,,
F1NIS7,F1NIS7_CHICK,4.0,,1,1,1,1,,,,,
H2Z6H4,H2Z6H4_CIOSA,4.0,,1,1,1,1,,,,,
H2PZN1,H2PZN1_PANTR,4.0,,1,1,1,1,,,,,
F1MLG2,F1MLG2_BOVIN,3.0,,1,,1,1,,,,,
M3ZGN1,M3ZGN1_XIPMA,3.0,,1,1,,1,,,,,
F6UDL6,F6UDL6_ORNAN,3.0,,1,,1,1,,,,,
A7SJR2,A7SJR2_NEMVE,3.0,,,,,1,1,,,,1
C3Y694,C3Y694_BRAFL,3.0,,,1,,,1,,,,1
Q2TBS4,PIFO_BOVIN,3.0,,,,,,1,1,1,,
H2N6E2,H2N6E2_PONAB,3.0,,1,,1,1,,,,,
M3XJZ3,M3XJZ3_LATCH,3.0,,1,1,,1,,,,,
K7FWS6,K7FWS6_PELSI,3.0,,1,,1,1,,,,,
J9NTQ5,J9NTQ5_CANFA,3.0,,1,,1,1,,,,,
M3XYZ6,M3XYZ6_MUSPF,2.0,,1,,,1,,,,,
D3ZM79,D3ZM79_RAT,2.0,,1,,,,,,,,1
U3IKX2,U3IKX2_ANAPL,2.0,,1,1,,,,,,,
D3ZM79,D3ZM79_RAT,2.0,,1,,,,,,,,1
B3RJP2,B3RJP2_TRIAD,2.0,,,,,1,1,,,,
W5N4P3,W5N4P3_LEPOC,2.0,,1,1,,,,,,,
W5QE50,W5QE50_SHEEP,2.0,,1,1,,,,,,,
G1KVJ4,G1KVJ4_ANOCA,2.0,,1,,,1,,,,,
D2HXF3,D2HXF3_AILME,1.0,,,,,,,1,,,
A0A096NAU7,A0A096NAU7_PAPAN,1.0,,1,,,,,,,,
X1WET7,X1WET7_DANRE,1.0,,1,,,,,,,,
F7HN84,F7HN84_MACMU,1.0,,1,,,,,,,,
X1WE53,X1WE53_DANRE,1.0,,1,,,,,,,,
H1A4B8,H1A4B8_TAEGU,1.0,,,,,1,,,,,
H2R2Y6,H2R2Y6_PANTR,1.0,,1,,,,,,,,
V4A0Z2,V4A0Z2_LOTGI,1.0,,,1,,,,,,,
W4Z2P1,W4Z2P1_STRPU,1.0,,,1,,,,,,,
W5K152,W5K152_ASTMX,1.0,,1,,,,,,,,
W5QE80,W5QE80_SHEEP,1.0,,1,,,,,,,,
A0A087X3I1,A0A087X3I1_POEFO,1.0,,1,,,,,,,,
