,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00530000062796,MNNNVSM,TF329085,EOG70GMG1,NOG81906,HOG000111295,HBG096020,NA,Q8IU99
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q8IU99,CAHM1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
D3Z291,CAHM1_MOUSE,6.0,,1,1,1,1,,1,,,1
D4AE44,D4AE44_RAT,5.0,,1,1,1,1,,,,,1
B8JIP6,B8JIP6_DANRE,5.0,,1,,,1,1,1,1,,
G1RZ46,G1RZ46_NOMLE,4.0,,1,1,1,1,,,,,
Q86XJ0,CAHM3_HUMAN,4.0,,1,,1,,,1,1,,
G1TIH4,G1TIH4_RABIT,4.0,,1,1,1,1,,,,,
E7F2J4,E7F2J4_DANRE,4.0,,1,1,1,1,,,,,
G3Q6C7,G3Q6C7_GASAC,4.0,,1,1,1,1,,,,,
F1PLK6,F1PLK6_CANFA,4.0,,1,1,1,1,,,,,
G3R7M5,G3R7M5_GORGO,4.0,,1,1,1,1,,,,,
G3T1R6,G3T1R6_LOXAF,4.0,,1,1,1,1,,,,,
F1S840,F1S840_PIG,4.0,,1,1,1,1,,,,,
F6QMY0,F6QMY0_CALJA,4.0,,1,1,1,1,,,,,
F1P3T5,F1P3T5_CHICK,4.0,,1,1,1,1,,,,,
F7C2X9,F7C2X9_HORSE,4.0,,1,1,1,1,,,,,
I3MN82,I3MN82_SPETR,4.0,,1,1,1,1,,,,,
G3X6M4,G3X6M4_BOVIN,4.0,,1,1,1,1,,,,,
H0VI48,H0VI48_CAVPO,4.0,,1,1,1,1,,,,,
H3D3G0,H3D3G0_TETNG,4.0,,1,1,1,1,,,,,
H3A1Q1,H3A1Q1_LATCH,4.0,,1,1,1,1,,,,,
F7A7S7,F7A7S7_XENTR,4.0,,1,1,1,1,,,,,
H0Y232,H0Y232_OTOGA,4.0,,1,1,1,1,,,,,
H0ZJ78,H0ZJ78_TAEGU,4.0,,1,1,1,1,,,,,
F7F4B0,F7F4B0_MONDO,4.0,,1,1,1,1,,,,,
H2MCM1,H2MCM1_ORYLA,4.0,,1,1,1,1,,,,,
H2Q2J0,H2Q2J0_PANTR,4.0,,1,1,1,1,,,,,
K7FCK5,K7FCK5_PELSI,4.0,,1,1,1,1,,,,,
H2NBH8,H2NBH8_PONAB,4.0,,1,1,1,1,,,,,
G1MHX8,G1MHX8_AILME,4.0,,1,1,1,1,,,,,
F7EX80,F7EX80_MACMU,4.0,,1,1,1,1,,,,,
G1KHQ2,G1KHQ2_ANOCA,4.0,,1,1,1,1,,,,,
G1NDJ3,G1NDJ3_MELGA,4.0,,1,1,1,1,,,,,
M3VYF2,M3VYF2_FELCA,3.0,,1,1,,1,,,,,
M3ZR18,M3ZR18_XIPMA,3.0,,1,1,,1,,,,,
D2GXY2,D2GXY2_AILME,3.0,,1,,1,,,1,,,
I3KRI2,I3KRI2_ORENI,3.0,,,1,1,1,,,,,
G1P3R7,G1P3R7_MYOLU,3.0,,1,1,1,,,,,,
F7DAW4,F7DAW4_ORNAN,3.0,,1,,1,1,,,,,
G3X1F4,G3X1F4_SARHA,2.0,,1,,1,,,,,,
G3X1J2,G3X1J2_SARHA,2.0,,1,,1,,,,,,
F7AP77,F7AP77_XENTR,2.0,,1,,1,,,,,,
F7BUV2,F7BUV2_HORSE,2.0,,1,,1,,,,,,
