,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000013494,KKQTDAQ,TF326909,EOG7XM31C,NOG297474,HOG000043120,HBG051841,NA,Q9Y3R0
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q5TZH0,Q5TZH0_DANRE,8.0,,1,1,1,1,1,1,1,,1
Q9Y3R0,GRIP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q9Y3R0,GRIP1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q925T6,GRIP1_MOUSE,7.0,,1,1,1,,1,1,1,,1
Q925T6,GRIP1_MOUSE,7.0,,1,1,1,,1,1,1,,1
B0V3R3,B0V3R3_DANRE,6.0,,1,,1,1,1,1,1,,
Q9WTW1,GRIP2_RAT,6.0,,1,,1,1,1,1,1,,
K7GAG0,K7GAG0_PELSI,4.0,,1,1,1,1,,,,,
F1MPX8,F1MPX8_BOVIN,4.0,,1,1,1,1,,,,,
Q6GQT7,Q6GQT7_MOUSE,4.0,,1,,,1,,1,1,,
H0Z8G7,H0Z8G7_TAEGU,4.0,,1,1,1,1,,,,,
G1QT27,G1QT27_NOMLE,4.0,,1,1,1,1,,,,,
G1ND67,G1ND67_MELGA,4.0,,1,1,1,1,,,,,
F1NHU1,F1NHU1_CHICK,4.0,,1,1,1,1,,,,,
G1PWA4,G1PWA4_MYOLU,4.0,,1,1,1,1,,,,,
H2MST2,H2MST2_ORYLA,4.0,,1,1,1,1,,,,,
H2NHZ0,H2NHZ0_PONAB,4.0,,1,1,1,1,,,,,
H0WI60,H0WI60_OTOGA,4.0,,1,1,1,1,,,,,
H2RBZ0,H2RBZ0_PANTR,4.0,,1,1,1,1,,,,,
P97879,GRIP1_RAT,4.0,,,,,,1,1,1,,1
G3RXA5,G3RXA5_GORGO,4.0,,1,1,1,1,,,,,
H0VPA5,H0VPA5_CAVPO,4.0,,1,1,1,1,,,,,
G3SYL5,G3SYL5_LOXAF,4.0,,1,1,1,1,,,,,
F6WN15,F6WN15_XENTR,4.0,,1,1,1,1,,,,,
F6TPD2,F6TPD2_MACMU,4.0,,1,1,1,1,,,,,
F6RXQ1,F6RXQ1_HORSE,4.0,,1,1,1,1,,,,,
Q4TAT5,Q4TAT5_TETNG,4.0,,1,,,1,1,,1,,
H0WLP3,H0WLP3_OTOGA,3.0,,1,,1,1,,,,,
F1P1A9,F1P1A9_CHICK,3.0,,1,,1,1,,,,,
G3XA20,G3XA20_MOUSE,3.0,,1,,1,1,,,,,
H0WCC8,H0WCC8_CAVPO,3.0,,1,,1,1,,,,,
F1MFS5,F1MFS5_BOVIN,3.0,,1,,1,1,,,,,
H0ZDI8,H0ZDI8_TAEGU,3.0,,1,,1,1,,,,,
F1P652,F1P652_CANFA,3.0,,1,1,1,,,,,,
H2M0Y6,H2M0Y6_ORYLA,3.0,,1,,1,1,,,,,
H2M2J3,H2M2J3_ORYLA,3.0,,1,,1,1,,,,,
H2P9B9,H2P9B9_PONAB,3.0,,1,,1,1,,,,,
H2SJG6,H2SJG6_TAKRU,3.0,,1,1,1,,,,,,
F1LMX8,F1LMX8_RAT,3.0,,1,1,,1,,,,,
H2ZEM0,H2ZEM0_CIOSA,3.0,,1,,1,1,,,,,
H3A4C0,H3A4C0_LATCH,3.0,,1,,1,1,,,,,
H3DKK6,H3DKK6_TETNG,3.0,,1,,1,1,,,,,
G3WZN9,G3WZN9_SARHA,3.0,,1,,1,1,,,,,
F1SPI4,F1SPI4_PIG,3.0,,1,,1,1,,,,,
G3VDP2,G3VDP2_SARHA,3.0,,1,,1,1,,,,,
G1N718,G1N718_MELGA,3.0,,1,,1,1,,,,,
F6S4C9,F6S4C9_MONDO,3.0,,1,,1,1,,,,,
F7AK72,F7AK72_HORSE,3.0,,1,,1,1,,,,,
F7BJB6,F7BJB6_CIOIN,3.0,,1,,1,1,,,,,
F7D8G0,F7D8G0_XENTR,3.0,,1,,1,1,,,,,
F7HE73,F7HE73_MACMU,3.0,,1,,1,1,,,,,
