,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00760000119123,FVQWKVV,TF314044,EOG7CG6Z8,NOG236923,NA,HBG055955,NA,Q9Y3M8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9Y3M8,STA13_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q9Y3M8,STA13_HUMAN,7.0,,1,1,1,1,1,,1,,1
Q8K031,STAR8_MOUSE,5.0,,1,,1,1,1,,1,,
Q92502,STAR8_HUMAN,5.0,,1,,1,1,1,,1,,
Q96QB1,RHG07_HUMAN,5.0,,1,,1,1,1,,1,,
E1BT27,E1BT27_CHICK,4.0,,1,1,1,1,,,,,
G3T0E4,G3T0E4_LOXAF,4.0,,1,1,1,1,,,,,
H2SSK3,H2SSK3_TAKRU,4.0,,1,1,1,1,,,,,
F1Q271,F1Q271_CANFA,4.0,,1,1,1,1,,,,,
G3PCE4,G3PCE4_GASAC,4.0,,1,1,1,1,,,,,
K7FJ93,K7FJ93_PELSI,4.0,,1,1,1,1,,,,,
F7D1F0,F7D1F0_XENTR,4.0,,1,1,1,1,,,,,
B0S5B4,B0S5B4_DANRE,4.0,,1,,1,1,,,1,,
F1MCN4,F1MCN4_BOVIN,4.0,,1,1,1,1,,,,,
H2Q7E7,H2Q7E7_PANTR,4.0,,1,1,1,1,,,,,
F7BI50,F7BI50_HORSE,4.0,,1,1,1,1,,,,,
H2NJL2,H2NJL2_PONAB,4.0,,1,1,1,1,,,,,
G3VV02,G3VV02_SARHA,4.0,,1,1,1,1,,,,,
F6YBE5,F6YBE5_MONDO,4.0,,1,1,1,1,,,,,
H2LFK1,H2LFK1_ORYLA,4.0,,1,1,1,1,,,,,
H0ZNJ2,H0ZNJ2_TAEGU,4.0,,1,1,1,1,,,,,
Q923Q2,STA13_MOUSE,4.0,,1,,,1,1,,1,,
D3ZU63,D3ZU63_RAT,4.0,,1,1,1,1,,,,,
H0V6R5,H0V6R5_CAVPO,4.0,,1,1,1,1,,,,,
F6YEM9,F6YEM9_MACMU,4.0,,1,1,1,1,,,,,
G3QU61,G3QU61_GORGO,4.0,,1,1,1,1,,,,,
H0WUR4,H0WUR4_OTOGA,4.0,,1,1,1,1,,,,,
G1PMS1,G1PMS1_MYOLU,4.0,,1,1,1,1,,,,,
H3A9B3,H3A9B3_LATCH,4.0,,1,1,1,1,,,,,
G1LRW1,G1LRW1_AILME,4.0,,1,1,1,1,,,,,
