,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,K18751,ENSGT00530000063881,ERGHTYN,TF333211,NA,NOG45103,HOG000115593,HBG053627,NA,Q9NPJ4
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9NPJ4,PNRC2_HUMAN,8.0,1,1,1,1,,1,1,1,,1
Q9CR73,PNRC2_MOUSE,7.0,1,1,1,,,1,1,1,,1
Q66HE1,PNRC2_RAT,7.0,1,1,1,,,1,1,1,,1
Q9CR73,PNRC2_MOUSE,7.0,1,1,1,,,1,1,1,,1
Q0VCW6,PNRC2_BOVIN,7.0,1,1,1,1,,1,1,1,,
B7TWP7,PNRC2_DANRE,6.0,1,1,1,,,1,1,,,1
Q5ZMB7,PNRC2_CHICK,5.0,1,,,,,1,1,1,,1
D2GWD3,D2GWD3_AILME,5.0,1,1,1,1,,,1,,,
H2R371,H2R371_PANTR,4.0,1,1,1,1,,,,,,
F6PZL3,F6PZL3_MACMU,4.0,1,1,1,1,,,,,,
G1RRZ3,G1RRZ3_NOMLE,4.0,1,1,1,1,,,,,,
G1U5W7,G1U5W7_RABIT,4.0,1,1,1,1,,,,,,
J9NTS0,J9NTS0_CANFA,4.0,1,1,1,1,,,,,,
F7HZN3,F7HZN3_CALJA,4.0,1,1,1,1,,,,,,
F7C7J9,F7C7J9_MONDO,4.0,1,1,1,1,,,,,,
G3QP43,G3QP43_GORGO,4.0,1,1,1,1,,,,,,
Q68EQ8,PNRC2_XENTR,4.0,1,1,,,,1,1,,,
I3LST4,I3LST4_PIG,4.0,1,1,1,1,,,,,,
H0YSG4,H0YSG4_TAEGU,3.0,1,1,1,,,,,,,
H0XQV1,H0XQV1_OTOGA,3.0,,1,1,1,,,,,,
I3MY11,I3MY11_SPETR,3.0,,1,1,1,,,,,,
G3U089,G3U089_LOXAF,3.0,,1,1,1,,,,,,
G3VEF3,G3VEF3_SARHA,3.0,1,1,1,,,,,,,
H3B902,H3B902_LATCH,3.0,1,1,1,,,,,,,
K7GDR0,K7GDR0_PELSI,3.0,1,1,1,,,,,,,
M3WP15,M3WP15_FELCA,3.0,1,1,1,,,,,,,
H0VHX5,H0VHX5_CAVPO,3.0,,1,1,1,,,,,,
H2MIQ0,H2MIQ0_ORYLA,3.0,1,1,1,,,,,,,
M4AYN4,M4AYN4_XIPMA,3.0,1,1,1,,,,,,,
F1P0D8,F1P0D8_CHICK,3.0,,1,1,1,,,,,,
U3KIL3,U3KIL3_FICAL,3.0,1,1,1,,,,,,,
F6QQ93,F6QQ93_HORSE,3.0,1,1,1,,,,,,,
R0L1J7,R0L1J7_ANAPL,3.0,1,1,1,,,,,,,
G1P4E1,G1P4E1_MYOLU,3.0,,1,1,1,,,,,,
G1RRK5,G1RRK5_NOMLE,2.0,,1,,1,,,,,,
G3URN2,G3URN2_MELGA,2.0,,1,,1,,,,,,
H0XUA4,H0XUA4_OTOGA,2.0,,1,,1,,,,,,
H0XN18,H0XN18_OTOGA,2.0,,1,,1,,,,,,
H0WU58,H0WU58_OTOGA,2.0,,1,,1,,,,,,
F1P3U3,F1P3U3_CHICK,2.0,,1,,1,,,,,,
H0VKJ0,H0VKJ0_CAVPO,2.0,,1,,1,,,,,,
F6Q6C4,F6Q6C4_MONDO,2.0,,1,,1,,,,,,
G5E5M0,G5E5M0_BOVIN,2.0,,1,,1,,,,,,
F6YH11,F6YH11_HORSE,2.0,,1,,1,,,,,,
F6TNA0,F6TNA0_MACMU,2.0,,1,,1,,,,,,
G3RVT0,G3RVT0_GORGO,2.0,,1,,1,,,,,,
F7AHG5,F7AHG5_CALJA,2.0,,1,,1,,,,,,
G3PKB2,G3PKB2_GASAC,2.0,,1,1,,,,,,,
G1KQ68,G1KQ68_ANOCA,2.0,,1,,1,,,,,,
G3PED4,G3PED4_GASAC,2.0,,1,,1,,,,,,
G1L0M8,G1L0M8_AILME,2.0,,1,,1,,,,,,
G1U4E1,G1U4E1_RABIT,2.0,1,1,,,,,,,,
G1P433,G1P433_MYOLU,2.0,,1,,1,,,,,,
G1TKM3,G1TKM3_RABIT,2.0,1,1,,,,,,,,
G1SW14,G1SW14_RABIT,2.0,,1,,1,,,,,,
H0XVA6,H0XVA6_OTOGA,2.0,,1,,1,,,,,,
A0A024RAC2,A0A024RAC2_HUMAN,2.0,1,,1,,,,,,,
H0ZQ99,H0ZQ99_TAEGU,2.0,,1,,1,,,,,,
I3LMA2,I3LMA2_PIG,2.0,,1,,1,,,,,,
W5NP31,W5NP31_LEPOC,2.0,,1,1,,,,,,,
W5LRP2,W5LRP2_ASTMX,2.0,,1,1,,,,,,,
Q5TZ15,Q5TZ15_DANRE,2.0,,1,,1,,,,,,
Q49A59,Q49A59_HUMAN,2.0,,1,,,,,1,,,
Q12796,PNRC1_HUMAN,2.0,,1,,1,,,,,,
J9NUW7,J9NUW7_CANFA,2.0,,1,,1,,,,,,
I3N792,I3N792_SPETR,2.0,,1,,1,,,,,,
I3M976,I3M976_SPETR,2.0,,1,,1,,,,,,
Q3TWH3,Q3TWH3_MOUSE,2.0,,1,,1,,,,,,
H2N8L0,H2N8L0_PONAB,2.0,,1,,1,,,,,,
H9GA24,H9GA24_ANOCA,2.0,,1,1,,,,,,,
H3A2J9,H3A2J9_LATCH,2.0,,1,,1,,,,,,
H2PJS9,H2PJS9_PONAB,2.0,,1,,1,,,,,,
H2QTE0,H2QTE0_PANTR,2.0,,1,,1,,,,,,
I3KZ69,I3KZ69_ORENI,1.0,,,1,,,,,,,
R9PXT3,R9PXT3_RAT,1.0,,1,,,,,,,,
U3I305,U3I305_ANAPL,1.0,,1,,,,,,,,
U3JJY5,U3JJY5_FICAL,1.0,,1,,,,,,,,
V4ATV0,V4ATV0_LOTGI,1.0,1,,,,,,,,,
W5KTM5,W5KTM5_ASTMX,1.0,,1,,,,,,,,
E0VP72,E0VP72_PEDHC,1.0,1,,,,,,,,,
Q66KH8,PNC2A_XENLA,1.0,1,,,,,,,,,
W5NJX6,W5NJX6_LEPOC,1.0,,1,,,,,,,,
C3XQF9,C3XQF9_BRAFL,1.0,1,,,,,,,,,
W5PTK4,W5PTK4_SHEEP,1.0,,1,,,,,,,,
A0A096P094,A0A096P094_PAPAN,1.0,,1,,,,,,,,
A0A096NRJ9,A0A096NRJ9_PAPAN,1.0,,1,,,,,,,,
A0A096MG42,A0A096MG42_POEFO,1.0,,1,,,,,,,,
A0A088ADD9,A0A088ADD9_APIME,1.0,1,,,,,,,,,
A0A087YRX4,A0A087YRX4_POEFO,1.0,,1,,,,,,,,
R7VNE1,R7VNE1_COLLI,1.0,1,,,,,,,,,
F7CUJ0,F7CUJ0_ORNAN,1.0,,1,,,,,,,,
Q63647,PNRC1_RAT,1.0,,,,1,,,,,,
K7DY92,K7DY92_DANRE,1.0,,1,,,,,,,,
G7NVV7,G7NVV7_MACFA,1.0,1,,,,,,,,,
G3RYM0,G3RYM0_GORGO,1.0,,1,,,,,,,,
J3KS97,J3KS97_HUMAN,1.0,,1,,,,,,,,
J3QJZ8,J3QJZ8_MOUSE,1.0,,1,,,,,,,,
J9NTT1,J9NTT1_CANFA,1.0,,1,,,,,,,,
H2TCL7,H2TCL7_TAKRU,1.0,,1,,,,,,,,
K7JME4,K7JME4_NASVI,1.0,1,,,,,,,,,
Q5ZMB5,Q5ZMB5_CHICK,1.0,,,,,,,,1,,
L5JS33,L5JS33_PTEAL,1.0,1,,,,,,,,,
M3YD68,M3YD68_MUSPF,1.0,,1,,,,,,,,
H2M532,H2M532_ORYLA,1.0,,1,,,,,,,,
H0XJ87,H0XJ87_OTOGA,1.0,,1,,,,,,,,
Q5XH28,PNC2B_XENLA,1.0,1,,,,,,,,,
F7I2D7,F7I2D7_CALJA,1.0,,1,,,,,,,,
Z4YMU7,Z4YMU7_MOUSE,1.0,,1,,,,,,,,
