,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000014907,TSNETLC,TF333138,EOG73BVDG,NOG291472,HOG000111400,HBG081035,NA,Q6UXH8
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q6UXH8,CCBE1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q3MI99,CCBE1_MOUSE,8.0,,1,1,1,1,1,1,1,,1
Q6UXH8,CCBE1_HUMAN,8.0,,1,1,1,1,1,1,1,,1
H3CQ02,H3CQ02_TETNG,4.0,,1,1,1,1,,,,,
H2QEL8,H2QEL8_PANTR,4.0,,1,1,1,1,,,,,
H2NWG0,H2NWG0_PONAB,4.0,,1,1,1,1,,,,,
H0YUI3,H0YUI3_TAEGU,4.0,,1,1,1,1,,,,,
H0X6I9,H0X6I9_OTOGA,4.0,,1,1,1,1,,,,,
H0VT03,H0VT03_CAVPO,4.0,,1,1,1,1,,,,,
F1LV50,F1LV50_RAT,4.0,,1,1,1,1,,,,,
G3WAK3,G3WAK3_SARHA,4.0,,1,1,1,1,,,,,
H2ZUI2,H2ZUI2_LATCH,4.0,,1,1,1,1,,,,,
G3RJV0,G3RJV0_GORGO,4.0,,1,1,1,1,,,,,
G3PVP6,G3PVP6_GASAC,4.0,,1,1,1,1,,,,,
G1LJ09,G1LJ09_AILME,4.0,,1,1,1,1,,,,,
F7GK04,F7GK04_CALJA,4.0,,1,1,1,1,,,,,
F7D3T0,F7D3T0_MACMU,4.0,,1,1,1,1,,,,,
F7CDH8,F7CDH8_XENTR,4.0,,1,1,1,1,,,,,
F7BDH2,F7BDH2_MONDO,4.0,,1,1,1,1,,,,,
F6T4F6,F6T4F6_HORSE,4.0,,1,1,1,1,,,,,
F1SMU0,F1SMU0_PIG,4.0,,1,1,1,1,,,,,
F1MZQ2,F1MZQ2_BOVIN,4.0,,1,1,1,1,,,,,
F1PVD1,F1PVD1_CANFA,4.0,,1,1,1,1,,,,,
K7FG98,K7FG98_PELSI,4.0,,1,1,1,1,,,,,
F6VE40,F6VE40_ORNAN,3.0,,1,,1,1,,,,,
M3YYH1,M3YYH1_MUSPF,3.0,,1,1,,1,,,,,
E7FB60,E7FB60_DANRE,3.0,,1,,1,1,,,,,
G3PP63,G3PP63_GASAC,3.0,,1,,1,1,,,,,
M3ZQC9,M3ZQC9_XIPMA,3.0,,1,1,,1,,,,,
G1SJ88,G1SJ88_RABIT,3.0,,1,,1,1,,,,,
G1RAP7,G1RAP7_NOMLE,3.0,,1,1,1,,,,,,
H2MHG9,H2MHG9_ORYLA,3.0,,1,,1,1,,,,,
H2U471,H2U471_TAKRU,3.0,,1,,1,1,,,,,
M3W613,M3W613_FELCA,3.0,,1,1,,1,,,,,
F1QA70,F1QA70_DANRE,3.0,,1,,1,1,,,,,
H3D304,H3D304_TETNG,3.0,,1,,1,1,,,,,
H9GA14,H9GA14_ANOCA,3.0,,1,,1,1,,,,,
H9GCZ7,H9GCZ7_ANOCA,3.0,,1,,1,1,,,,,
I3JLD7,I3JLD7_ORENI,3.0,,,1,1,1,,,,,
G3T6X0,G3T6X0_LOXAF,3.0,,1,,1,1,,,,,
U3JHK3,U3JHK3_FICAL,2.0,,1,1,,,,,,,
Q4SQC4,Q4SQC4_TETNG,2.0,,,,,,1,,1,,
U3IYN4,U3IYN4_ANAPL,2.0,,1,1,,,,,,,
G1RAP5,G1RAP5_NOMLE,2.0,,1,,,1,,,,,
W5KM20,W5KM20_ASTMX,2.0,,1,1,,,,,,,
R4GM86,R4GM86_CHICK,2.0,,1,1,,,,,,,
H2LNM1,H2LNM1_ORYLA,2.0,,1,,1,,,,,,
A8WGB1,CCBE1_DANRE,2.0,,,,,,1,1,,,
K7E8S7,K7E8S7_ORNAN,2.0,,1,,,1,,,,,
M4AQS2,M4AQS2_XIPMA,2.0,,1,,,1,,,,,
W5N233,W5N233_LEPOC,2.0,,1,1,,,,,,,
W5P6Z4,W5P6Z4_SHEEP,2.0,,1,1,,,,,,,
M3XGI3,M3XGI3_LATCH,2.0,,1,,,1,,,,,
H2U472,H2U472_TAKRU,2.0,,1,1,,,,,,,
I3J496,I3J496_ORENI,2.0,,,,1,1,,,,,
H2LNL9,H2LNL9_ORYLA,2.0,,1,,,1,,,,,
A0A096MGN9,A0A096MGN9_POEFO,1.0,,1,,,,,,,,
A0A087YBK5,A0A087YBK5_POEFO,1.0,,1,,,,,,,,
D4A1T8,D4A1T8_RAT,1.0,,1,,,,,,,,
A0A096N6D1,A0A096N6D1_PAPAN,1.0,,1,,,,,,,,
A0A0A0MS88,A0A0A0MS88_HUMAN,1.0,,1,,,,,,,,
E0VT47,E0VT47_PEDHC,1.0,,,,,1,,,,,
D6WCR5,D6WCR5_TRICA,1.0,,,,,1,,,,,
D2HQE9,D2HQE9_AILME,1.0,,,,,,,1,,,
X1WBC6,X1WBC6_DANRE,1.0,,1,,,,,,,,
G3WAK4,G3WAK4_SARHA,1.0,,1,,,,,,,,
G3WAK5,G3WAK5_SARHA,1.0,,1,,,,,,,,
H2LNM0,H2LNM0_ORYLA,1.0,,1,,,,,,,,
H3AX15,H3AX15_LATCH,1.0,,1,,,,,,,,
K7EQ81,K7EQ81_HUMAN,1.0,,1,,,,,,,,
Q4S8A4,Q4S8A4_TETNG,1.0,,,,,,1,,,,
Q4SQB9,Q4SQB9_TETNG,1.0,,,,,,,1,,,
U3I5K0,U3I5K0_ANAPL,1.0,,1,,,,,,,,
W5LNH3,W5LNH3_ASTMX,1.0,,1,,,,,,,,
W5N238,W5N238_LEPOC,1.0,,1,,,,,,,,
W5NBK3,W5NBK3_LEPOC,1.0,,1,,,,,,,,
A0A087XMZ2,A0A087XMZ2_POEFO,1.0,,1,,,,,,,,
