,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00390000013020,FPLDKRQ,TF338219,EOG7G1V8D,NOG41739,HOG000231597,HBG096406,NA,Q9BQM9
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
Q9BQM9,CT144_HUMAN,8.0,,1,1,1,1,1,1,1,,1
Q1AHR4,Q1AHR4_RAT,6.0,,1,1,1,1,1,1,,,
G3TK55,G3TK55_LOXAF,4.0,,1,1,1,1,,,,,
F7BUL3,F7BUL3_CALJA,4.0,,1,1,1,1,,,,,
E1BGQ3,E1BGQ3_BOVIN,4.0,,1,1,1,1,,,,,
G1RG45,G1RG45_NOMLE,4.0,,1,1,1,1,,,,,
Q9DAQ3,Q9DAQ3_MOUSE,4.0,,1,,1,1,,1,,,
H2P1P0,H2P1P0_PONAB,4.0,,1,1,1,1,,,,,
H2RAX1,H2RAX1_PANTR,4.0,,1,1,1,1,,,,,
A2AKE5,A2AKE5_MOUSE,4.0,,1,1,,,1,1,,,
F7DEM1,F7DEM1_MACMU,4.0,,1,1,1,1,,,,,
H0VP16,H0VP16_CAVPO,3.0,,1,,1,1,,,,,
M3XBC0,M3XBC0_FELCA,3.0,,1,1,,1,,,,,
G3RS58,G3RS58_GORGO,3.0,,1,,1,1,,,,,
M3Z2A6,M3Z2A6_MUSPF,3.0,,1,1,,1,,,,,
Q1AHR3,Q1AHR3_PANTR,3.0,,,,,,1,1,1,,
F6Q4B9,F6Q4B9_MONDO,3.0,,1,,1,1,,,,,
W5PFB7,W5PFB7_SHEEP,2.0,,1,1,,,,,,,
F7DWH7,F7DWH7_HORSE,1.0,,,,,1,,,,,
E1BK21,E1BK21_BOVIN,1.0,,1,,,,,,,,
G1MLJ2,G1MLJ2_AILME,1.0,,,,,1,,,,,
J9P1F1,J9P1F1_CANFA,1.0,,,,,1,,,,,
A0A096NUV0,A0A096NUV0_PAPAN,1.0,,1,,,,,,,,
